company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Priority Health International,8136250441,,,0,104,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
Florida Alternative Medicine,8139228939,,,0,102,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
Utopia Wellness & Cancer Center,7277999060,,4,90,101,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
ACUPUNCTURE & HOLISTIC MEDICINE,8139884644,,,0,86,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
Madeira Beach Center For Natural Medicine,7272120640,,4.4,7,77,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
"Healing Oasis, Inc.",8132602734,,,0,76,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
Tarpon Integrative Medicine (Old Tarpon Chiropractic),7279421618,,5,10,64,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
Tarpon Integrative Medicine (Old Tarpon Chiropractic),7279421618,,5,10,56,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
Bloomingdale Acupuncture / AcuTampa Natural Healing,8133412200,,4.7,12,50,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
Alternative Medicine of Tampa,8132985832,,,0,43,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
Biomagnetic Healing with Michele,7277091816,,5,3,42,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
Essence of Natural Medicine,7275122744,,5,2,36,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
Alternative Health Therapies,7274499090,,4,4,27,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
Integrative Medicine Healing Center,7275240900,,5,4,25,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
"MAC Therapies, Inc. Alternative & Holistic Health care -Mark A. Calandro, CNMT",7277233888,,5,1,18,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
Alternative Health Solutions MD Inc,8139893186,,5,1,8,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
The Zen Spot,4322186925,,5,20,46,Midland,TX,GMT-06:00 US/Central (CST),Alternative medicine
Doll-Hollander Chiropractic,4325200773,,3.5,13,45,Midland,TX,GMT-06:00 US/Central (CST),Alternative medicine
La Luna Reiki Healing,2039177957,,,0,43,Midland,TX,GMT-06:00 US/Central (CST),Alternative medicine
Absolute Chiropractic,4325221548,,4.6,11,35,Midland,TX,GMT-06:00 US/Central (CST),Alternative medicine
"Kevin S. Willhite, DC",4325708228,,3.7,3,33,Midland,TX,GMT-06:00 US/Central (CST),Alternative medicine
Natural Approach Holistic,4323661153,,,0,32,Midland,TX,GMT-06:00 US/Central (CST),Alternative medicine
"Wassenberg David DC RETIRED All patients have been referred to Dr Mansfield at 4107 W Illinois Midland, Tx",4326979797,,4.3,6,31,Midland,TX,GMT-06:00 US/Central (CST),Alternative medicine
Anew Wellness Center,4327709670,,,0,29,Midland,TX,GMT-06:00 US/Central (CST),Alternative medicine
Mobile Osteopathy,8176172096,,,0,26,Midland,TX,GMT-06:00 US/Central (CST),Alternative medicine
"Gina B. Beckham, DC",4325221548,,5,7,13,Midland,TX,GMT-06:00 US/Central (CST),Alternative medicine
Salt Haven Wellness Center,4326890774,,5,1,6,Midland,TX,GMT-06:00 US/Central (CST),Alternative medicine
"SPA'tique, Steam & Wellness",7609875483,,,0,109,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Guiding Spirit Healing Center,7606008845,,5,7,108,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
CreationzbyStaxx,9097173016,,,0,106,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
High Desert Spinal Decompression Center,7602437500,,,0,105,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Jackee Love's House of Healing,5623677211,,,0,102,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Mojave Chiropractic,7609523800,,3.5,38,100,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
A & A Chiropractic,7609517575,,3.6,11,99,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Dr. Perry Chiropractic,7608851322,,4.8,23,98,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Inland Chiropractic,7609621415,,4.1,32,97,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Chiropractor,7609982463,,,0,96,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Park Chang-Gyu DC,7609480353,,,0,95,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
"Beverly L. Hill, LVN",7604866389,,4,2,89,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
"Elizabeth J. Storm, MFTI",7602454695,,,0,87,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
"Jung S. Lee, Lac",7602455992,,,0,85,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Lim's Acupuncture Clinic,7602414600,,,0,84,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
"Les Cohen, DC",7609523800,,3,2,82,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
It’s Her Vibe,7144827365,,5,12,81,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
CANNACARE SERVICE GROUP,7607042204,,,0,75,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Yagin Acupuncture,7602437700,,,0,73,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Mojave Healing Center,7609515900,,,0,71,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Dr. Luis A Saldana D.C.,7609554878,,4.9,8,68,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
"Joe L. Juarez Jr, DC",7609484888,,5,2,65,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Phelan Acupuncture & Herbs,7608685618,,,0,64,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Tri-Community Chiropractic Office,7608684481,,5,6,63,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
"Daniel A. Twogood, DC",7602476162,,4.7,40,62,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Chiropractic Institute of High Desert,7608100999,,5,1,58,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Bear Valley Chiropractic Center,7602410018,,5,25,57,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Family Choice Acupuncture Acupuncture,7608704181,,3.7,6,56,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
"Youngho Shin, LAC",7602424579,,,0,54,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
"Timothy M. Wallace, DC",7608684481,,5,18,52,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
NMV Nathan's Essentials,4425339753,,,0,50,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
"Yu L. Wang, Lac",7609523800,,,0,47,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
The performance medical group,7602425055,,,0,45,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
"Tara Matthews, LAC",7608688088,,,0,43,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Dr. Parastou Ilbeigi,7608100999,,5,1,40,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
HDCA,7602173577,,,0,39,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Accu-Choice Acupuncture,7609619091,,4.6,14,36,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Readings by Sadie,7605532484,,5,1,34,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Myung Sim Dang Acupuncture & Chiropractic,5628092535,,4,1,33,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Kenneth Park DC & L.Ac.,7602614127,,5,7,32,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Lim's Acupuncture,7602414600,,4.7,26,31,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Swanson Craig J,7602418229,,5,1,29,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Herb'z Bliss,9096703956,,5,2,28,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Medical Marijuana Educational Center,4428003411,,5,1,25,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Abraham Choi,7602422400,,5,1,24,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
High Desert Wellness: Integrative Psychotherapy & Holistic Health,7605960347,,4.7,9,23,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Yuh-Shin Chen,7602447373,,5,2,21,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
"DR.M.ELKHIAR, D.C.",7602441740,,5,16,20,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Grace Lim,7609621415,,5,2,17,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Litvin Therapy,4242565114,,,0,16,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Essential Eclipse,4422292134,,,0,13,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Ki California,7609615787,,5,2,12,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Integrated Health & Wellness Centers,7602428900,,4.3,6,11,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Alternative Pain Solutions,7605964777,,,0,10,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Coastal Desert Co LLC,9493127888,,5,8,3,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Jole Gabrielle,3106914389,,5,1,2,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
"Romina Ghassemi, DC",3105485656,,5,3,119,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Pommerenck Chiropractic and Wellness Center: Dr. David Pommerenck,3105307335,,4.9,7,114,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
"Vista West Health Center,LP",3103909203,,,0,111,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
"VISTA WEST HEALTH CENTER,LP",3103909293,,,0,107,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Spha Medical Clinic,3105473331,,,0,106,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
F.I.R.S.T. Health,3107939400,,5,7,105,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
South Bay Wellness Center,3103470932,,4.6,31,104,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Center of Balanced Health,8054051250,,,0,102,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Renewed Strength Medical Group,3105409699,,4.5,11,98,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Natural Health,3105405758,,,0,97,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Alternative Health Chiro,3107931660,,,0,94,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
"Eric I-Hung Lin DO, Inc",3103258588,,5,5,91,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Prime Organic,3232384553,,4.4,17,90,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Advanced Holistic Alternative,3235838938,,4.8,5,87,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Drobot Glenn,3103747482,,,0,82,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Vitality Medical Institute Inc,3106261533,,,0,68,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
"Lawrence B. Taw, MD",3102570129,,5,1,66,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Guru Medical,3109849398,,5,1,62,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
NaturWell Center,3103220549,,,0,60,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
HATH Holistic Approaches to Health,3233639785,,,0,57,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Love Natural Health,3109572078,,,0,55,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Alternative Pain Management Clinic,3105373467,,3.5,2,54,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
WGA- The Wellness Group of America,3102255662,,4.3,4,52,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Nuvayda Integrative Health,3105040783,,,0,50,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Mind Body Spirit 360,4242052364,,,0,45,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Alternative Medicine Center,3103760702,,,0,41,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
"YX Medical Group, Inc",3105305678,,5,1,37,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Thrive Holistic Wellness,3107136682,,5,9,33,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
In Joy Being,3103221757,,,0,31,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Natural Health Partners,3109888403,,5,5,27,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Dr Carson's Alternative Health,3105408884,,,0,22,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Institute of Natural Health,3103732250,,5,2,16,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Ash Organics Cannabis Dispensary,6574744187,,4.9,6,120,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Pretzinger Good Health Chiropractic,7142558343,,5,1,119,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Chiropractic Medical Rehab Center,7149945242,,5,1,112,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Minkus Family Medicine,5628656160,,3.4,5,102,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Fast N Easy DOT Physicals,8333727244,,4.4,33,101,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Holland Chiropractic,5626948347,,4.8,45,100,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Duong Linda D DC,7144919022,,,0,98,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
North Health Occupational,7142557060,,,0,94,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
"Wu Chiropractic Care, Inc. (& Acupuncture Service)",7143407890,,5,12,92,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
TY Acupuncture and Herbs,5628327777,,,0,91,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Dr. John Mora,5623605466,,5,19,90,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
State College Medical Center,19059383,,4.8,4,89,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
HSUAN WANG CHIROPRACTIC INC,7147385080,,4.6,9,86,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Anaheim Medical Corporation,7148289235,,,0,85,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Ultimate Chiropractic Group,7147780233,,5,2,83,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Spinal Decompression Dr - Spine and Body Chiropractic,7148691309,,5,39,82,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Choe Young J,5628606997,,,0,81,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Prime Wellness Center- Fullerton,7143884106,,4.9,7,80,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Agape Acupuncture & Herb,5629433188,,,0,79,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Korus Medical Center,7146700007,,,0,78,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Homeopathic Care Los Angeles,5626658149,,,0,77,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Methot Lucie L DC,7148798992,,5,2,72,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
"Mala Moosad, RN",7146376370,,,0,71,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Traditional Chinese Med Clinic,7148797602,,,0,69,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
"La Palma Health Group, Inc.",5624680023,,,0,68,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
The Pain and Wellness Center,4244344004,,5,1,62,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
"Dr. Jennifer Palladino, DC/Healthworks Chiropractic",5628880162,,4.7,13,61,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Crescent Health Center,9494291111,,,0,58,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Nanjiang Acupuncture Clinic,5624026827,,3.7,3,55,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Adam's Acupuncture & Massage,5625478304,,4.2,5,52,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Meng Chen,9492664877,,5,1,51,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Shizen Health,2138142848,,,0,50,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
SoCal Theta Healing,7149326810,,,0,46,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Acupia Wellness Acupuncture,7145221600,,5,5,42,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Munay Bliss LLC,7149931082,,,0,40,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
T.H.P Wellness Education Center,7144550001,,,0,39,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Phil's Acupuncture Clinic,5624025252,,5,4,38,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
GreenLife Acupuncture.,7143125460,,5,4,34,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Theracare,7143676761,,,0,24,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Om Sung H,5629260333,,5,1,22,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
SS Acupuncture Pain Relief Clinic,6266382818,,5,16,15,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Mannings & Calayan - Alternative Medicine,7149897001,,,0,12,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
Pacifica Health & Bodycare,7145562273,,,0,11,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
reGenDen - Pro Services,7143184669,,5,8,5,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Alternative medicine
"Cipriano F. Mariano, DC",7329285888,,,0,120,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Haines Chiropractic,7323640010,,,0,117,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Ocean Acupuncture and Herb Medicine Center,7322727005,,,0,116,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Pizzolo Chiropractic Results,7322814040,,3,2,111,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Beth Ann White-Maness Chiropractic,7324585885,,5,3,107,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Dr. Karl Koovits,7323946032,,5,1,106,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Rada Mary Ellen DC,7329014343,,,0,104,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Monmouth Associated Spine & Rehabilitation Center,7329012928,,5,38,102,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
"Katherine Holstein, DC",7576159672,,,0,100,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Edison Oak Tree Chiropractic,7327971300,,,0,99,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
"Carlo E. Amato, DC",7323643366,,,0,95,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Tharp Casey DC,7327197949,,,0,91,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Fullaway Dustin C DC,7327197949,,,0,86,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Bambo Rejane DC,7327197949,,,0,82,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Torres Doris DC,7327197949,,,0,81,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Dr. Jeffrey Savitt,7328409000,,5,2,78,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Spectrum Physical Therapy,7323705800,,5,3,76,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Dr. Jeffrey M. Savitt,7328409000,,5,3,74,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
"Hannah Milstein, DC",3478932149,,,0,73,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Cataldo Nicole DC,7327197949,,,0,72,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Indiglo Vibrations,7322981384,,,0,71,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Waltsak Jacqueline DC,7327197949,,,0,68,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
"Dr. Joseph S. Falkowski, DO",7324775600,,,0,62,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Cohen Scott DO,7326572887,,,0,58,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Rodriguez Edward DC,7327197949,,,0,57,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Johnson Glen DC,7327197949,,,0,56,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Shari Roseff,7323709200,,5,2,52,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Sommeling Margaret DC,7327197949,,,0,50,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Psychic,7327790291,,4.3,16,42,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Phoenix Chiropractic,6098918248,,5,6,37,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Cimar Chiropractic Center,7329285888,,5,2,34,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
"Edward P. Masterson, DC",7323703300,,5,6,32,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Dr. Judson Chaney,7322021500,,,0,31,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Chiropractic Institute of Health and Longevity,7322625066,,5,2,30,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Current Rehab & Performance,7324287472,,5,70,27,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Dr. Teresa Mariano,7329285888,,5,1,26,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Western Therapeutics Massage Therapy,7325670553,,5,2,24,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Vitamins N's Organic Dr,7322551400,,3,2,21,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
"Eric S. Mininsohn, DC",7323702225,,5,1,15,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Calily Oil,6465088447,,,0,12,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
"Nicole Ferro, DO",7323941077,,5,5,11,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
"Melodies, Memories, & Meditation, LLC in Howell, NJ",9082783909,,,0,9,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Advance Therapeutic Center,7329410301,,,0,7,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Rophat Healing Services,7329010055,,,0,5,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Healthy Holistic Healing,7327544475,,,0,3,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Center for holistic and oriental medicine,7327301600,,,0,2,Lakewood,NJ,GMT-05:00 America/New_York (EST),Alternative medicine
Chiropractic Health-Accident,8034080965,,5,1,111,Columbia,SC,GMT-05:00 America/New_York (EST),Alternative medicine
"Chiropractic Health Center Of SC,LLC",8037760550,,5,10,109,Columbia,SC,GMT-05:00 America/New_York (EST),Alternative medicine
Chiropractic of Blythewood,8036918842,,5,4,106,Columbia,SC,GMT-05:00 America/New_York (EST),Alternative medicine
"Davis Chiropractic, LLC",8037183212,,5,4,105,Columbia,SC,GMT-05:00 America/New_York (EST),Alternative medicine
