company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
ACCOUNTING & TAX PROS,8134644802,,5.0,3,118,Tampa,FL,GMT-05:00 America/New_York (EST),Accountant
Centennial Accounting Group,7209756314,,5.0,2,114,Tampa,FL,GMT-05:00 America/New_York (EST),Accountant
SUNSET ACCOUNTING,7273868291,,5.0,4,109,Tampa,FL,GMT-05:00 America/New_York (EST),Accountant
"Desarden Accounting Services, Inc",8133315496,,5.0,14,104,Tampa,FL,GMT-05:00 America/New_York (EST),Accountant
Lacey Tax & Accounting,8136670732,,4.7,6,103,Tampa,FL,GMT-05:00 America/New_York (EST),Accountant
ZPM Accounting LLC,5078379345,,5.0,1,101,Tampa,FL,GMT-05:00 America/New_York (EST),Accountant
"Pedro Ortiz , Accountant , Bookkeeping & Tax",8137169208,,5.0,1,96,Tampa,FL,GMT-05:00 America/New_York (EST),Accountant
Appletax Accounting Services,7275819254,,5.0,7,95,Tampa,FL,GMT-05:00 America/New_York (EST),Accountant
SEJ Latin Accounting Services,8139935423,,5.0,22,92,Tampa,FL,GMT-05:00 America/New_York (EST),Accountant
That Cloud Accountant,8136900969,,5.0,1,91,Tampa,FL,GMT-05:00 America/New_York (EST),Accountant
Swan Accounting Solutions,7272077403,,5.0,6,86,Tampa,FL,GMT-05:00 America/New_York (EST),Accountant
DPR Accounting,7275459112,,4.0,8,80,Tampa,FL,GMT-05:00 America/New_York (EST),Accountant
Patricia Wolfe CPA,8132546655,,5.0,1,77,Tampa,FL,GMT-05:00 America/New_York (EST),Accountant
Folsom Accounting Services,7277388906,,5.0,2,69,Tampa,FL,GMT-05:00 America/New_York (EST),Accountant
Accounting Taxes & More Inc,7274499994,,5.0,15,59,Tampa,FL,GMT-05:00 America/New_York (EST),Accountant
Judith Cornelius Cole CPA PA,8138761223,,4.9,10,55,Tampa,FL,GMT-05:00 America/New_York (EST),Accountant
Zaki Accounting Services LLC,9733564580,,5.0,2,52,Tampa,FL,GMT-05:00 America/New_York (EST),Accountant
Insight Accounting,7274459707,,5.0,3,51,Tampa,FL,GMT-05:00 America/New_York (EST),Accountant
Ron Howell Accountants & Tax Accountants of Tampa Bay,8139856500,,5.0,1,49,Tampa,FL,GMT-05:00 America/New_York (EST),Accountant
