company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Florida Alternative Medicine,8139228939,,,0,102,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
ACUPUNCTURE & HOLISTIC MEDICINE,8139884644,,,0,87,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
Priority Health International,8136250441,,,0,85,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
DocMJ,8133923851,,4.6,89,76,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
Quintessence Alternative Healing Therapies,8132646052,,,0,71,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
Madeira Beach Center For Natural Medicine,7272120640,,4.4,7,62,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
Tarpon Integrative Medicine (Old Tarpon Chiropractic),7279421618,,5.0,10,55,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
Alternative Health Therapies,7274499090,,4.0,4,50,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
Bloomingdale Acupuncture / AcuTampa Natural Healing,8133412200,,4.7,12,49,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
Alternative Medicine of Tampa,8132985832,,,0,40,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
Biomagnetic Healing with Michele,7277091816,,5.0,3,39,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
Essence of Natural Medicine,7275122744,,5.0,2,34,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
Alternative Health Solutions MD Inc,8139893186,,5.0,1,25,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
Integrative Medicine Healing Center,7275240900,,5.0,4,23,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
"MAC Therapies, Inc. Alternative & Holistic Health care -Mark A. Calandro, CNMT",7277233888,,5.0,1,16,Tampa,FL,GMT-05:00 America/New_York (EST),Alternative medicine
The Zen Spot,4322186925,,5.0,20,49,Midland,TX,GMT-06:00 US/Central (CST),Alternative medicine
Doll-Hollander Chiropractic,4325200773,,3.5,13,47,Midland,TX,GMT-06:00 US/Central (CST),Alternative medicine
La Luna Reiki Healing,2039177957,,,0,45,Midland,TX,GMT-06:00 US/Central (CST),Alternative medicine
