company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Jim Batts Body Shop,8132233225,,5.0,2,119,Tampa,FL,GMT-05:00 America/New_York (EST),Auto body shop
Color Concepts Auto Refinishing,7274614404,,5.0,6,114,Tampa,FL,GMT-05:00 America/New_York (EST),Auto body shop
Castillos Tampa Bay Auto Repair,8135464377,,4.6,38,109,Tampa,FL,GMT-05:00 America/New_York (EST),Auto body shop
"Stingray Customs - Auto Body, Painting & Collision Repair",7276477189,,4.6,25,108,Tampa,FL,GMT-05:00 America/New_York (EST),Auto body shop
Brandon Body Shop,8136851612,,4.0,54,104,Tampa,FL,GMT-05:00 America/New_York (EST),Auto body shop
Drew Park Auto Collision,8134219191,,4.7,15,103,Tampa,FL,GMT-05:00 America/New_York (EST),Auto body shop
Weldon's Body Shop Inc,8137541155,,4.9,15,101,Tampa,FL,GMT-05:00 America/New_York (EST),Auto body shop
Goliath Auto Body,7275205547,,4.6,18,100,Tampa,FL,GMT-05:00 America/New_York (EST),Auto body shop
Redman collision and service center,7279383515,,4.9,27,97,Tampa,FL,GMT-05:00 America/New_York (EST),Auto body shop
Quality Auto Body Services,7275431596,,4.3,30,94,Tampa,FL,GMT-05:00 America/New_York (EST),Auto body shop
R & B Auto Body,7274988636,,4.0,1,88,Tampa,FL,GMT-05:00 America/New_York (EST),Auto body shop
Forrester Frame Work,7274246890,,4.6,11,87,Tampa,FL,GMT-05:00 America/New_York (EST),Auto body shop
Salomon Body Shop,8138109843,,4.9,15,86,Tampa,FL,GMT-05:00 America/New_York (EST),Auto body shop
King Paint & Auto Body,7278490537,,4.6,53,81,Tampa,FL,GMT-05:00 America/New_York (EST),Auto body shop
Pagano Auto Body LLC,7274477787,,5.0,11,79,Tampa,FL,GMT-05:00 America/New_York (EST),Auto body shop
Advance Auto Body Inc,7273214803,,4.5,26,74,Tampa,FL,GMT-05:00 America/New_York (EST),Auto body shop
Pepi's Body Shop,8132122233,,5.0,12,73,Tampa,FL,GMT-05:00 America/New_York (EST),Auto body shop
Caliber Collision,8137400700,,4.7,1,68,Tampa,FL,GMT-05:00 America/New_York (EST),Auto body shop
Eme And My Friend Body Shop,4049578244,,5.0,28,66,Tampa,FL,GMT-05:00 America/New_York (EST),Auto body shop
