company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Gotham Private Bartenders,4106622715,,,0,119,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Caps Off T-n-T Seafood,7273864714,,,0,116,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Masarap Bowls,8133707980,,5.0,18,115,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Harvest Eats Mobile Catering,8135798699,,,0,114,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
The Black Cat Cafe,7272487770,,3.4,5,111,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Buki’s Tacos,8136832725,,4.0,8,109,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Ms. Chaquita S Liquid Catering Co.,8134205964,,1.0,1,108,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Mr. C's Grilled Cheese,8133021600,,4.8,37,107,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Antojitos Zapata Food Truck,6562249754,,5.0,14,105,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Night Owls Food Truck,7278551708,,5.0,1,100,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Monica's Mixology,7638980312,,,0,98,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
PAMZ PIZZA CONEZ,2145862661,,5.0,2,95,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Jersey Dogs,7272651016,,4.9,13,93,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Jumping Drinks,8135505850,,,0,90,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
The Caterer,7275934016,,,0,89,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Kate's catering,+17874693750,,,0,88,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Chef Breezie Of Granddaughters Kitchen,7023443638,,,0,84,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Tara's Kitchen,7278356467,,4.6,9,76,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Hub Tap,8134192264,,5.0,71,75,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Floribbean Fusion Food Truck and Catering,7272829283,,5.0,9,73,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
The Shawarma King,8139984599,,5.0,54,68,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
The Genius Caterer,9203053411,,,0,62,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Devil Dogs Eatery,7272656807,,5.0,13,58,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Anytime Eats Food Truck,7273013166,,4.8,75,56,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Jumping Drinks,8135505850,,5.0,2,48,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Smaller The Better Catering,8136385845,,5.0,7,46,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
ExecChef Catering & Cafes,7277981246,,3.8,24,45,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
"Better Me Foods, Products and Services",4072838075,,5.0,13,38,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
The SALT Caters,8338437258,,5.0,1,37,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Cater Tampa,8139060222,,5.0,4,34,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
El Vaquero Tacos y Montados,4325308430,,4.4,11,105,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Capell's Catering,4326890200,,5.0,1,104,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Cicis Pizza,4326853020,,4.0,1,95,Midland,TX,GMT-06:00 US/Central (CST),Caterer
22:20 BBQ,4323104269,,5.0,2,84,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Boma's Kitchen,5623247430,,5.0,1,82,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Bubbles Event Planning & Rentals,4322544704,,4.1,14,64,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Chef Shack,4322728204,,,0,62,Midland,TX,GMT-06:00 US/Central (CST),Caterer
A97 Food Media,4325990642,,4.6,16,61,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Sam's Bar-B-Q,4325701082,,4.0,96,56,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Java Galaxy Shaved Ice and Coffee,4322887782,,,0,50,Midland,TX,GMT-06:00 US/Central (CST),Caterer
JRD’S Catering,4329242735,,4.4,7,43,Midland,TX,GMT-06:00 US/Central (CST),Caterer
JayRiah's Catering,4323495030,,,0,40,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Down South Seafood,3375804602,,,0,39,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Midland Martini,4329941007,,,0,36,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Halo Peno's,4326317674,,4.3,7,35,Midland,TX,GMT-06:00 US/Central (CST),Caterer
McLili,4064803408,,,0,34,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Down South Seafood,3375804602,,4.4,16,25,Midland,TX,GMT-06:00 US/Central (CST),Caterer
YADE Enterprise,4325565353,,,0,21,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Q's Texas BBQ Express,4326526459,,3.0,1,19,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Reign's Catering,4322890238,,,0,17,Midland,TX,GMT-06:00 US/Central (CST),Caterer
La Zopilota LLC,4324887746,,5.0,5,16,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Taqueria El Mirador,4322890305,,5.0,3,15,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Scooter Dog TX,4328532024,,5.0,2,14,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Mariquita's Taniche & Catering,4325560810,,5.0,9,13,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Brie & Brut,8177937068,,5.0,6,11,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Fabela's Catering,4325632882,,4.6,8,6,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Tania's Hot Mess Express,7608077558,,,0,97,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Dianimal's Barbecue,7608855555,,,0,96,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Hot Diggity Dog Catering,7605967683,,,0,95,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
The Notorious Chef (Wedding & Event Caterer),9097825255,,5.0,3,92,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Chevelle Caterers & Events,4242348336,,5.0,2,84,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Norma The Taco Lady | Catering Service | Food Service | Event Caterers,8182626611,,5.0,4,83,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Lil Tony’s Pizza and Gelato,7609987399,,,0,80,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
"caterer in west covina, ca",9092841067,,5.0,1,66,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Chef Tami - Personal Chef and Caterer,9094535013,,5.0,7,65,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Hesperia Banquet Hall,7606690462,,4.0,38,62,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Fancy Creation's by Lisbect,7606629809,,,0,55,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Bucci’s Bistro Italian Food,7606289470,,,0,50,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Chipotle Mexican Grill,7609488027,,4.1,1,49,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Mad Smoke,7604536071,,,0,48,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
The Carro Bar. Mobile Bartender.,9093322938,,,0,47,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
