company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Kingdom Chiropractic-Tampa,8134341045,,4.4,39,104,Tampa,FL,GMT-05:00 America/New_York (EST),Chiropractor
Reynolds Chiropractic,7273515134,,5.0,44,94,Tampa,FL,GMT-05:00 America/New_York (EST),Chiropractor
Absolute Wellness Centers,8134886315,,5.0,80,69,Tampa,FL,GMT-05:00 America/New_York (EST),Chiropractor
"Alivio Injury Solutions (Odessa, TX)",4327777767,,,0,56,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
"Gregory D. Young, DC",4325245580,,5.0,4,53,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
"Kathleen S. Summers, DC",4325232400,,4.5,8,51,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
"Christian L. Tschauner, D",4323375553,,,0,50,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
"Eric M. Fierro, DC",4325803700,,1.0,1,49,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
Bradshaw Wesley A DC,4323332225,,,0,46,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
Multi Care Plus,4325803700,,5.0,2,45,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
Dr. Edward Rowland,4326174564,,,0,43,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
Defrance Inc,4325633393,,,0,42,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
"Gerald R. Beaty, DC",4323622303,,5.0,8,41,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
Terry Michael C DC,4323375553,,,0,37,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
Scott Chiropractic & Wellness,4323638020,,3.7,3,36,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
"Christopher D. Cummins, DC",4323375553,,,0,30,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
Tall City Chiropractic,4322622440,,3.5,6,29,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
Doll-Hollander Chiropractic,4325200773,,3.5,13,24,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
"Wassenberg David DC RETIRED All patients have been referred to Dr Mansfield at 4107 W Illinois Midland, Tx",4326979797,,4.3,6,21,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
"Kevin S. Willhite, DC",4325708228,,3.7,3,17,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
"Gina B. Beckham, DC",4325221548,,5.0,7,14,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
"Doll Chiropractic PC David J. Doll, DC",4325200773,,4.2,71,13,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
Absolute Chiropractic,4325221548,,4.6,11,2,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
"Dr. Mehdi Khademi chiropractor, at Azusa-Covina health services",6268596460,,5.0,5,93,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Chiropractor
Your Chiropractic,6267147479,,5.0,12,83,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Chiropractor
Family Chiropractic,6617228183,,4.4,30,77,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Chiropractor
Pacific Crest Chiropractic,9099211466,,5.0,1,60,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Chiropractor
High Desert Wellness: Integrative Psychotherapy & Holistic Health,7605960347,,4.7,9,50,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Chiropractor
Benjamin Kang,5628793856,,,0,46,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Chiropractor
Myung Sim Dang Acupuncture & Chiropractic,5628092535,,4.0,1,45,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Chiropractor
"Elizabeth J. Storm, MFTI",7602454695,,,0,44,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Chiropractor
Park Chang-Gyu DC,7609480353,,,0,41,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Chiropractor
