company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Computer Plus Wireless,8138991875,,5.0,2,99,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
uBreakiFix - Phone and Computer Repair,7274759100,,4.7,1,96,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
uBreakiFix - Phone and Computer Repair,8135135663,,4.8,1,87,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
uBreakiFix - Phone and Computer Repair,7274759012,,4.8,1,86,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
IGTech365 - Managed IT Services in Tampa,8137040523,,5.0,39,84,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
uBreakiFix - Phone and Computer Repair,7272239258,,4.8,1,80,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
uBreakiFix - Phone and Computer Repair,7277774055,,4.8,1,75,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
Theta Computers,7272105870,,5.0,1,74,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
Computer Repair Y Más,8138323600,,5.0,3,71,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
uBreakiFix - Phone and Computer Repair,8135595954,,4.8,1,66,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
Clearwater Laptop Services Repairs,7278588670,,4.3,7,60,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
Gulfport Computer Repair,7273883493,,4.9,83,54,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
Computer Repair Clearwater,7274909739,,4.7,35,46,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
Reliable Computer Systems,7275777583,,4.9,92,42,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
Nick's Computer Repair,7273503369,,4.9,56,31,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
Gulf Coast Networks,7273603146,,5.0,11,22,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
CL Computers,8138898013,,5.0,84,10,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
TECH ZONE WIRELESS,4322186351,,,0,93,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
"C&A Fleet Service, LLC mobile truck and trailer repairs",9563345535,,4.7,30,90,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Faith on Wheels,4322170444,,4.2,37,88,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Office Depot Print & Copy Services,4327892173,,4.2,15,84,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Fix A Phone,4323125981,,4.7,40,79,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Computer Solution,4323629494,,,0,78,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
D3 Tech Solutions,4323121688,,,0,70,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
GS Supreme Systems LLC.,4322791250,,,0,65,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Secured Data Solutions,4326869811,,,0,55,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
The Computer Buddy,4322604769,,5.0,3,54,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Laneta's computer and electronics repair,4328883739,,3.0,20,52,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Mobile Computing,4325991263,,2.0,3,51,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Office Depot Tech Services,4326530924,,3.5,2,38,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Vega Computer Services,4323810334,,4.3,3,35,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Almighty Tech Services,4322384962,,5.0,14,34,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Total Computer Solutions,4329243077,,5.0,1,33,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Source Computer Solutions Inc,4325700268,,5.0,1,31,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Commercial Electronic Supply,4326828647,,4.6,34,30,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
X-PressIT Now,2143670553,,,0,25,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Wireless Repair & Accessories,4323664200,,4.8,22,24,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
M Tech Consulting,4322039500,,5.0,11,19,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
PC Pros Midland,4322609660,,4.7,14,17,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Open Sky IT Solutions,4322586042,,4.2,5,15,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Office Depot Tech Services,4327892174,,4.0,2,10,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
On Site Computer Services,4322351016,,,0,8,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Ramos PC Repair,4326386245,,5.0,1,5,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Computer Support Services,4326943915,,4.0,1,4,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
CDs Service,4323526528,,5.0,1,2,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Tailored Computer Services,4322142221,,5.0,15,1,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Geek Shop Inc.,4243201724,,2.5,8,120,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Computer repair
