company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Brandon Gooch,(432) 694-4800,,,0,119,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Dr. Karen King,(432) 618-5215,,,0,117,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Music City Mall Dental,(432) 363-4867,,2.8,19,114,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Smiles Inc.,(432) 682-1222,,,0,113,Midland,TX,GMT-06:00 US/Central (CST),Dentist
"Dr. Robert B. Sears, DDS",(432) 570-0238,,,0,110,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Rapolla Allen R DDS,(432) 682-1614,,,0,108,Midland,TX,GMT-06:00 US/Central (CST),Dentist
"Dr. Bryan Q. Bui, DMD",(510) 731-6119,,,0,104,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Gaines Charles R DDS,(432) 684-6650,,,0,102,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Transformational Practices,(432) 360-3323,,,0,101,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Koesters Jason F DDS,(432) 686-0000,,,0,97,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Lanham Larry B DDS,(432) 682-1614,,,0,93,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Allison Watts,(432) 682-0188,,,0,89,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Dr. Karen Rude,(432) 699-4811,,1.0,1,87,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Clay Wade H DDS,(432) 687-1551,,3.2,9,83,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Pain Management of TMJ,(432) 522-1882,,3.0,1,81,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Cox J Mark DDS,(432) 684-4012,,5.0,1,60,Midland,TX,GMT-06:00 US/Central (CST),Dentist
The Kid's Place,(432) 689-5437,,4.7,11,56,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Dr. Manuel C. Carrasco,(432) 337-2522,,4.5,16,49,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Permian Basin Periodontology and Implants,(432) 262-0290,,4.9,34,33,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Poe Keith w DDS,(432) 694-8823,,5.0,13,31,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Trimor-Velasco Milagros G DDS,7609518800,,4.5,18,120,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Dentist
Hu Ke DDS,7602084858,,4.0,4,117,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Dentist
"Dr. Joe C. Pinkner, DDS",7602423626,,5.0,1,115,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Dentist
"Dr. Samuel H. Ko, DDS",7609523756,,3.0,12,114,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Dentist
Victorville Dental Office,7609519900,,2.9,23,113,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Dentist
Hi-Country Dental Care,7602418181,,5.0,2,111,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Dentist
Doctor Roy's Dental Office,7602457704,,3.3,7,110,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Dentist
Bordonaro Frank T DDS,7602451049,,5.0,2,107,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Dentist
Hesperia Dental Center,7602447232,,3.9,16,97,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Dentist
Steve M Blech DDS,7602425033,,5.0,8,96,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Dentist
Moy Howard W DDS,7602418181,,5.0,5,94,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Dentist
Hesperia Central Dental,7602444844,,4.4,7,93,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Dentist
Stromberg Louis Z DDS,7602452010,,5.0,1,92,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Dentist
"Robert A. Myers DDS, Inc.",7609480040,,5.0,11,81,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Dentist
"Dr. Hyun Joon Shin, DDS",7602457083,,5.0,7,80,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Dentist
Hao Amy C DDS,7602445600,,5.0,3,71,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Dentist
"Dr. Rosemarie Reyes, DDS",7609519181,,5.0,1,69,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Dentist
Procare Dental,7609519997,,3.9,11,66,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Dentist
Dexter Dental Group,7602420796,,4.2,54,55,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Dentist
John S. Shaver DDS & Benjamin Pinto DMD,7602454035,,4.8,12,50,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Dentist
Elite Dental Services,7602473030,,4.4,37,34,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Dentist
Dr Shin's Dental Office,7602457083,,4.6,33,32,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Dentist
Dr. Y. Lee Family Dentistry Yong Hee Lee DDS Inc.,7602434366,,5.0,96,31,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Dentist
Apple Valley Dental Associates,7609461466,,4.4,31,30,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Dentist
