company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
"Michael Carboni - Financial Advisor, Ameriprise Financial Services, LLC",7273533431,,,0,121,Tampa,FL,GMT-05:00 America/New_York (EST),Financial advisor
"Kyle Rettig - Financial Advisor, Ameriprise Financial Services, LLC",7277267565,,,0,120,Tampa,FL,GMT-05:00 America/New_York (EST),Financial advisor
"Peter Sullivan - Financial Advisor, Ameriprise Financial Services, LLC",8138688733,,,0,117,Tampa,FL,GMT-05:00 America/New_York (EST),Financial advisor
"Scott Chinarian - Financial Advisor, Ameriprise Financial Services, LLC",8132533171,,,0,112,Tampa,FL,GMT-05:00 America/New_York (EST),Financial advisor
"Lara Berner Yates - Financial Advisor, Ameriprise Financial Services, LLC",8132079030,,,0,110,Tampa,FL,GMT-05:00 America/New_York (EST),Financial advisor
"Paul J Grande - Financial Advisor, Ameriprise Financial Services, LLC",8005531616,,,0,109,Tampa,FL,GMT-05:00 America/New_York (EST),Financial advisor
"Kevin Stryker - Financial Advisor, Ameriprise Financial Services, LLC",8132812233,,,0,107,Tampa,FL,GMT-05:00 America/New_York (EST),Financial advisor
"Todd Demko - Financial Advisor, Ameriprise Financial Services, LLC",7273731432,,,0,105,Tampa,FL,GMT-05:00 America/New_York (EST),Financial advisor
Merrill Lynch Wealth Management,7277995600,,3.3,4,103,Tampa,FL,GMT-05:00 America/New_York (EST),Financial advisor
Fidelity Investments,8002482710,,3.2,43,102,Tampa,FL,GMT-05:00 America/New_York (EST),Financial advisor
"Logan Fleming - Financial Advisor, Ameriprise Financial Services, LLC",8138775713,,,0,100,Tampa,FL,GMT-05:00 America/New_York (EST),Financial advisor
"Christopher Musso - Financial Advisor, Ameriprise Financial Services, LLC",8132533171,,,0,98,Tampa,FL,GMT-05:00 America/New_York (EST),Financial advisor
"Richard Stoner - Financial Advisor, Ameriprise Financial Services, LLC",7277679166,,,0,95,Tampa,FL,GMT-05:00 America/New_York (EST),Financial advisor
"Henry Edwin Sly - Associate Financial Advisor, Ameriprise Financial Services, LLC",7277267565,,,0,93,Tampa,FL,GMT-05:00 America/New_York (EST),Financial advisor
"Michael Andrew Gordon - Financial Advisor, Ameriprise Financial Services, LLC",8138775713,,,0,92,Tampa,FL,GMT-05:00 America/New_York (EST),Financial advisor
"Norman McEvoy - Financial Advisor, Ameriprise Financial Services, LLC",8138775713,,,0,91,Tampa,FL,GMT-05:00 America/New_York (EST),Financial advisor
"Destiny Kunzig - Financial Advisor, Ameriprise Financial Services, LLC",8139941190,,,0,90,Tampa,FL,GMT-05:00 America/New_York (EST),Financial advisor
"Thomas Heinrichs - Financial Advisor, Ameriprise Financial Services, LLC",8137770091,,,0,89,Tampa,FL,GMT-05:00 America/New_York (EST),Financial advisor
"Sunrise Financial Advisors, LLC",8136142493,,,0,88,Tampa,FL,GMT-05:00 America/New_York (EST),Financial advisor
"David Newhard - Financial Advisor, Ameriprise Financial Services, LLC",8138700892,,,0,86,Tampa,FL,GMT-05:00 America/New_York (EST),Financial advisor
"John Joseph Lomba - Financial Advisor, Ameriprise Financial Services, LLC",4074598876,,,0,85,Tampa,FL,GMT-05:00 America/New_York (EST),Financial advisor
"Brandon Fox - Associate Financial Advisor, Ameriprise Financial Services, LLC",7277267565,,,0,84,Tampa,FL,GMT-05:00 America/New_York (EST),Financial advisor
"William Faucher - Financial Advisor, Ameriprise Financial Services, LLC",7279370300,,,0,83,Tampa,FL,GMT-05:00 America/New_York (EST),Financial advisor
