company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Service-Tech Corporation,7275397000,,5.0,12,88,Tampa,FL,GMT-05:00 America/New_York (EST),HVAC technician
Home Service Heroes,8136963398,,4.8,2,81,Tampa,FL,GMT-05:00 America/New_York (EST),HVAC technician
Hawkins Service Company,8136065143,,4.9,2,79,Tampa,FL,GMT-05:00 America/New_York (EST),HVAC technician
Integrity Home Solutions,8135756500,,4.8,7,75,Tampa,FL,GMT-05:00 America/New_York (EST),HVAC technician
Cool Today,7273082409,,4.0,95,70,Tampa,FL,GMT-05:00 America/New_York (EST),HVAC technician
FL HVAC Team,8136036398,,4.9,48,69,Tampa,FL,GMT-05:00 America/New_York (EST),HVAC technician
Midway Services,7275654715,,4.8,2,35,Tampa,FL,GMT-05:00 America/New_York (EST),HVAC technician
Cool Today,8136264111,,4.7,2,9,Tampa,FL,GMT-05:00 America/New_York (EST),HVAC technician
The Comfort Authority,8134614819,,4.9,1,3,Tampa,FL,GMT-05:00 America/New_York (EST),HVAC technician
Debouse Mech Tech Service,4322760371,,,0,75,Midland,TX,GMT-06:00 US/Central (CST),HVAC technician
Extreme AC/Heat,4322083739,,1.0,2,71,Midland,TX,GMT-06:00 US/Central (CST),HVAC technician
Air Tech A/C & Heating,4322490170,,4.5,2,70,Midland,TX,GMT-06:00 US/Central (CST),HVAC technician
G & L Plumbing Heating & AC,4325505333,,,0,68,Midland,TX,GMT-06:00 US/Central (CST),HVAC technician
Air Comfort Heating & Air Conditioning,4322744962,,5.0,4,65,Midland,TX,GMT-06:00 US/Central (CST),HVAC technician
Ferguson HVAC Supply,4322767257,,5.0,1,62,Midland,TX,GMT-06:00 US/Central (CST),HVAC technician
Odessa Air Conditioning HVAC services Inc,4325520053,,4.3,52,61,Midland,TX,GMT-06:00 US/Central (CST),HVAC technician
Debouse Mech Tech Service,4322760371,,1.0,2,59,Midland,TX,GMT-06:00 US/Central (CST),HVAC technician
Comfortmaker AC & Heating,4323671615,,3.0,2,58,Midland,TX,GMT-06:00 US/Central (CST),HVAC technician
Adaquate Air and Heating LLC,4329673512,,4.9,46,51,Midland,TX,GMT-06:00 US/Central (CST),HVAC technician
G & L Plumbing Heating & AC,4323376839,,5.0,2,50,Midland,TX,GMT-06:00 US/Central (CST),HVAC technician
Style Crest - Jim's Refrigeration Inc,4325635341,,3.6,37,49,Midland,TX,GMT-06:00 US/Central (CST),HVAC technician
Redhawk Heating & Air Conditioning,4323555122,,4.9,56,45,Midland,TX,GMT-06:00 US/Central (CST),HVAC technician
Zion Heating & Cooling/Commercial Refrigeration,4328893183,,,0,43,Midland,TX,GMT-06:00 US/Central (CST),HVAC technician
Heating and AC Services,4327038567,,4.8,11,37,Midland,TX,GMT-06:00 US/Central (CST),HVAC technician
Sunbeam Conditioning,4322331449,,,0,36,Midland,TX,GMT-06:00 US/Central (CST),HVAC technician
