company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Sofia Hair Studio & Salon,(727) 504-3878,,4.8,45,118,Tampa,FL,GMT-05:00 America/New_York (EST),Hair salon
Salon,(813) 374-9224,,4.6,77,112,Tampa,FL,GMT-05:00 America/New_York (EST),Hair salon
Tra Vinh Beauty Salon,(727) 547-5477,,4.8,84,109,Tampa,FL,GMT-05:00 America/New_York (EST),Hair salon
Kwik Kut Hair Salon,(813) 835-4368,,5.0,15,100,Tampa,FL,GMT-05:00 America/New_York (EST),Hair salon
La Bella Hair Studio,(727) 446-4959,,4.9,63,98,Tampa,FL,GMT-05:00 America/New_York (EST),Hair salon
Misty and Company Hair Salon Inc,(727) 336-7988,,5.0,31,95,Tampa,FL,GMT-05:00 America/New_York (EST),Hair salon
The Avenue Hair Salon,(727) 772-7742,,5.0,24,86,Tampa,FL,GMT-05:00 America/New_York (EST),Hair salon
Ambitions Salon & Spa,(727) 392-1330,,4.6,37,83,Tampa,FL,GMT-05:00 America/New_York (EST),Hair salon
Lucky Star Salon,(727) 822-7827,,4.9,77,78,Tampa,FL,GMT-05:00 America/New_York (EST),Hair salon
Salon Jack Hair Salon,(813) 831-8955,,4.6,67,70,Tampa,FL,GMT-05:00 America/New_York (EST),Hair salon
Southern Roots Hair Salon,(727) 216-3435,,4.8,69,68,Tampa,FL,GMT-05:00 America/New_York (EST),Hair salon
Green Door Salon Studios,(941) 518-5951,,4.9,38,53,Tampa,FL,GMT-05:00 America/New_York (EST),Hair salon
Designer Touch Hair Salon,(813) 948-6824,,5.0,81,45,Tampa,FL,GMT-05:00 America/New_York (EST),Hair salon
Salon,(813) 374-9224,,4.6,77,31,Tampa,FL,GMT-05:00 America/New_York (EST),Hair salon
True Colors A Hair Salon,(813) 250-6217,,4.7,31,29,Tampa,FL,GMT-05:00 America/New_York (EST),Hair salon
Andrea Ortiz,(432) 234-7828,,,0,120,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
Elegant Touch Hair Salon,(432) 580-0770,,4.6,95,119,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
Swati Eyebrow Threading and Beauty Salon,(432) 308-7969,,5.0,9,118,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
Holleywood Salon,(432) 550-5100,,5.0,15,109,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
Olivia's salon.,(432) 247-1688,,5.0,1,107,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
Muse,(432) 444-6873,,5.0,3,101,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
Airline Salon,(432) 520-5995,,4.8,4,98,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
D'Vine Beauty Salon,(432) 218-7303,,4.7,12,96,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
VII Beauty Lounge,(432) 389-6868,,4.8,80,94,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
All About Hair,(432) 694-3777,,4.8,8,92,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
Vintage Shears Salon,(432) 689-0830,,5.0,8,90,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
Headquarters,(432) 683-2300,,5.0,8,86,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
Trinity Salon & Spa,(432) 222-4583,,4.6,5,80,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
Head Hunters Salon,(432) 699-5999,,4.0,12,74,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
Tairash Braiding,(432) 301-3410,,4.9,37,73,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
Salon 5th Avenue,(432) 684-6068,,4.9,19,72,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
MD round the world African hair salons,(432) 934-6213,,4.8,54,71,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
Gelo Eternity Beauty,(432) 553-0828,,4.5,42,70,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
En Vogue Salon,(432) 262-8149,,4.1,30,69,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
Jas Hair Salon,(432) 262-0869,,4.1,13,67,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
Ray-Clark Salon,(432) 697-1508,,4.1,13,65,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
Southern Sass Salon,(432) 687-1977,,4.8,30,64,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
Patinized Hair,(432) 248-9317,,4.6,17,61,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
Hair By Skyler,(432) 254-5291,,5.0,13,56,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
Hair Creations,(432) 570-5362,,4.8,22,53,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
KNOT JUST LOCS HAIR STUDIO,(432) 218-6490,,4.9,42,51,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
Salon Tolani,(432) 683-1013,,4.7,25,50,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
Marie's Cuts,(432) 215-3794,,4.9,23,49,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
A Touch of Class Salon,(432) 570-6076,,4.4,67,47,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
Impressions Hair Salon and Barbershop,(432) 618-9813,,4.6,33,46,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
Heads First,(432) 694-8869,,5.0,11,44,Midland,TX,GMT-06:00 US/Central (CST),Hair salon
