company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Home Inspections of Tampa,8135150234,,5.0,2,120,Tampa,FL,GMT-05:00 America/New_York (EST),Home inspector
Quantex Home Inspections,3524575444,,3.8,17,119,Tampa,FL,GMT-05:00 America/New_York (EST),Home inspector
HD Home Inspector,8139281010,,4.3,6,117,Tampa,FL,GMT-05:00 America/New_York (EST),Home inspector
"Top To Bottom Home Inspection, Inc.",8135055526,,4.1,22,115,Tampa,FL,GMT-05:00 America/New_York (EST),Home inspector
"Attention to Detail Home Inspections, LLC",8134691788,,5.0,3,114,Tampa,FL,GMT-05:00 America/New_York (EST),Home inspector
Integra home inspection,7279927508,,5.0,10,113,Tampa,FL,GMT-05:00 America/New_York (EST),Home inspector
"Complete Home Inspection Services (TAMPA,FL)",8133801355,,3.0,4,111,Tampa,FL,GMT-05:00 America/New_York (EST),Home inspector
Local Home Inspection,8136059791,,5.0,8,110,Tampa,FL,GMT-05:00 America/New_York (EST),Home inspector
Florida Pro Home Inspections LLC,7272000297,,5.0,3,109,Tampa,FL,GMT-05:00 America/New_York (EST),Home inspector
Pinnacle Home Inspections,7274917935,,3.7,9,105,Tampa,FL,GMT-05:00 America/New_York (EST),Home inspector
All PRO Home Inspection Services,8136720997,,5.0,2,104,Tampa,FL,GMT-05:00 America/New_York (EST),Home inspector
Inviso Home Inspections,8133752853,,5.0,5,100,Tampa,FL,GMT-05:00 America/New_York (EST),Home inspector
"All In The Family Home Inspections, LLC.",7278431808,,5.0,17,98,Tampa,FL,GMT-05:00 America/New_York (EST),Home inspector
"HHH Home Inspection Services LLC, Pinellas Inspections",7275045053,,5.0,12,95,Tampa,FL,GMT-05:00 America/New_York (EST),Home inspector
Faulkner Home Inspections,8139653525,,5.0,14,92,Tampa,FL,GMT-05:00 America/New_York (EST),Home inspector
Dave Day Professional Home Inspections,7275101063,,4.3,6,85,Tampa,FL,GMT-05:00 America/New_York (EST),Home inspector
Bayshore House Inspections,8136256176,,5.0,9,79,Tampa,FL,GMT-05:00 America/New_York (EST),Home inspector
Suncoast Certified Home Inspections,7276236687,,5.0,8,74,Tampa,FL,GMT-05:00 America/New_York (EST),Home inspector
Million To One Home Inspections,8139452500,,5.0,16,64,Tampa,FL,GMT-05:00 America/New_York (EST),Home inspector
Gulf Shores Home Inspections,7273071339,,5.0,17,63,Tampa,FL,GMT-05:00 America/New_York (EST),Home inspector
"Local Home Inspection: Four Point, Wind Mitigation, Roof Inspection & more",8635139426,,5.0,15,60,Tampa,FL,GMT-05:00 America/New_York (EST),Home inspector
Forshaw Home Inspection Inc,8135998048,,5.0,5,59,Tampa,FL,GMT-05:00 America/New_York (EST),Home inspector
"True Aspect Home Inspections, LLC",7272449344,,5.0,16,55,Tampa,FL,GMT-05:00 America/New_York (EST),Home inspector
Blue Dolphin Home Inspections,7275061500,,5.0,2,54,Tampa,FL,GMT-05:00 America/New_York (EST),Home inspector
"Divinity Inspection Service, LLC - St Petersburg Home Inspection Services",7272898237,,5.0,1,32,Tampa,FL,GMT-05:00 America/New_York (EST),Home inspector
5A Property Inspection,4323521463,,,0,58,Midland,TX,GMT-06:00 US/Central (CST),Home inspector
DFS Inspections,2547226200,,,0,47,Midland,TX,GMT-06:00 US/Central (CST),Home inspector
Art's Inspection & Pipe Services,4323818720,,,0,46,Midland,TX,GMT-06:00 US/Central (CST),Home inspector
WTX Home Inspections,4322904505,,5.0,4,45,Midland,TX,GMT-06:00 US/Central (CST),Home inspector
"Davis Inspections, PLLC",4322020580,,,0,44,Midland,TX,GMT-06:00 US/Central (CST),Home inspector
Langfitt Home Inspection,4323620125,,,0,43,Midland,TX,GMT-06:00 US/Central (CST),Home inspector
Landshark Certified Inspctn,4322720585,,,0,42,Midland,TX,GMT-06:00 US/Central (CST),Home inspector
Allen Inspection Services,4323814221,,,0,41,Midland,TX,GMT-06:00 US/Central (CST),Home inspector
Reveal Inspections & Services Inc,4323622710,,,0,37,Midland,TX,GMT-06:00 US/Central (CST),Home inspector
Modest Inspections,4328133059,,4.5,8,36,Midland,TX,GMT-06:00 US/Central (CST),Home inspector
Robert's Inspection Services,4329780408,,3.0,2,35,Midland,TX,GMT-06:00 US/Central (CST),Home inspector
K Dove Home Inspection,4322359306,,,0,34,Midland,TX,GMT-06:00 US/Central (CST),Home inspector
Lone Star Inspection Services,4325805700,,4.8,4,33,Midland,TX,GMT-06:00 US/Central (CST),Home inspector
"DR Inspections, LLC.",4322883646,,5.0,29,32,Midland,TX,GMT-06:00 US/Central (CST),Home inspector
Johnson's Inspection Services,4323332113,,5.0,1,31,Midland,TX,GMT-06:00 US/Central (CST),Home inspector
Gorilla Inspections,4323624422,,,0,30,Midland,TX,GMT-06:00 US/Central (CST),Home inspector
