company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Integrity Home Solutions,8135756500,,4.8,7,71,Tampa,FL,GMT-05:00 America/New_York (EST),House cleaner
Carriage Cleaners,7273922175,,4.7,63,62,Tampa,FL,GMT-05:00 America/New_York (EST),House cleaner
Scrub It Cleaning,7029941317,,4.9,23,47,Tampa,FL,GMT-05:00 America/New_York (EST),House cleaner
White Glove Cleaning Service,8333525326,,4.5,24,38,Tampa,FL,GMT-05:00 America/New_York (EST),House cleaner
Nicely Cleaned,7272719812,,4.8,83,35,Tampa,FL,GMT-05:00 America/New_York (EST),House cleaner
Well Done Cleaning Service LLC,7275044702,,4.8,4,27,Tampa,FL,GMT-05:00 America/New_York (EST),House cleaner
Wehnonah's Cleaning Service,4322486096,,1.0,1,120,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Diamond M Cleaning Services,4323856085,,,0,115,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
GG's Cleaning Services,4238380005,,,0,112,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Better House and Business Cleaning By Julie,4325280671,,3.0,2,108,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
TruShine Cleaning Services,7863292984,,5.0,1,107,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Clever Clean & Clutter,4322481944,,,0,103,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
C&R,4326409034,,5.0,1,97,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Tina's Cleaning,4322389852,,2.0,1,95,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Windows Plus+,4323521052,,4.7,15,94,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Royalty Housekeeping,4326616617,,5.0,1,91,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
"Firewater, LLC - Disinfecting Services & Mobil Water Units",4322411226,,5.0,1,89,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Loredo Services,4323523867,,,0,88,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
GBU Bee Removal,4325578446,,5.0,21,87,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Project G Window Cleaning,4325203856,,5.0,1,84,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
