company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Life Insurance Agent,8133007003,,,0,107,Tampa,FL,GMT-05:00 America/New_York (EST),Insurance agent
Acg South Insurance Agency Llc,8556473846,,2.4,20,103,Tampa,FL,GMT-05:00 America/New_York (EST),Insurance agent
BILL HENDREN INSURANCE AGENCY,7272099100,,5.0,4,82,Tampa,FL,GMT-05:00 America/New_York (EST),Insurance agent
BILL HENDREN INSURANCE AGENCY,7272099100,,5.0,4,78,Tampa,FL,GMT-05:00 America/New_York (EST),Insurance agent
Deb Prescott - Insurance Agent,8888884320,,4.5,20,66,Tampa,FL,GMT-05:00 America/New_York (EST),Insurance agent
"West Texas Insurance Exchange, Inc",4323334106,,4.8,4,119,Midland,TX,GMT-06:00 US/Central (CST),Insurance agent
Gilliland Insurance,4325500033,,5.0,2,111,Midland,TX,GMT-06:00 US/Central (CST),Insurance agent
Beth Insurance Company Texas,4322872678,,4.3,7,104,Midland,TX,GMT-06:00 US/Central (CST),Insurance agent
Rosa Olivas - Aflac Insurance Agent,4326345210,,5.0,1,97,Midland,TX,GMT-06:00 US/Central (CST),Insurance agent
Permian Agency Insurance,4323331483,,4.7,19,94,Midland,TX,GMT-06:00 US/Central (CST),Insurance agent
Tiodoso Montoya - Aflac Insurance Agent,4323685124,,4.5,2,84,Midland,TX,GMT-06:00 US/Central (CST),Insurance agent
Pat Madison & Associates Insurance Agent,4326822222,,,0,80,Midland,TX,GMT-06:00 US/Central (CST),Insurance agent
Dan Duckworth - State Farm Insurance Agent,4326997546,,3.0,2,77,Midland,TX,GMT-06:00 US/Central (CST),Insurance agent
Robin Johnson - Aflac Insurance Agent,4325595977,,5.0,1,75,Midland,TX,GMT-06:00 US/Central (CST),Insurance agent
Brandon Falkner Insurance,8067863569,,,0,72,Midland,TX,GMT-06:00 US/Central (CST),Insurance agent
Capstone Strategies,4324005308,,5.0,2,70,Midland,TX,GMT-06:00 US/Central (CST),Insurance agent
"John Kennedy, Financial Professional - New York Life",4322884118,,,0,69,Midland,TX,GMT-06:00 US/Central (CST),Insurance agent
Ross Wells - Aflac Insurance Agent,4327703755,,,0,63,Midland,TX,GMT-06:00 US/Central (CST),Insurance agent
Hochheim Prairie Farm Mutual,4326997915,,3.0,2,59,Midland,TX,GMT-06:00 US/Central (CST),Insurance agent
Pro Insurance TX,4326869500,,,0,58,Midland,TX,GMT-06:00 US/Central (CST),Insurance agent
"West Texas Insurance Exchange, Inc",4326990933,,2.7,3,56,Midland,TX,GMT-06:00 US/Central (CST),Insurance agent
A-MAX Auto Insurance,4326839000,,4.4,73,55,Midland,TX,GMT-06:00 US/Central (CST),Insurance agent
Sylvia Cuellar - Aflac Insurance Agent,4325221415,,5.0,1,32,Midland,TX,GMT-06:00 US/Central (CST),Insurance agent
"InSource Insurance Group, LLC",4326822333,,4.7,16,23,Midland,TX,GMT-06:00 US/Central (CST),Insurance agent
"Jennie Pertzborn Insurance Agency, Representing Chambers Bay Insurance",4325867943,,5.0,4,9,Midland,TX,GMT-06:00 US/Central (CST),Insurance agent
JOSEPH REED LIFE AGENT,7609275261,,,0,84,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Insurance agent
Covered California - Certified Agent Isaias Medina,7609878978,,,0,81,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Insurance agent
Raquel Juarez: Primerica - Financial Services,8662130581,,3.6,5,80,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Insurance agent
"Insurance, Live Scan, DMV Services and Notary",7609983334,,4.9,48,79,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Insurance agent
Simple Auto Insurance services,7602410999,,3.9,55,77,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Insurance agent
Instate Insurance Services,7609552424,,3.3,4,67,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Insurance agent
Goosehead Insurance - Tony Garcia,9096570556,,5.0,2,66,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Insurance agent
Goosehead Insurance - Adrian Landa,9092954164,,4.4,7,65,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Insurance agent
"Diamond Professional Services, Inc.",7606848289,,4.2,16,59,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Insurance agent
Bryan Bagwell Insurance Agency,4422190011,,5.0,1,37,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Insurance agent
Fiesta Auto Insurance & Tax Service,7604775454,,5.0,96,36,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Insurance agent
Superior Quality Insurance Agency,7606693010,,4.4,29,19,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Insurance agent
Covered CA / Health Insurance Specialist,9093041927,,5.0,52,9,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Insurance agent
