company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Arael Haus,3013997239,,5.0,3,109,Tampa,FL,GMT-05:00 America/New_York (EST),Interior designer
Custom Home Interiors by Helen Graham,8135032204,,5.0,4,107,Tampa,FL,GMT-05:00 America/New_York (EST),Interior designer
"Stafford Interior Design, LLC",7274104408,,5.0,2,106,Tampa,FL,GMT-05:00 America/New_York (EST),Interior designer
Root and Rush Designs,8134340540,,5.0,3,103,Tampa,FL,GMT-05:00 America/New_York (EST),Interior designer
AMO Interior Architecture & Design,9204956477,,5.0,4,100,Tampa,FL,GMT-05:00 America/New_York (EST),Interior designer
Showhomes Celebration,8139480289,,5.0,5,98,Tampa,FL,GMT-05:00 America/New_York (EST),Interior designer
"Color Me Beautiful Interior Designs, LLC",8134101537,,,0,92,Tampa,FL,GMT-05:00 America/New_York (EST),Interior designer
"Interior Design by Bobbie, LLC",8135995967,,5.0,1,90,Tampa,FL,GMT-05:00 America/New_York (EST),Interior designer
CREATIVE DESIGN INTERIORS TAMPA,7275146396,,5.0,2,84,Tampa,FL,GMT-05:00 America/New_York (EST),Interior designer
"Franco A Pasquale Design Associates, Inc.",8132489811,,5.0,4,81,Tampa,FL,GMT-05:00 America/New_York (EST),Interior designer
el interiors tampa,8153704219,,5.0,8,70,Tampa,FL,GMT-05:00 America/New_York (EST),Interior designer
Terri White Design,8137848496,,5.0,9,69,Tampa,FL,GMT-05:00 America/New_York (EST),Interior designer
The Finishing Touch Interior Designs,2014522586,,5.0,1,67,Tampa,FL,GMT-05:00 America/New_York (EST),Interior designer
Thrive Design Studio,7277771871,,5.0,4,64,Tampa,FL,GMT-05:00 America/New_York (EST),Interior designer
Essence Design Studio,7275802916,,5.0,2,60,Tampa,FL,GMT-05:00 America/New_York (EST),Interior designer
Gilmore Interiors,7274206812,,5.0,1,57,Tampa,FL,GMT-05:00 America/New_York (EST),Interior designer
McKinlay Rose Interiors,8139810613,,4.6,9,55,Tampa,FL,GMT-05:00 America/New_York (EST),Interior designer
Neuve Design,7272599675,,3.7,3,50,Tampa,FL,GMT-05:00 America/New_York (EST),Interior designer
Doyal's Interior Design,8139620081,,5.0,1,37,Tampa,FL,GMT-05:00 America/New_York (EST),Interior designer
Cardinal Designs Home Staging,8133282252,,4.9,30,35,Tampa,FL,GMT-05:00 America/New_York (EST),Interior designer
Morel Interiors,8138156678,,5.0,1,33,Tampa,FL,GMT-05:00 America/New_York (EST),Interior designer
Slate Studios Interior Design,4128522864,,4.8,13,28,Tampa,FL,GMT-05:00 America/New_York (EST),Interior designer
Joann's Interiors,7273603270,,4.8,37,8,Tampa,FL,GMT-05:00 America/New_York (EST),Interior designer
Blackbird,4326182473,,,0,30,Midland,TX,GMT-06:00 US/Central (CST),Interior designer
Parkhill,4326971447,,5.0,4,29,Midland,TX,GMT-06:00 US/Central (CST),Interior designer
J Paul Cunningham Interior,4325509601,,,0,27,Midland,TX,GMT-06:00 US/Central (CST),Interior designer
Timeless Touch Designz,4322703989,,,0,26,Midland,TX,GMT-06:00 US/Central (CST),Interior designer
Emily Chesnut Design LLC,4326318780,,,0,21,Midland,TX,GMT-06:00 US/Central (CST),Interior designer
Home Decor,4326994450,,,0,20,Midland,TX,GMT-06:00 US/Central (CST),Interior designer
Chancellor Interiors,4326833800,,,0,18,Midland,TX,GMT-06:00 US/Central (CST),Interior designer
Russell L Freeman & Associates,4326825792,,,0,17,Midland,TX,GMT-06:00 US/Central (CST),Interior designer
Luisella's,4327701000,,,0,16,Midland,TX,GMT-06:00 US/Central (CST),Interior designer
PrettyWingz,4328131624,,,0,14,Midland,TX,GMT-06:00 US/Central (CST),Interior designer
Decor Unlimited,4326948858,,,0,13,Midland,TX,GMT-06:00 US/Central (CST),Interior designer
Classic Designs,4326180427,,,0,12,Midland,TX,GMT-06:00 US/Central (CST),Interior designer
The French Hen,4326863904,,,0,11,Midland,TX,GMT-06:00 US/Central (CST),Interior designer
Chesapeake Interiors,4326820029,,,0,8,Midland,TX,GMT-06:00 US/Central (CST),Interior designer
Vaughan Art & Interior,4326862008,,,0,7,Midland,TX,GMT-06:00 US/Central (CST),Interior designer
Pluto interiors LLC,4322472251,,,0,6,Midland,TX,GMT-06:00 US/Central (CST),Interior designer
L & J Designs LLC,4325700001,,5.0,1,2,Midland,TX,GMT-06:00 US/Central (CST),Interior designer
3 Day Blinds,8885846257,,,0,118,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Interior designer
Interior Design Details,7149829196,,,0,117,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Interior designer
