company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
"M & J's Aqua & Landscape Services, LLC",7275605996,,5.0,1,119,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
Landscape Surgeons LLC,8138337818,,5.0,3,116,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
Bright Horizons Landscape,8139003065,,5.0,2,112,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
Fishhawk Landscape & Irrigation,8134231529,,3.9,22,109,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
Gnomead Landscape Design LLC,7272883319,,5.0,5,108,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
Icon Image Landscape Companies,3212775207,,5.0,1,106,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
Jim-N-Kids Landscape Services,7274609649,,5.0,2,105,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
"Terry's Landscape, Inc",7275855390,,4.0,4,104,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
Clearwater Quality Landscape,9419990093,,5.0,1,96,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
Phoenix Lawn And Landscape,8135286118,,5.0,1,95,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
Hort and Soul Landscape Design,7275993244,,5.0,5,94,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
HD Landscaping - Tampa LLC,8134461264,,5.0,3,92,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
Burnett's Rock & Landscape Supplies,8136770882,,4.7,67,90,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
"A1 Arbor Care and Landscape Design, llc",7273268595,,5.0,4,88,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
Double K Lawn & Landscape,7274122272,,5.0,2,87,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
LMC landscape,8139091044,,3.3,4,86,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
Landscaping On The Bay LLC,8135109727,,5.0,1,80,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
Landscape,7272044569,,5.0,1,75,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
Southern Exteriors Landscape,7273287516,,5.0,2,74,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
Sunshine Landscape Management,7275459011,,3.6,14,63,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
HomeTeam Lawn & Landscape llc,8138179554,,4.4,48,61,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
L Henry Landscape Maintenance,8132678612,,5.0,1,59,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
Green Earth Landscape & Maintenance,8139324386,,5.0,1,48,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
On the Green Lawn & Landscape L.L.C,7276012960,,4.6,47,46,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
Rivera Mulch & Landscape Inc,8139096699,,5.0,86,44,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
"Dave, The Garden Guy Landscape Design",8134160656,,5.0,7,42,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
JB Lawn and Landscape and custom pools,7274202141,,4.6,46,40,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
HardRock Landscaping,8109317934,,4.2,5,36,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
Ultimate Landscape Contractor & Handyman Services llc,7276872612,,4.7,14,35,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
Too Fresh Landscaping,8133776507,,4.9,14,34,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
Superior Grounds,8134011029,,4.8,59,23,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
Rich Miller Landscape Service Inc.,7272720344,,4.9,30,22,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
Tampa Elite Landscape & Design,8139922238,,5.0,2,10,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
Landscape St Pete,7272656758,,5.0,11,2,Tampa,FL,GMT-05:00 America/New_York (EST),Landscaper
ACS Training Center,4322219300,,5.0,4,117,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
2021 ProScapes Landscape and Irrigation,4327034143,,3.0,2,115,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Kingdom Builders Landscape Division LLC,4322723773,,5.0,2,111,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Yard & Tree Works,4327701315,,4.0,4,110,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Lee's Trees and More,4322691759,,,0,107,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Wolf Services Tx LLC,4327032489,,1.5,2,105,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Lawn and Order,4326533181,,,0,102,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
All Star Sprinkler Services,4328804825,,5.0,3,101,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
"Vernell Fobbs Services - Lawn Care, Mowing & Maintenance Service & Sprinkler Systems in Midland TX",4325383381,,3.4,20,100,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
GreenGo's Landscaping & Renovations LLC,8173121214,,5.0,1,99,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
TLD Landscaping LLC,4326610884,,,0,95,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Nokota Clearing,9369004600,,,0,94,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
"Providence Enterprises, LLC",4324133862,,1.0,1,93,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Outlaws landscaping,4322385942,,,0,92,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Bigger Things Landscaping,4322581225,,5.0,4,91,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
"Triple P's Landscaping, LLC",4322705056,,,0,88,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Nathan’s Landscaping Co.,4322084924,,,0,84,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Affordable Landscaping,4327701541,,,0,80,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Lawn Care Specialties,4329673866,,3.0,2,79,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Barnett's Landscape,4325634343,,,0,75,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
"Novus Land Services, LLC",4325201568,,,0,74,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Midland TX Lawns,4323152725,,4.3,6,73,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Environscape Landscaping LLC,4322186574,,,0,71,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Superior Property Solutions,4323819511,,5.0,4,70,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
JR Services,4322371935,,,0,69,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Permian Basin Landscaping,4322879377,,,0,68,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Five Star Landscape Management,4325529394,,2.1,7,67,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
West Tex Lawn & Tree Services,4326347720,,,0,66,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Texas Touch Lawn Services,9402294235,,,0,63,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
"Oasis Lawn Care Service, LLC",4322301989,,4.1,9,62,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Dub's Trees & Landscaping,4325208521,,,0,60,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Franklin Foliage,4323521313,,,0,59,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
All Care Lawn Services,4322122932,,1.0,1,58,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Petroplex Lawns,4325618185,,5.0,2,57,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Optimum Lawn and Landscaping Services,4329783944,,,0,56,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Green & Clean Landscaping,4322719061,,,0,54,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
"Yard Works - Tree, Grass, & Ranch Management",4327701315,,,0,53,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Complete Landscaping,3613002175,,,0,50,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Steve's Lawncare and Construction,4328134284,,5.0,3,48,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Hard Rock Construction And Landscaping,4328892201,,5.0,5,46,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Ewing Landscape Maintenance,4326824436,,,0,43,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Grass Hopper Enterprises,4326526462,,5.0,1,41,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Bojoh Landscapes Xteriors,4322781117,,5.0,1,39,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Groundup home and lawn care,4322505122,,5.0,2,38,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
Dayley Landscape Center,4326826700,,1.0,1,36,Midland,TX,GMT-06:00 US/Central (CST),Landscaper
