company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
"Dolman Law Group Accident Injury Lawyers, PA - Palm Harbor",7276775558,,5.0,17,120,Tampa,FL,GMT-05:00 America/New_York (EST),Lawyer
Paterson Injury Lawyers,8503285583,,5.0,10,117,Tampa,FL,GMT-05:00 America/New_York (EST),Lawyer
Winters & Yonker Personal Injury Lawyers - St. Petersburg Office,7278003899,,5.0,21,109,Tampa,FL,GMT-05:00 America/New_York (EST),Lawyer
Roman Austin Car Accident and Personal Injury Lawyers - Safety Harbor Office,7272286219,,5.0,54,107,Tampa,FL,GMT-05:00 America/New_York (EST),Lawyer
Winters & Yonker Personal Injury Lawyers - New Port Richey Office,7275135022,,4.9,18,99,Tampa,FL,GMT-05:00 America/New_York (EST),Lawyer
Cerebral Palsy Lawyer Florida - Jim Dodson Law,7273590221,,5.0,19,96,Tampa,FL,GMT-05:00 America/New_York (EST),Lawyer
Mike G Law,8132214303,,4.7,70,93,Tampa,FL,GMT-05:00 America/New_York (EST),Lawyer
"Dolman Law Group Accident Injury Lawyers, PA - Tampa",8132128509,,5.0,69,84,Tampa,FL,GMT-05:00 America/New_York (EST),Lawyer
Winters & Yonker Personal Injury Lawyers - Clearwater Office,7276057569,,5.0,22,81,Tampa,FL,GMT-05:00 America/New_York (EST),Lawyer
"St. Petersburg Personal Injury Lawyers Perenich, Caulfield, Avril & Noyes",7276108878,,5.0,53,78,Tampa,FL,GMT-05:00 America/New_York (EST),Lawyer
"Zervos & Calta, PLLC - Personal Injury Attorney - Tarpon Springs",7275975870,,5.0,87,53,Tampa,FL,GMT-05:00 America/New_York (EST),Lawyer
Mincone Personal Injury Lawyers Tampa,8138000810,,5.0,40,47,Tampa,FL,GMT-05:00 America/New_York (EST),Lawyer
The Law Place,8135443291,,5.0,86,46,Tampa,FL,GMT-05:00 America/New_York (EST),Lawyer
Catania and Catania Injury Lawyers,8135363437,,4.9,52,44,Tampa,FL,GMT-05:00 America/New_York (EST),Lawyer
Nicoletti Accident Injury Lawyers,8134896485,,5.0,22,29,Tampa,FL,GMT-05:00 America/New_York (EST),Lawyer
Hershberger Steve,4325704014,,3.9,11,119,Midland,TX,GMT-06:00 US/Central (CST),Lawyer
"Law Office of H.W. Leverett, Jr.",4326833323,,3.2,9,116,Midland,TX,GMT-06:00 US/Central (CST),Lawyer
Alsup J Devin,4326833351,,,0,112,Midland,TX,GMT-06:00 US/Central (CST),Lawyer
R Allen Neal PC,4325705604,,,0,109,Midland,TX,GMT-06:00 US/Central (CST),Lawyer
Galindo Law Firm,4326940100,,,0,108,Midland,TX,GMT-06:00 US/Central (CST),Lawyer
The Fischer Law Firm,4323333900,,4.3,16,107,Midland,TX,GMT-06:00 US/Central (CST),Lawyer
Grimes David N,4326851005,,,0,104,Midland,TX,GMT-06:00 US/Central (CST),Lawyer
"Ellis & Hill Law, PLLC",4325634141,,,0,101,Midland,TX,GMT-06:00 US/Central (CST),Lawyer
