company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Ace Massage Therapy,(727) 786-1112,,4.5,4,111,Tampa,FL,GMT-05:00 America/New_York (EST),Massage therapist
"Nathan Eaton, Licensed Massage Therapist",(727) 410-6078,,5.0,4,110,Tampa,FL,GMT-05:00 America/New_York (EST),Massage therapist
I love massage,(813) 605-0763,,3.5,28,109,Tampa,FL,GMT-05:00 America/New_York (EST),Massage therapist
LC Massage Therapy,(941) 334-3834,,5.0,16,108,Tampa,FL,GMT-05:00 America/New_York (EST),Massage therapist
Mendy's Massage Therapy,(813) 689-2755,,5.0,2,105,Tampa,FL,GMT-05:00 America/New_York (EST),Massage therapist
Melt Away Massage Therapy,(813) 962-2732,,5.0,2,98,Tampa,FL,GMT-05:00 America/New_York (EST),Massage therapist
Relax. Unwind. Breathe. Massage Therapy,(813) 505-3064,,5.0,10,97,Tampa,FL,GMT-05:00 America/New_York (EST),Massage therapist
Oriental Massage Spa,(813) 375-2019,,3.7,52,86,Tampa,FL,GMT-05:00 America/New_York (EST),Massage therapist
88 Massage,(727) 528-1080,,4.4,27,82,Tampa,FL,GMT-05:00 America/New_York (EST),Massage therapist
Jen's Therapeutic Massage,(813) 460-9703,,4.5,11,70,Tampa,FL,GMT-05:00 America/New_York (EST),Massage therapist
Asian Massage Clearwater-Gulf to Bay,(727) 351-5383,,4.9,42,56,Tampa,FL,GMT-05:00 America/New_York (EST),Massage therapist
Ocean Therapeutic Massage Center,(727) 397-8888,,4.6,14,54,Tampa,FL,GMT-05:00 America/New_York (EST),Massage therapist
Zen Health Massage,(727) 733-0300,,4.8,36,50,Tampa,FL,GMT-05:00 America/New_York (EST),Massage therapist
Massage Therapy By Alina Rizzo,(727) 482-2932,,5.0,23,44,Tampa,FL,GMT-05:00 America/New_York (EST),Massage therapist
Massage Therapy By Alina Rizzo,(727) 482-2932,,5.0,23,36,Tampa,FL,GMT-05:00 America/New_York (EST),Massage therapist
Massage Spa,(689) 800-8616,,4.9,35,12,Tampa,FL,GMT-05:00 America/New_York (EST),Massage therapist
Health Massage Spa,(432) 258-8218,,5.0,1,117,Midland,TX,GMT-06:00 US/Central (CST),Massage therapist
Andrews Massage Spa,(432) 223-8838,,5.0,5,116,Midland,TX,GMT-06:00 US/Central (CST),Massage therapist
Body Centered Therapy,(432) 580-3431,,,0,115,Midland,TX,GMT-06:00 US/Central (CST),Massage therapist
Clarity Doula & Massage Services,(432) 741-9717,,5.0,18,114,Midland,TX,GMT-06:00 US/Central (CST),Massage therapist
Basin Massage Therapy,(432) 349-0199,,,0,113,Midland,TX,GMT-06:00 US/Central (CST),Massage therapist
KNOT JUST LOCS HAIR STUDIO,(432) 218-6490,,4.9,42,111,Midland,TX,GMT-06:00 US/Central (CST),Massage therapist
The Pampered Bee,(432) 269-4494,,5.0,5,108,Midland,TX,GMT-06:00 US/Central (CST),Massage therapist
Massage wellness,(432) 924-1287,,1.0,2,107,Midland,TX,GMT-06:00 US/Central (CST),Massage therapist
Bodywork Massage By Henry,(432) 550-4458,,2.3,3,106,Midland,TX,GMT-06:00 US/Central (CST),Massage therapist
"and relax… April Klier, LMT, CMLDT",(432) 557-1145,,,0,105,Midland,TX,GMT-06:00 US/Central (CST),Massage therapist
Diamond Spa,(432) 258-8218,,3.7,18,104,Midland,TX,GMT-06:00 US/Central (CST),Massage therapist
Rose Massage,(432) 614-6528,,4.1,20,100,Midland,TX,GMT-06:00 US/Central (CST),Massage therapist
Jeff Lambert LMT,(432) 559-1724,,,0,99,Midland,TX,GMT-06:00 US/Central (CST),Massage therapist
Odessa Massage,(432) 307-1140,,3.9,9,98,Midland,TX,GMT-06:00 US/Central (CST),Massage therapist
Q Massage,(432) 246-5086,,4.0,27,97,Midland,TX,GMT-06:00 US/Central (CST),Massage therapist
Versatile Body Sculpting Spa,(432) 530-6134,,5.0,3,92,Midland,TX,GMT-06:00 US/Central (CST),Massage therapist
