company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
JD Moving Services,8315964917,,5.0,5,121,Tampa,FL,GMT-05:00 America/New_York (EST),Moving company
Peace Of Mind Moving Truck,7273585842,,5.0,38,111,Tampa,FL,GMT-05:00 America/New_York (EST),Moving company
Box & Go Moving,7274038989,,4.5,8,110,Tampa,FL,GMT-05:00 America/New_York (EST),Moving company
Brothers EZ Moving of St. Petersburg,7272340101,,4.8,23,102,Tampa,FL,GMT-05:00 America/New_York (EST),Moving company
Small Moving Inc.,7275273666,,4.6,100,98,Tampa,FL,GMT-05:00 America/New_York (EST),Moving company
Dunedin Moving Company,7272059707,,5.0,6,97,Tampa,FL,GMT-05:00 America/New_York (EST),Moving company
The Dime Moving Company LLC,7279025829,,4.4,55,73,Tampa,FL,GMT-05:00 America/New_York (EST),Moving company
"Eight Brothers Moving Company, Inc.",7275442424,,4.0,23,69,Tampa,FL,GMT-05:00 America/New_York (EST),Moving company
Mother & Sons Moving,8139959955,,4.5,52,68,Tampa,FL,GMT-05:00 America/New_York (EST),Moving company
All About Moving Tampa Bay,7276574077,,4.9,79,35,Tampa,FL,GMT-05:00 America/New_York (EST),Moving company
Two Men and a Truck Moving,7278355505,,4.8,1,28,Tampa,FL,GMT-05:00 America/New_York (EST),Moving company
All About Moving Tampa Bay,7276574077,,4.9,56,19,Tampa,FL,GMT-05:00 America/New_York (EST),Moving company
LET'S GOO MOVING LLC,7279675930,,5.0,76,3,Tampa,FL,GMT-05:00 America/New_York (EST),Moving company
AGR Logistic Services,4323108569,,5.0,1,115,Midland,TX,GMT-06:00 US/Central (CST),Moving company
"C&L TRUCKING AND CONSTRUCTION SERVICES, LLC",4323058838,,4.8,6,112,Midland,TX,GMT-06:00 US/Central (CST),Moving company
Ramos Prisciliano Pando Trucking,4325700907,,1.0,1,109,Midland,TX,GMT-06:00 US/Central (CST),Moving company
Trans Pecos Trucking,4323328200,,4.7,9,107,Midland,TX,GMT-06:00 US/Central (CST),Moving company
Texas Hotshot,4323627513,,1.0,1,105,Midland,TX,GMT-06:00 US/Central (CST),Moving company
Ramos Trucking Co Inc.,4325707332,,4.2,19,101,Midland,TX,GMT-06:00 US/Central (CST),Moving company
Lone Star Delivery,4325634332,,2.0,8,100,Midland,TX,GMT-06:00 US/Central (CST),Moving company
Permian Crude Transport,4326840020,,,0,98,Midland,TX,GMT-06:00 US/Central (CST),Moving company
Pacer Trucks Inc,4323664641,,,0,97,Midland,TX,GMT-06:00 US/Central (CST),Moving company
ATI Yard,4322543240,,3.5,4,94,Midland,TX,GMT-06:00 US/Central (CST),Moving company
Y&M TRUCKING,4322385139,,5.0,3,93,Midland,TX,GMT-06:00 US/Central (CST),Moving company
