company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Express Nail,(813) 932-7609,,4.8,92,63,Tampa,FL,GMT-05:00 America/New_York (EST),Nail salon
LN Nails & Spa Salon,(813) 398-1010,,4.6,77,37,Tampa,FL,GMT-05:00 America/New_York (EST),Nail salon
Naomi Nail Salon,(727) 585-5069,,5.0,11,24,Tampa,FL,GMT-05:00 America/New_York (EST),Nail salon
Hot Nails,(813) 898-2741,,3.7,89,23,Tampa,FL,GMT-05:00 America/New_York (EST),Nail salon
Perfect 10 Nail Salon,(813) 242-6245,,4.5,51,20,Tampa,FL,GMT-05:00 America/New_York (EST),Nail salon
V Nail and Beauty Tampa,(813) 282-9730,,4.9,1,9,Tampa,FL,GMT-05:00 America/New_York (EST),Nail salon
Fancy Nails & Spa,(432) 332-6650,,4.1,91,119,Midland,TX,GMT-06:00 US/Central (CST),Nail salon
Salon 52,(432) 550-0288,,4.3,54,118,Midland,TX,GMT-06:00 US/Central (CST),Nail salon
Louis Spa,(432) 366-4435,,4.7,14,117,Midland,TX,GMT-06:00 US/Central (CST),Nail salon
Ray-Clark Salon,(432) 697-1508,,4.1,13,116,Midland,TX,GMT-06:00 US/Central (CST),Nail salon
Greenwood Nails and Spa,(432) 247-1194,,4.1,57,111,Midland,TX,GMT-06:00 US/Central (CST),Nail salon
Vida Nails And Spa,(432) 614-0609,,4.4,90,107,Midland,TX,GMT-06:00 US/Central (CST),Nail salon
D K Nails & Spa,(432) 366-0084,,4.2,94,105,Midland,TX,GMT-06:00 US/Central (CST),Nail salon
Color Nails of Odessa,(432) 272-2525,,4.9,83,103,Midland,TX,GMT-06:00 US/Central (CST),Nail salon
Serenity Salon & Spa,(432) 570-5859,,4.5,33,96,Midland,TX,GMT-06:00 US/Central (CST),Nail salon
Sophsti-Cuts Salon,(432) 689-2887,,4.7,42,93,Midland,TX,GMT-06:00 US/Central (CST),Nail salon
Us Nails,(432) 362-1717,,4.0,1,92,Midland,TX,GMT-06:00 US/Central (CST),Nail salon
Kiikkis,(432) 352-8164,,,0,91,Midland,TX,GMT-06:00 US/Central (CST),Nail salon
A'RaeDidIt,(469) 693-1087,,,0,85,Midland,TX,GMT-06:00 US/Central (CST),Nail salon
Shear Class Salon,(432) 278-8825,,5.0,1,83,Midland,TX,GMT-06:00 US/Central (CST),Nail salon
Nailtiques & Spa,(432) 262-6620,,3.3,4,80,Midland,TX,GMT-06:00 US/Central (CST),Nail salon
