company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Leslie R. Alonzo III O.D.,8136811122,,5.0,4,102,Tampa,FL,GMT-05:00 America/New_York (EST),Optometrist
"Gilbert G. Jannelli, OD",7274612020,,2.9,9,93,Tampa,FL,GMT-05:00 America/New_York (EST),Optometrist
Anthony Valenti,8139943931,,5.0,5,90,Tampa,FL,GMT-05:00 America/New_York (EST),Optometrist
Dr. Angie Pei,8139021710,,4.9,31,83,Tampa,FL,GMT-05:00 America/New_York (EST),Optometrist
"Dr. Samuel J. Teske, O.D.",8137104015,,4.0,8,46,Tampa,FL,GMT-05:00 America/New_York (EST),Optometrist
"Russell D. Subia, OD",4323333937,,1.9,18,85,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Lassa Optical Co Inc,4323320717,,2.9,54,84,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
"Lawrence D. Lassa, OD",4323329920,,3.6,23,83,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Miller Charles MD,4323677241,,,0,82,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Eyes of Texas Clinic,4323677241,,1.0,1,81,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Schitoskey & Morales,4323639974,,,0,75,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
"Dr. Francisco J. Morales, OD",4323639974,,2.7,73,70,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Simona Selegean OD,4323620352,,4.2,13,64,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Southwest Retina Eye Center,4326892940,,,0,60,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Michael Pawlowski,4326945259,,,0,58,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
"Samuel Canon, O.D.",4325209720,,,0,57,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Vision Media,4323662228,,,0,56,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
"Ralph Cockrell, OD",4325209720,,,0,54,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
"Norman Gould, OD",4326942051,,,0,53,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Smith Alan D MD,4325209720,,,0,52,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
"Maria G. Ceballos, OD",4326940999,,,0,50,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Dr. Sriyuta Thota,+12326956259,,,0,49,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Hardaway Optical & Rayban Shop,4325706900,,5.0,11,48,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Heather Kern Golson,4326847287,,,0,47,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Gray & Ray,4326991300,,,0,46,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Mark,3104033147,,,0,44,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Primary Eye Care,4326998555,,,0,38,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Eyes of Texas Clinic,4325209720,,,0,31,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Dr. Aaron Urias,4323684102,,2.3,3,29,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Stanton Optical,4322073748,,4.0,1,28,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Ray Bobby G OD,4326956251,,5.0,2,26,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
"Stephen L. Hankinson, OD",4326890444,,4.1,9,20,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Dr. Michael Mcandrew,4326828600,,5.0,1,19,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
"Robert E. Mcguire, OD",4326940999,,5.0,6,18,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
"Madlyn W. Babb, OD",4326977977,,5.0,2,15,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
"Dr. Danny D. Vu, OD",9099817634,,4.6,10,91,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
"Donald A. Yochem, OD",7602475842,,4.1,17,68,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
"Dena Thamsopit, OD",7608682020,,,0,67,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
Roeske Richmond E MD,7602453230,,,0,64,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
Anh-Dao Ho,7609480199,,,0,63,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
Dr. Bhavleen Jolly,7602412020,,,0,61,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
Dr. Jaehoon Lee,7602409679,,,0,60,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
"Justin M. Mongeau, OD",7609515234,,,0,59,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
Roeske Richmond MD,7602416366,,,0,58,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
Ching Andrea S MD,7602453230,,,0,57,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
First Sight Vision Services Inc,7602443586,,1.0,1,55,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
King Julie MD,7602453230,,1.0,1,50,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
Thomas K Lee Inc,7609558228,,3.0,2,49,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
Dr. David Shin,7609496363,,3.0,1,47,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
"Daryl E. Katz, OD",7609512516,,3.6,12,45,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
Juliane Lee,7604523990,,4.0,2,39,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
Steinberg Craig S OD,7602434559,,5.0,2,36,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
Cheng Yu Wang,7602434559,,5.0,1,33,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
Desert Optometry,7602455364,,4.0,2,31,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
"Dr. Curtis C. Hoggarth, OD",7602616422,,5.0,2,29,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
The Optique Optometry,7602055901,,2.6,49,25,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
Dr. Daniel Eng Optometrist,7602443586,,4.0,4,24,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
Two Jintau OD,7609492242,,3.5,80,23,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
Buena Vista Eyecare,7609611919,,4.8,6,20,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
Family Vision Center,7609492242,,3.5,13,19,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
"Richard N. York, OD",7602455364,,4.5,13,16,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
Lens Express & Co,7609954000,,4.4,10,11,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
Buena Vista Eyecare-Bryan D. Vanesian O.D.,7609611919,,4.1,42,9,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
apple valley family optometry centre,7602412020,,4.7,26,4,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Optometrist
