company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Blended Vision Event Group,8135639318,,5.0,7,120,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
"Suit Up Entertainment, LLC",7165252467,,5.0,1,116,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Party Bxtch,7273424349,,,0,114,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Creations By Jay Balloons & Event Planner,8133799982,,,0,113,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Full Circle Event Planning and Rentals,9375545356,,,0,111,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Capri Circle Events,8135285998,,,0,109,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Arista Entertainment,7274913916,,5.0,7,102,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Let’s Go Party Tampa Bay Events,8182945833,,1.0,1,100,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
TMR Event Planning LLC.,7272806890,,5.0,1,98,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Cook Event Planning LLC,7276561033,,5.0,6,94,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Stylish Traditions Wedding and Event Design,7277681179,,5.0,3,92,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Teresa's lowcost party rental,8135622835,,4.3,6,91,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Event Planner Fashion,8632367156,,,0,90,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
The Tea Party Company,7272652915,,4.8,6,89,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
GIGI'S Catering & Event Planning LLC,7272512781,,5.0,3,84,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Mike A Jones,8136254564,,5.0,10,83,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Maxx Events & Studio,8135535378,,5.0,6,81,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Antonio Valencia,8132031996,,5.0,3,80,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Sb event planning & decor,8133301155,,5.0,1,79,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Dream Events & Party Planning,7278738702,,,0,64,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Liz Kamali Events,6467256796,,5.0,12,61,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Angel Touch Designs,6619411573,,5.0,15,60,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Letha’s Event Creations,8137633367,,3.7,3,54,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
angela fabulous events,9176237908,,5.0,1,53,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Oh Hello Events,3522638280,,4.9,10,52,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
A Linen Valley/Altitude Event Design and Decor,7275413529,,4.4,16,51,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Sb Event Planning and Decor,8133301155,,5.0,10,48,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
The Event Planners of Tampa,8139247512,,4.0,5,46,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Yamileth Event Management,8133527043,,4.3,3,42,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Famtastic Affairs,8132703018,,5.0,10,37,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Essential Events,8134482307,,5.0,2,35,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Party Like Royalty,8139003873,,5.0,5,33,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Vendy Rios,7274816527,,5.0,6,31,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Island Kisses Event Planner,7272282012,,5.0,1,27,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Alexa Kritis Events,7543331788,,5.0,49,2,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
BakeNBite,3473463773,,4.9,58,51,Midland,TX,GMT-06:00 US/Central (CST),Party planner
Posh Picnics,9795577360,,,0,49,Midland,TX,GMT-06:00 US/Central (CST),Party planner
BB & CC's Here For You,4328532215,,5.0,1,48,Midland,TX,GMT-06:00 US/Central (CST),Party planner
Meraki picnics,4328889059,,,0,47,Midland,TX,GMT-06:00 US/Central (CST),Party planner
V&N Luxury Eventing and Rentals,4322875775,,5.0,1,46,Midland,TX,GMT-06:00 US/Central (CST),Party planner
Synsational weddings,5414155530,,,0,44,Midland,TX,GMT-06:00 US/Central (CST),Party planner
Aby's Decor and More,4322729987,,,0,42,Midland,TX,GMT-06:00 US/Central (CST),Party planner
Little Ranch Party Place,4329242996,,4.7,26,41,Midland,TX,GMT-06:00 US/Central (CST),Party planner
