company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Termasect Pest Control,7276023460,,4.1,9,113,Tampa,FL,GMT-05:00 America/New_York (EST),Pest control
360PestControl,7276002053,,5.0,3,111,Tampa,FL,GMT-05:00 America/New_York (EST),Pest control
Your Pest Control,8139494128,,4.0,8,110,Tampa,FL,GMT-05:00 America/New_York (EST),Pest control
Foley's Pest Control,7274167641,,3.7,3,109,Tampa,FL,GMT-05:00 America/New_York (EST),Pest control
Rob's Pest Control Inc,7276871730,,5.0,9,106,Tampa,FL,GMT-05:00 America/New_York (EST),Pest control
Cross Pest Control,8137541571,,4.6,56,105,Tampa,FL,GMT-05:00 America/New_York (EST),Pest control
Under The Son Pest Control,8138498341,,5.0,11,104,Tampa,FL,GMT-05:00 America/New_York (EST),Pest control
Luke's Natural Choice Pest Control,7278583736,,5.0,18,103,Tampa,FL,GMT-05:00 America/New_York (EST),Pest control
Best Pest control Tampa,7867565803,,4.8,8,86,Tampa,FL,GMT-05:00 America/New_York (EST),Pest control
Urbanex Pest Control,8139231923,,4.8,2,82,Tampa,FL,GMT-05:00 America/New_York (EST),Pest control
"Gulfshore Pest Control, L.L.C.",7276180857,,4.9,16,75,Tampa,FL,GMT-05:00 America/New_York (EST),Pest control
Anthony Pest Control,7279386152,,4.7,18,74,Tampa,FL,GMT-05:00 America/New_York (EST),Pest control
Tulloh's Pest Control,8137078885,,5.0,30,73,Tampa,FL,GMT-05:00 America/New_York (EST),Pest control
Key Pest Control,8136848176,,4.9,24,70,Tampa,FL,GMT-05:00 America/New_York (EST),Pest control
Pest Control Clearwater 24,7547528386,,4.0,4,68,Tampa,FL,GMT-05:00 America/New_York (EST),Pest control
Total Pest control Clearwater,8136869612,,5.0,3,50,Tampa,FL,GMT-05:00 America/New_York (EST),Pest control
EcoTech Pest Control Services,8135443902,,4.9,96,38,Tampa,FL,GMT-05:00 America/New_York (EST),Pest control
Holt Pest Control,7274341436,,4.8,89,36,Tampa,FL,GMT-05:00 America/New_York (EST),Pest control
Aptive Pest Control,8135927527,,4.4,2,19,Tampa,FL,GMT-05:00 America/New_York (EST),Pest control
Nextgen Pest Solutions,8135302131,,4.4,33,7,Tampa,FL,GMT-05:00 America/New_York (EST),Pest control
Steward’s Landscaping,4327707119,,3.7,3,33,Midland,TX,GMT-06:00 US/Central (CST),Pest control
Dixon Pest Control,4325529336,,5.0,3,28,Midland,TX,GMT-06:00 US/Central (CST),Pest control
Tumbleweed Pest Control,4329342763,,,0,25,Midland,TX,GMT-06:00 US/Central (CST),Pest control
X-Pert Pest Services,4323525534,,5.0,10,24,Midland,TX,GMT-06:00 US/Central (CST),Pest control
GBU Bee Removal,4325578446,,5.0,9,22,Midland,TX,GMT-06:00 US/Central (CST),Pest control
Popes Exterminating & Weed Control,4322351826,,2.6,5,21,Midland,TX,GMT-06:00 US/Central (CST),Pest control
A-1 Exterminating Co,4325505050,,,0,20,Midland,TX,GMT-06:00 US/Central (CST),Pest control
GBU Bee Removal,4325578446,,5.0,21,15,Midland,TX,GMT-06:00 US/Central (CST),Pest control
Bushwacker Pest Control,4324131785,,,0,13,Midland,TX,GMT-06:00 US/Central (CST),Pest control
Firebug Pest Control & Critter Git-r,4325566888,,5.0,11,10,Midland,TX,GMT-06:00 US/Central (CST),Pest control
Fox Pest Control Midland,4322872005,,4.8,1,2,Midland,TX,GMT-06:00 US/Central (CST),Pest control
GreenLine Pest Control,6266121813,,,0,116,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Pest control
HD repair and pest,7605159502,,,0,88,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Pest control
Measured Termite & Pest Control,8884004288,,,0,84,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Pest control
