company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
A-1 Tobacoff's Boarding Kennel,(727) 586-2021,,4.1,9,113,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
A Loving Care Pet Sitting & Dog Walking,(727) 457-5228,,4.7,3,97,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
"Pete's Perfect Pet Care, LLC",(727) 742-2599,,4.8,25,95,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Puppy Sitters of South Tampa,(305) 336-1624,,5.0,30,94,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Paw prints boarding and daycare,(562) 646-2666,,5.0,1,90,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Pilar's Pet Resort,(813) 241-1408,,4.2,47,80,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Parwick Kennels,(813) 949-1687,,4.6,34,79,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
ABCK9s Pet Services,(813) 841-4512,,4.5,18,78,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Camp Salty Dog,(727) 388-4246,,4.1,44,70,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Sit & Stay Pet Hotel,(727) 423-4997,,4.3,3,64,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
LUXURY WALKS - Tampa Pet Walking And Pet Sitting Services,(813) 940-9883,,5.0,71,38,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Designer Pet Care,(813) 737-1183,,4.4,10,35,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Bridget Exzavain's Maine Coon Home,4044961844,,1.0,7,74,Midland,TX,GMT-06:00 US/Central (CST),Pet boarding
Vallee Melissa DVM,4326874118,,5.0,3,72,Midland,TX,GMT-06:00 US/Central (CST),Pet boarding
Doodle's Grooming,4325280306,,,0,71,Midland,TX,GMT-06:00 US/Central (CST),Pet boarding
PetSmart,4323621614,,4.3,1,68,Midland,TX,GMT-06:00 US/Central (CST),Pet boarding
To and From Dog Walkers,4322323504,,,0,60,Midland,TX,GMT-06:00 US/Central (CST),Pet boarding
ZB Living,4322572950,,,0,58,Midland,TX,GMT-06:00 US/Central (CST),Pet boarding
Ranchita Arena & Boarding,4326644494,,,0,57,Midland,TX,GMT-06:00 US/Central (CST),Pet boarding
PetSmart,4325203134,,4.1,1,55,Midland,TX,GMT-06:00 US/Central (CST),Pet boarding
Pet Express,4323630690,,4.3,33,52,Midland,TX,GMT-06:00 US/Central (CST),Pet boarding
"4 C Stables, Inc.",4329673866,,4.8,53,51,Midland,TX,GMT-06:00 US/Central (CST),Pet boarding
El Rancho Del Norte,4322548849,,5.0,1,50,Midland,TX,GMT-06:00 US/Central (CST),Pet boarding
North 40 Equine Facility,4328898035,,5.0,1,49,Midland,TX,GMT-06:00 US/Central (CST),Pet boarding
Howl-a-day INN,9729757656,,5.0,1,47,Midland,TX,GMT-06:00 US/Central (CST),Pet boarding
Tender Loving Kennels,4322187410,,5.0,3,46,Midland,TX,GMT-06:00 US/Central (CST),Pet boarding
Fuzzybutz Pet Grooming,4322608819,,4.2,51,44,Midland,TX,GMT-06:00 US/Central (CST),Pet boarding
Dog Gone Gorgeous Grooming Salon,4322188929,,4.5,85,42,Midland,TX,GMT-06:00 US/Central (CST),Pet boarding
Happy and Fed At The Fancy Barn,3252009586,,5.0,1,41,Midland,TX,GMT-06:00 US/Central (CST),Pet boarding
"10-8 Boarding, LLC",5754996287,,4.4,7,40,Midland,TX,GMT-06:00 US/Central (CST),Pet boarding
Pawsitive Pet Sitting,4322548953,,,0,36,Midland,TX,GMT-06:00 US/Central (CST),Pet boarding
Tobar's Doginistas,4326539549,,4.8,84,34,Midland,TX,GMT-06:00 US/Central (CST),Pet boarding
Happy at Home,2818961463,,4.7,3,29,Midland,TX,GMT-06:00 US/Central (CST),Pet boarding
Wizard of Pawz Grooming,4326844575,,4.4,80,27,Midland,TX,GMT-06:00 US/Central (CST),Pet boarding
The Howliday Inn Dog Suites,4323811949,,4.8,55,26,Midland,TX,GMT-06:00 US/Central (CST),Pet boarding
Stars Hollow Dog Grooming,4322620546,,5.0,12,25,Midland,TX,GMT-06:00 US/Central (CST),Pet boarding
Smiling Pets,8593215067,,5.0,9,24,Midland,TX,GMT-06:00 US/Central (CST),Pet boarding
