company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
PetSmart Dog Training,8132629912,,5.0,4,115,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
PetSmart Dog Training,8136894814,,5.0,2,108,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
PetSmart Dog Training,7277993311,,5.0,1,106,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
PetSmart Dog Training,7277253755,,4.5,16,93,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
K9-Star Positive Training,7274211146,,5.0,10,90,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
PetSmart Dog Training,8139947010,,3.0,5,84,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
Zenith Dog Training,5034795814,,5.0,12,83,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
PetSmart Dog Training,7273759973,,3.0,4,82,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
The Dog Wizard - Riverview,7733554433,,5.0,14,78,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
PetSmart Dog Training,8138759721,,3.8,4,72,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
Oakhurst Obedience Classes,7275954038,,5.0,2,65,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
PetSmart Dog Training,7274311991,,5.0,2,63,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
PetSmart Dog Training,8137036961,,4.7,3,62,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
PetSmart Dog Training,8135588160,,5.0,1,53,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
DogXcel,7278040713,,5.0,1,51,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
The Island Dog Academy Tampa Bay,8136134971,,5.0,9,45,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
PetSmart Dog Training,8136893378,,4.3,21,44,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
Florida Dog Training School,8138150364,,4.9,30,35,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
Maligators Dog Training,7273782220,,4.9,61,28,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
WolfHaus K9,3523881421,,4.6,57,26,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
Around The Fur,4326893070,,3.5,16,17,Midland,TX,GMT-06:00 US/Central (CST),Pet trainers
Designer Dog Training,4322380221,,,0,16,Midland,TX,GMT-06:00 US/Central (CST),Pet trainers
PetSmart Grooming,4325203134,,4.7,19,14,Midland,TX,GMT-06:00 US/Central (CST),Pet trainers
Yellow Dog Training & Services Inc.,4326644856,,,0,13,Midland,TX,GMT-06:00 US/Central (CST),Pet trainers
