company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Palm Harbor Physical Therapy,7277896008,,4.8,5,112,Tampa,FL,GMT-05:00 America/New_York (EST),Physical therapy
Anchored Physical Therapy,6025026762,,5.0,19,107,Tampa,FL,GMT-05:00 America/New_York (EST),Physical therapy
PT Solutions of Temple Terrace,8135422605,,4.9,73,80,Tampa,FL,GMT-05:00 America/New_York (EST),Physical therapy
Therapy & Sports Center | Riverview,8133742209,,4.6,30,65,Tampa,FL,GMT-05:00 America/New_York (EST),Physical therapy
Premier Physical Therapy & Sports Performance (Inside Palm Harbor Strength & Conditioning),7278883908,,5.0,36,53,Tampa,FL,GMT-05:00 America/New_York (EST),Physical therapy
"Karen W. Wheat, OT",4323358777,,,0,79,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Rheumatology Center,4322215560,,5.0,1,71,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Midland Arc,4326820098,,,0,70,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Bridges Behavioral Health,4326181824,,5.0,4,69,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Empower Physical Therapy & Wellness,4323634483,,,0,68,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
"Paula B. Diffie, PT",4323328244,,,0,66,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Multi Care Plus,4325803700,,5.0,2,65,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
"Ida Mangrem, PTA",4325504700,,,0,63,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Panacore Corporation Postal Point,4325809933,,,0,61,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
"Chad Sandell, PTA",4325504700,,,0,59,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
West Texas Occupational Rehab,4326992106,,1.0,1,58,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
"Travis Clemmer, PTA",4325504700,,,0,57,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Odessa Spine & Sport Therapy,4325504520,,,0,50,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Midland Clinica Latina LLC,4322471260,,5.0,9,44,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
"Christopher E. Baker, LPT",4325500422,,4.3,8,42,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
"Paula K. Elrod, LPT",4325508777,,5.0,1,41,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Northeast Physical Therapy,4323668653,,,0,37,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Optimus Physical Therapy,4325527034,,4.7,14,34,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Mannix Pt & Orthosport Specialists,4325527034,,5.0,1,33,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
West Rock Devonian,4326978320,,,0,32,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
"Chris Phillips, PT",4325708782,,,0,29,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Neuro Rehab & Lymph Care,4322620670,,,0,28,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Neuro Rehab & Lymph Care,4326892061,,,0,26,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
In Balance Learning Center,4326853556,,,0,21,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Permian Basin Therapy Pc,4326869819,,,0,20,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Permian Basin Hand Therapy,4326890907,,5.0,1,16,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
West Texas Therapy,4322214915,,4.5,10,15,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Optimus Physical Therapy,4325205600,,4.5,8,13,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Kindness Physical Therapy (Alhambra),6263008341,,4.6,9,120,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Kindness Physical Therapy,6262690991,,5.0,8,119,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Above and Beyond Physical Therapy Inc,9092890879,,,0,115,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Hudson & Walker Physical Therapy,9098861212,,4.5,11,113,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Eastwest Physical Therapy,9096262220,,5.0,4,109,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Excel Physical Therapy,9098829822,,4.3,16,106,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Movement Recentered Physical Therapy,9512083636,,5.0,2,103,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
