company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Let's Glow Girls LLC,(727) 274-8607,,5.0,3,117,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Sunless Sun Tanning,(727) 537-0256,,,0,114,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Vita Beauty Studio,(813) 464-9221,,4.8,42,111,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Secret Glow by Elaine,(240) 481-9945,,5.0,1,104,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Sunshine Bunz,(813) 517-5866,,5.0,2,98,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Lisa's Tanning Studio,(727) 222-8814,,,0,92,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Spray Tan Pros,(727) 231-0103,,,0,87,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Spray Tanning By Fallon,(727) 480-8094,,4.6,37,85,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Kiki Tans Tampa,(813) 362-1117,,5.0,2,78,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Graceful Touch by Sloan,(813) 393-6417,,4.8,25,75,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Goldilocks Tans,(813) 498-9246,,5.0,11,72,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
GLOWME,(813) 550-4605,,5.0,8,62,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Raydiance HelioSpa & Wellness Center,(813) 251-8121,,4.3,11,59,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Bronze Culture 360° Spray Tanning,(813) 504-7989,,5.0,14,55,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Golden Hour By Katie,(386) 882-2228,,5.0,25,50,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Glowchè,(727) 768-7947,,5.0,13,49,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
BAKED TAMPA BAY,(386) 965-0328,,5.0,9,38,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
South Beach Tanning Company,(813) 948-9484,,4.3,87,35,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Vintage Shears Salon,(432) 689-0830,,5.0,8,31,Midland,TX,GMT-06:00 US/Central (CST),Tanning salon
ESPRESSO TANS,(432) 227-8351,,,0,27,Midland,TX,GMT-06:00 US/Central (CST),Tanning salon
Retro Tan,(432) 530-4969,,,0,23,Midland,TX,GMT-06:00 US/Central (CST),Tanning salon
Envy Tans by Crystal,(432) 238-0697,,,0,22,Midland,TX,GMT-06:00 US/Central (CST),Tanning salon
Foxy Knoxy Tanning,(432) 232-0190,,5.0,1,18,Midland,TX,GMT-06:00 US/Central (CST),Tanning salon
Bronze Bodyz Sunless Tanning,(432) 349-1921,,5.0,14,17,Midland,TX,GMT-06:00 US/Central (CST),Tanning salon
Pretty Little Tans,(210) 535-7586,,,0,14,Midland,TX,GMT-06:00 US/Central (CST),Tanning salon
Sunless by Shandie,(806) 930-6764,,,0,10,Midland,TX,GMT-06:00 US/Central (CST),Tanning salon
"Violet Undertones, Luxury Spray Tans",(208) 250-8487,,5.0,6,9,Midland,TX,GMT-06:00 US/Central (CST),Tanning salon
Dezirable Tanz,(432) 272-0325,,,0,8,Midland,TX,GMT-06:00 US/Central (CST),Tanning salon
Divine Tanning,(760) 952-2900,,4.4,49,93,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Tanning salon
Viv's Concierge Spray Tanning,(714) 598-6178,,5.0,9,91,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Tanning salon
Pink Cheeks Tanning Salon,(951) 381-1453,,4.3,7,88,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Tanning salon
Glow Jardín,(626) 324-9805,,5.0,2,76,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Tanning salon
Pink Cheeks Tanning and Sunless Salon,(909) 790-7800,,4.4,37,70,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Tanning salon
Sun Bar Tanning,(909) 918-0340,,4.4,14,64,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Tanning salon
Tanning Options,(909) 793-8266,,5.0,1,58,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Tanning salon
The Tan Spa,(213) 747-3301,,3.3,51,56,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Tanning salon
Tan L.A.,(805) 987-8811,,4.9,52,55,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Tanning salon
Organic Glow Sunless Tanning,(661) 547-5621,,5.0,8,51,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Tanning salon
Private Beach Tanning,(626) 339-5461,,4.6,50,48,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Tanning salon
Youcan Tan,(909) 864-8826,,4.7,42,44,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Tanning salon
Bella Mia Salon,(760) 947-2712,,4.7,44,42,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Tanning salon
Spray Tans By Han,(760) 508-2114,,5.0,1,17,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Tanning salon
California Dream Body,(909) 377-9421,,,0,15,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Tanning salon
Goddess Airbrush Tanning,(310) 367-9918,,,0,9,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Tanning salon
