company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Ellie Mental Health,7275132962,,5.0,23,103,Tampa,FL,GMT-05:00 America/New_York (EST),Therapist
"Natalia Savage Counseling Center, PLLC",8139069139,,4.6,10,102,Tampa,FL,GMT-05:00 America/New_York (EST),Therapist
Affordable Counseling Center Florida,8132441251,,5.0,1,82,Tampa,FL,GMT-05:00 America/New_York (EST),Therapist
Ellie Mental Health,7275132962,,5.0,23,81,Tampa,FL,GMT-05:00 America/New_York (EST),Therapist
Healing With Jas LLC- Mental Health Therapy Services,8134060921,,5.0,6,74,Tampa,FL,GMT-05:00 America/New_York (EST),Therapist
"St. Petersburg Counseling | Marriage, Family, & Individual Counseling",7275652808,,5.0,27,29,Tampa,FL,GMT-05:00 America/New_York (EST),Therapist
Adrian Sylvia,4325700096,,1.0,3,56,Midland,TX,GMT-06:00 US/Central (CST),Therapist
Bridges Behavioral Health,4326181824,,5.0,4,52,Midland,TX,GMT-06:00 US/Central (CST),Therapist
Action Behavior Centers - ABA Therapy for Autism,4322533315,,,0,49,Midland,TX,GMT-06:00 US/Central (CST),Therapist
George Linda H,4325701154,,5.0,1,48,Midland,TX,GMT-06:00 US/Central (CST),Therapist
Spectrum Counseling & Human,4325700096,,,0,35,Midland,TX,GMT-06:00 US/Central (CST),Therapist
Perry Marchioni & Associates,4326844540,,4.2,6,34,Midland,TX,GMT-06:00 US/Central (CST),Therapist
Shantel Mackey,5125377079,,3.7,3,29,Midland,TX,GMT-06:00 US/Central (CST),Therapist
West Texas Therapy,4322214915,,4.5,10,17,Midland,TX,GMT-06:00 US/Central (CST),Therapist
"Thomas W. Wynne, LCSW",4325991727,,5.0,2,16,Midland,TX,GMT-06:00 US/Central (CST),Therapist
Marriage Counseling Services,4325701084,,5.0,1,15,Midland,TX,GMT-06:00 US/Central (CST),Therapist
Bridgeback Counseling and Lifeskills Center,4324383840,,5.0,5,9,Midland,TX,GMT-06:00 US/Central (CST),Therapist
Roberts Kristina PHD,7602422224,,,0,119,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Therapist
Davis Powell Mfcc,7602475699,,,0,113,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Therapist
Adam Chavez Mft,7602417311,,,0,112,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Therapist
Dr. Dale Alexander,7609462070,,,0,111,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Therapist
Randall Sinclair Ma Lmft,7602433190,,,0,110,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Therapist
Tri Cities Physical Therapy & Orthopedic Rehab Corp.,7609462165,,3.9,12,109,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Therapist
Transcend Life Coaching & Counseling,7606623236,,,0,107,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Therapist
The Therapist Assistant,7605523950,,,0,105,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Therapist
People's Care Autism Services,6269451305,,4.0,4,103,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Therapist
Innerpeace Therapy,4424381016,,,0,102,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Therapist
Innerpeace Therapy,4424381025,,,0,101,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Therapist
Peace of Mind Therapy,4424381025,,,0,100,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Therapist
Above And Beyond Massage Therapy Zandra L.M.T 22yrs. Of Experience,7607125674,,4.8,29,89,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Therapist
"Katrina Ramos, LMFT",7604833177,,,0,88,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Therapist
"O R. Richardson, PhD",7609633951,,5.0,1,87,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Therapist
"A-Way Counseling Services: Therapy, Life Coaching, Mentoring, & Psychoeducational Services",7605530047,,,0,86,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Therapist
