company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
All Things Posh Waxing,(813) 679-0321,,,0,121,Tampa,FL,GMT-05:00 America/New_York (EST),Waxing service
Sara Eve Esthetics--Skin Care & Waxing,(813) 506-4382,,5.0,11,114,Tampa,FL,GMT-05:00 America/New_York (EST),Waxing service
Purowax,(813) 446-0689,,5.0,2,106,Tampa,FL,GMT-05:00 America/New_York (EST),Waxing service
Naturalsense Spa,(727) 771-3933,,5.0,19,96,Tampa,FL,GMT-05:00 America/New_York (EST),Waxing service
The Waxing Bar,(813) 459-5837,,5.0,12,74,Tampa,FL,GMT-05:00 America/New_York (EST),Waxing service
World Of Waxing,(813) 419-0040,,5.0,10,67,Tampa,FL,GMT-05:00 America/New_York (EST),Waxing service
NINA’S cosmetic beauty,(432) 250-0176,,,0,56,Midland,TX,GMT-06:00 US/Central (CST),Waxing service
Samirika Salon,(432) 686-1107,,4.6,38,49,Midland,TX,GMT-06:00 US/Central (CST),Waxing service
VII Beauty Lounge,(432) 389-6868,,4.8,80,43,Midland,TX,GMT-06:00 US/Central (CST),Waxing service
Swati Eyebrow Threading and Beauty Salon,(432) 308-7969,,5.0,9,38,Midland,TX,GMT-06:00 US/Central (CST),Waxing service
Bia Eyebrow Threading,(432) 257-4465,,5.0,17,35,Midland,TX,GMT-06:00 US/Central (CST),Waxing service
Serenity Salon & Spa,(432) 570-5859,,4.5,33,28,Midland,TX,GMT-06:00 US/Central (CST),Waxing service
Olive Oil Esthetics,(432) 234-0101,,5.0,15,27,Midland,TX,GMT-06:00 US/Central (CST),Waxing service
Bare Bottom Waxing and Lashes,(972) 330-9774,,5.0,10,23,Midland,TX,GMT-06:00 US/Central (CST),Waxing service
Beauty by Stacy,(432) 293-3925,,5.0,6,7,Midland,TX,GMT-06:00 US/Central (CST),Waxing service
SERENITY ELECTROLYSIS,(760) 605-6147,,,0,92,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Waxing service
Electrolysis Services,(760) 403-0049,,5.0,4,91,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Waxing service
Bella Mia Salon,(760) 947-2712,,4.7,44,86,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Waxing service
All Star Nails & Spa,(760) 503-1141,,5.0,24,84,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Waxing service
Eyebrow Threading,(760) 641-2425,,4.7,14,76,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Waxing service
Fabulous Nails,(760) 669-0891,,4.5,46,64,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Waxing service
Lash 'n' Out,(760) 247-3399,,5.0,4,60,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Waxing service
Maha Eyebrows,(442) 255-4018,,5.0,46,45,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Waxing service
Electrolysis By Jasmine,(760) 571-3250,,4.9,44,41,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Waxing service
Merle Norman Cosmetic Studio,(760) 245-3633,,5.0,22,39,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Waxing service
Lloyd's Hair & eyelash extensions,(760) 245-6084,,5.0,32,38,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Waxing service
Skinbymireya,(760) 623-2153,,5.0,5,37,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Waxing service
Eyebrow threading,(760) 240-8899,,4.8,86,34,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Waxing service
Beleza Skin Care & Body Sculpting,(760) 669-7836,,5.0,62,33,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Waxing service
Hair Care 4 U,(760) 243-7722,,4.5,44,31,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Waxing service
A Wild Rose Salon and Spa,(760) 868-1878,,4.7,92,29,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Waxing service
DestinysdesierableAesthetics,(760) 508-9289,,,0,25,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Waxing service
Pearl Essence (Pro Makeup & Skin Care),(760) 792-8081,,4.8,19,19,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Waxing service
Yvette_beauty_enhancements,(626) 343-7331,,,0,18,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Waxing service
Eyebrow Art Threading Studio,(760) 600-7691,,4.5,78,15,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Waxing service
Brazilian full body waxing men and women You name it I wax it! WAXING BY DEBBIE,(760) 963-9855,,4.8,32,13,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Waxing service
Raaj Threading & SkinCare,(641) 455-1019,,4.8,19,6,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Waxing service
BBL ESTHETICS WAX CENTER,(760) 995-0823,,5.0,22,3,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Waxing service
