company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Reverend Robb Smith,7275318880,,,0,118,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Enchantus Weddings and Events,8139663519,,,0,117,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Budget Bride's Best Friend,7272660236,,,0,116,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Complete Weddings + Events,8139612900,,4.9,62,112,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Sassy and Southern Wedding Planners,7272262475,,,0,106,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
"Center For Family Enrichment, Inc.",8133181941,,5.0,1,105,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Sassy and Southern Wedding Planners,9122551481,,,0,104,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Treasured Memories Wedding Ceremonies,2393213944,,,0,103,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
United In love by Lency,8139474919,,5.0,2,99,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Weddings & Events Tampa,8139008077,,,0,85,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
A West Coast Wedding Ceremony,5702923006,,,0,84,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Island Kisses Event Planner,7272282012,,5.0,1,75,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Seay Weddings,8133827308,,,0,69,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Forever Mobile Wedding and Notary Services,9173796394,,5.0,5,65,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Perfectly Paired Weddings and Events,7274532305,,5.0,1,62,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Matrimony At It's Finest,7725791486,,5.0,1,59,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Florida Notaries Plus,8137771335,,5.0,7,53,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Alexa Kritis Events,7543331788,,5.0,49,49,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Florida Paradise Weddings,7277986671,,5.0,8,46,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Weddings on Sand Key Beach,7272605503,,4.1,25,42,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
"Notary Near Me, Tampa Bay Florida Wedding Officiant and Mobile Notary Public",7272373833,,5.0,19,38,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Petals and Promises,8134448792,,4.6,5,34,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
