company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Purdy Planning,8132798846,,5.0,1,118,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Orchard Weddings & Events,8137740557,,5.0,5,117,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Yamileth Event Management,8133527043,,4.3,3,114,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Saint Bleu Events,5183210927,,5.0,4,107,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Simply Divine Events,8132447110,,5.0,3,103,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Wildflower Event Design,7278516264,,5.0,4,97,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Demetrish Nicole Elegant Events & Wedding Planning,8134584693,,5.0,1,94,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Stylish Traditions Wedding and Event Design,7277681179,,5.0,3,88,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
A Premier Entertainment,8136003524,,5.0,1,84,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Jenni's Wedding Planner & Decorations,8135990307,,5.0,1,81,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Petals and Promises,8134448792,,4.6,5,76,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
"Head Over Heels Event Planning, LLC",8137399088,,5.0,3,68,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Couture Weddings and More,8137736118,,4.7,12,67,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Perfectly Paired Weddings and Events,7274532305,,5.0,1,63,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Oh Hello Events,3522638280,,4.9,10,56,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Island Kisses Event Planner,7272282012,,5.0,1,45,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Something To Plan,8132703058,,5.0,4,40,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Storybook Weddings LLC,7277988706,,5.0,2,39,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Golden Hour Events Inc,8134446232,,5.0,15,36,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Bustle and Bloom,8137550228,,5.0,33,18,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Weddings by Abi & Co.,8133652970,,5.0,27,12,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Alexa Kritis Events,7543331788,,5.0,49,1,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
MLM Weddings & Events,8036690935,,5.0,3,116,Midland,TX,GMT-06:00 US/Central (CST),Wedding planner
Carolina Posh Wedding & Event Planning LLC,8035671490,,5.0,1,111,Midland,TX,GMT-06:00 US/Central (CST),Wedding planner
