company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
"Advanced Auto Repair, Inc.",8138755912,,4.9,51,120,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
Automotive Mechanic L&S,8138020092,,4.4,7,101,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
Recommend Auto Repair,8136261843,,4.4,17,99,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
Jay's Auto Repair,8138761425,,3.4,70,94,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
Dr. Mechanic Auto Repair,8139771950,,4.8,40,93,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
D's Auto Repair,8132705830,,4.8,81,91,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
Fredy's Auto Repair Shop,7274431633,,4.8,58,86,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
E & N Auto Services,8134827602,,4.8,78,82,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
Renz Auto Repair,7274476573,,4.8,90,76,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
Auto Experts,8138168537,,4.7,98,75,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
Atlantic Auto Repair,7278944174,,4.8,67,65,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
Dencar Auto Repair,8132387744,,4.9,17,55,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
Bennetts Auto Care,8135711520,,4.9,56,50,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
M & S AUTO REPAIR INC,8139307008,,4.7,49,35,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
Castillos Tampa Bay Auto Repair,8135464377,,4.6,38,33,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
Can Am Auto Repair,8139350152,,4.8,80,32,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
R & C Auto & Truck Repair,7274473343,,4.7,62,6,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
Eddy Auto Repair,8134762717,,4.6,64,3,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
All American Collision Center of Midland,4322039184,,3.6,69,120,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Rogers Lincoln Auto Service,4326948801,,,0,119,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Midland Onsite Truck Repair,4322373886,,5.0,1,118,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Phillips Automotive,4323670960,,4.5,30,117,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Best Tire Shop And Sales,4328899671,,4.3,15,114,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Peter's Paint & Body Works,4326856091,,4.4,9,112,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Marty's Truck Center,4322471275,,4.4,18,108,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Same Day Auto,4322194990,,2.4,32,107,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Roland's Custom,4325563433,,4.8,9,106,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Bustillos Auto Kolor & Body Shop,4326860088,,3.4,36,104,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Tall City Diesel Services LLC,9404354925,,3.7,3,103,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Kenny Mayes Automotive,4325598165,,4.5,19,97,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Permian Body Shop,4325200113,,3.6,7,96,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Julio's Body Shop,4326853058,,4.0,32,95,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Advance Collision Inc,4322623407,,4.7,26,92,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Automotive Plus,4323331975,,4.9,51,91,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
"Premium Tires, Inc.",8337684737,,5.0,41,89,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
J.C. BODY SHOP,4326611809,,4.6,10,85,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Lithia Toyota of Odessa Service Center,4322167597,,3.6,28,82,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Manuel’s Place,2146754845,,,0,81,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
All American Chevrolet of Odessa Service Center,4322480898,,4.3,31,80,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Flores Body Shop,4325709106,,3.9,36,76,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Power Central Diesel and Automotive,4327011709,,5.0,3,75,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Eddies Garage Mobile Diesel Repair,4326407519,,5.0,20,71,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Wimpy's Customs,4326844779,,4.4,43,70,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
"Aoudad Auto & Diesel, LLC.",4322942436,,5.0,10,68,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Bob's Truck & Auto Repair,4325520465,,,0,64,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Nissan of Midland Service,8884055832,,4.3,49,63,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Ark Auto and Diesel Performance,4322945941,,5.0,3,61,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
349 Autoworks Collision,4322186757,,4.6,29,59,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
West Texas Collison Center,4326835113,,4.8,30,57,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Pro Tech Body Works Inc,4326995000,,4.5,25,55,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Next Gear Transmission & Complete Auto Repair,4326180939,,,0,53,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Sukowaty's Classic Park,4323680936,,4.8,48,52,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Mid-Tex Parts & Service,4326825259,,3.5,14,51,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
GARCIA TIRE ROAD SERVICE,4322123681,,4.9,9,47,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
"Midland Tire, Brake & Automotive Center",4325707700,,4.3,52,46,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
City Body Shop,4326824162,,4.3,3,45,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Farrington Truck & Auto Repair,4325708787,,4.7,14,44,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Vern's Repair Service,4327707789,,4.4,18,41,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
J & J Auto Shop,4323660140,,3.6,5,39,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Arrias mechanic,4329344343,,3.0,2,38,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Littlefield Automotive,4326838611,,3.7,35,37,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Faith on Wheels,4322170444,,4.2,37,36,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Frontline Auto,4326993010,,4.1,25,35,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Watson's Automotive,4326831338,,4.8,28,34,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Hi-Tech Auto & Truck Repair,4323665301,,4.0,2,33,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
A & N Automotive,4322471422,,5.0,9,31,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Browns Automotive service and repair llc,8307650774,,5.0,1,30,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Lindsey's Auto Repair,4323528176,,5.0,1,28,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Allen's Automotive,4326991240,,4.6,30,26,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Robert's Auto Care,4324161726,,4.2,25,25,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Mac Automotive,4329345478,,5.0,18,20,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Big Star Auto Service,4328941980,,5.0,1,19,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Bani's Auto Repair,4326640306,,4.9,47,18,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Jc auto repair,4322575742,,5.0,10,15,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Yahir's Complete Auto Service,4322941014,,5.0,4,14,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Sugar's Auto Repair,4326821766,,4.2,63,13,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Woody's Auto Repair,4323621669,,4.4,34,9,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Luis Auto Repair,4325570176,,4.4,34,7,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Auto Tech Automotive,4326823960,,4.1,18,5,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Express Auto Mechanics,4328188912,,4.6,60,4,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Pristine Auto Body,7608813017,,4.0,25,120,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Louie's Auto Body,7602457003,,4.7,77,119,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Hesperia Body Shop Repair,7602440034,,4.5,33,116,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
D & R Auto Body And Paint,7609982401,,4.8,24,114,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
A&D Auto Body and paint,7607800421,,4.9,47,113,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Redline Auto Service,7609475310,,2.7,7,109,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Mojave Auto Collision Inc,7609519096,,4.5,60,108,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
CS Auto Body Repair & Paint,7605612985,,4.7,43,105,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Quality Tires & Auto Service,7605524188,,4.3,87,104,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
JFP Automotive Repair & Classics,7602455530,,3.9,7,103,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
J & E Brakes & Mufflers,7608433439,,4.3,100,102,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
PRO AUTO transmission rebuild & automotive repair,6264871823,,3.7,36,101,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
1st Class Auto Body,7609569885,,4.8,46,96,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
J.C. 24 hours Road Service SEMI Truck Tires)Car Tires,7604988408,,4.9,33,94,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Serrano's Tires & Auto Repair,4423279068,,4.0,82,93,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
24 hrs Herrera’s Truck Repair (24 hrs Road Service ),9099049100,,4.3,15,92,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
JJB automotive repair,7607806230,,4.2,5,89,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Diaz Automotive BMW & Mercedes benz European mechanics specialist,9514072796,,4.3,68,87,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Caballero's Tire Service and Auto Repair,7609519746,,4.8,79,83,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Mojave Auto Smog,7609519951,,4.0,36,80,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Garcia Auto Repair,9097706975,,3.6,10,79,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
BSC FLEET SERVICES & Clean Truck Check,7606001616,,4.9,27,78,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Abney Auto Care,7609056203,,5.0,1,75,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Anderson's Auto,7608683692,,4.4,53,70,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Rick's Auto,7608684117,,4.4,71,68,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Just Go Automotive,4426004268,,4.7,15,67,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
A & F Automotive & Tire Services,7602440334,,4.8,25,66,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
A QUALITY AUTO & TIRE REPAIR,7602614069,,4.2,53,64,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Anthony's auto repair,7604863506,,4.3,16,62,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
J & J Performance & Auto,7609495552,,4.8,26,59,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Shattuck's Automotive Inc.,7609472611,,5.0,64,57,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Unique Wrenching Auto Repair,7602696336,,5.0,11,54,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
E&M Complete Auto &Truck Repair llc,7602448829,,4.8,76,53,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Berlin Automotive,7609982575,,4.4,21,52,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
ANSELMO'S AUTO REPAIR,7602211594,,5.0,1,51,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
P&F Alignment & Auto Repair,7148042872,,5.0,18,50,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Ernie’s auto service,7609519599,,4.5,13,49,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Sally's Auto Center,7602416449,,4.7,15,47,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Adrian's Mobile Auto RV & Boat Repair,9096344421,,4.8,98,46,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Lou's Auto Shop,7602448229,,4.4,21,44,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Action Automotive Services Center,7602416413,,4.1,47,42,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
All Pro Automotive,7602478300,,4.9,65,39,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Abreu's Auto Repair,7607132070,,4.6,29,35,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
GLN AUTO PRO§,7605964220,,4.6,56,34,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Yerena's Auto Care,7609562273,,4.6,56,32,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Charlie's Auto Repair,7609483942,,4.5,41,27,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Jimarez Auto Repair,7602447634,,4.5,56,24,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Harrington Auto Repair,7605964990,,4.0,34,21,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Frank's Auto,7602437720,,4.8,90,20,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
KNR Automotive Repair,7602403928,,4.8,31,17,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
A V Auto Clinic,7602471444,,4.5,81,14,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Precision Auto Repair LLC,7609517200,,4.6,92,5,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Villegas Auto Repair & Service,4422420266,,4.6,86,3,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Reyes Auto Repair Service,9496773911,,4.8,48,2,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Car repair shop
Automotive Mechanic L&S,8138020092,,4.4,7,103,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
Recommend Auto Repair,8136261843,,4.4,17,100,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
Jay's Auto Repair,8138761425,,3.4,70,95,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
Dr. Mechanic Auto Repair,8139771950,,4.8,40,94,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
D's Auto Repair,8132705830,,4.8,81,92,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
Fredy's Auto Repair Shop,7274431633,,4.8,58,88,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
E & N Auto Services,8134827602,,4.8,78,85,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
Renz Auto Repair,7274476573,,4.8,90,78,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
Auto Experts,8138168537,,4.8,96,77,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
Atlantic Auto Repair,7278944174,,4.8,67,66,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
Dencar Auto Repair,8132387744,,4.9,17,55,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
Bennetts Auto Care,8135711520,,4.9,56,50,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
M & S AUTO REPAIR INC,8139307008,,4.7,49,35,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
Castillos Tampa Bay Auto Repair,8135464377,,4.6,38,33,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
Can Am Auto Repair,8139350152,,4.8,80,32,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
R & C Auto & Truck Repair,7274473343,,4.7,62,6,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
Eddy Auto Repair,8134762717,,4.6,64,3,Tampa,FL,GMT-05:00 America/New_York (EST),Car repair shop
All American Collision Center of Midland,4322039184,,3.6,69,120,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Rogers Lincoln Auto Service,4326948801,,,0,119,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Midland Onsite Truck Repair,4322373886,,5.0,1,118,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Phillips Automotive,4323670960,,4.5,30,117,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Best Tire Shop And Sales,4328899671,,4.3,15,114,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Peter's Paint & Body Works,4326856091,,4.4,9,112,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Marty's Truck Center,4322471275,,4.4,18,108,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Same Day Auto,4322194990,,2.4,32,107,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Roland's Custom,4325563433,,4.8,9,106,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Bustillos Auto Kolor & Body Shop,4326860088,,3.4,36,104,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Tall City Diesel Services LLC,9404354925,,3.7,3,103,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Kenny Mayes Automotive,4325598165,,4.5,19,97,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Permian Body Shop,4325200113,,3.6,7,96,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Julio's Body Shop,4326853058,,4.0,32,95,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Advance Collision Inc,4322623407,,4.7,26,92,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
Automotive Plus,4323331975,,4.9,51,91,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
"Premium Tires, Inc.",8337684737,,5.0,41,89,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
J.C. BODY SHOP,4326611809,,4.6,10,85,Midland,TX,GMT-06:00 US/Central (CST),Car repair shop
