company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
"Nouveau Hope Counseling, LLC",8137139402,,,0,116,Tampa,FL,GMT-05:00 America/New_York (EST),Career counselor
"Cristina Mantilla, LLC",7275056379,,4.7,13,88,Tampa,FL,GMT-05:00 America/New_York (EST),Career counselor
Dr. Karen Unger,8132991933,,3.8,11,86,Tampa,FL,GMT-05:00 America/New_York (EST),Career counselor
"Barbara A. Brissenden, LMHC",7277914954,,,0,83,Tampa,FL,GMT-05:00 America/New_York (EST),Career counselor
Maximized Mental Health,7277439706,,5.0,14,81,Tampa,FL,GMT-05:00 America/New_York (EST),Career counselor
Annette Pheby Coaching,7274202225,,,0,78,Tampa,FL,GMT-05:00 America/New_York (EST),Career counselor
The Career & Personal Counseling Center,7278677200,,,0,72,Tampa,FL,GMT-05:00 America/New_York (EST),Career counselor
"Lori Bourgard, Ph.D.",7277102679,,5.0,7,68,Tampa,FL,GMT-05:00 America/New_York (EST),Career counselor
Crudup Psychological Services,3862439220,,5.0,12,61,Tampa,FL,GMT-05:00 America/New_York (EST),Career counselor
Frost Mary Ann,7277418096,,5.0,1,57,Tampa,FL,GMT-05:00 America/New_York (EST),Career counselor
Mr. Matthew Welch,7275052155,,5.0,1,56,Tampa,FL,GMT-05:00 America/New_York (EST),Career counselor
"Kristine Butler, LCSW",8136890139,,4.2,5,46,Tampa,FL,GMT-05:00 America/New_York (EST),Career counselor
College Admission and Career Advocacy,7272690525,,,0,42,Tampa,FL,GMT-05:00 America/New_York (EST),Career counselor
"Mary Ellen M. Baker-Gayne, LCSW",7277917200,,3.0,2,33,Tampa,FL,GMT-05:00 America/New_York (EST),Career counselor
COMPASS COUNSELING AND WELLNESS INC.,7272075179,,5.0,1,30,Tampa,FL,GMT-05:00 America/New_York (EST),Career counselor
Hanlon Counseling Services LLC,8132540109,,4.5,8,27,Tampa,FL,GMT-05:00 America/New_York (EST),Career counselor
Resolution Today Associates,7276982543,,4.4,18,25,Tampa,FL,GMT-05:00 America/New_York (EST),Career counselor
Career & Personal Counseling,7278236294,,,0,24,Tampa,FL,GMT-05:00 America/New_York (EST),Career counselor
"Keystone Counseling, LLC",8134092404,,4.9,29,19,Tampa,FL,GMT-05:00 America/New_York (EST),Career counselor
College Expert USA,8133305998,,5.0,5,12,Tampa,FL,GMT-05:00 America/New_York (EST),Career counselor
Ear for your tears,8438588619,,,0,38,Midland,TX,GMT-06:00 US/Central (CST),Career counselor
Byrd Career Consulting,9808002973,,4.7,25,22,Midland,TX,GMT-06:00 US/Central (CST),Career counselor
"The Comprehensive Career Counselor, LLC",9102992244,,,0,115,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Connect 2 Your Heart,3057333289,,5.0,7,114,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Matt Casper-Psychotherapy,8189621045,,,0,108,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Ear for your tears,8438588619,,,0,101,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
"Laurie P. McDonough, Marrag",8188355382,,,0,94,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Encarnacion Norma Mfcc,6264051433,,,0,88,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
"Patricia Laybourn MA, LMFT",8583916541,,,0,85,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
"Stan Rushing, MFT",6267948532,,,0,83,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Laura Tanzini Ma,9095964212,,,0,81,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Miss Brenda Logan,3237918305,,,0,79,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Erika Lissette Alvarez,6614806216,,,0,78,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
San Dimas Hani Morcos Marriage & Family Therapy,6264280512,,5.0,7,76,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
"Community Counseling Connection, Inc. the Office of Guisella Conroy, LCSW",5625512630,,,0,74,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
"Lena Bradley P.h.D., LMFT",9095875294,,,0,73,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
"Gina Weiss, MS, LMFT",9095857228,,,0,71,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Gearn Greg,2139263802,,5.0,1,66,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Olive Branch Counseling Centers,9099899030103,,2.3,8,65,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Tertia Morcos Licensed Marriage & Family Therapist,6266885700,,5.0,5,59,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Prama Soma,2135733404,,5.0,28,56,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Brad Waters Career Services,7737899300,,,0,52,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
College People,4242603661,,,0,51,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Transformation through Reunification,9095797630,,5.0,4,48,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Chalanda Bailey,9512135793,,5.0,1,43,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Haven Psychological Associates: Turner Tanya,9099871997,,5.0,1,32,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
ACCT Career,2092132781,,5.0,2,31,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Brainoscience - Discover Your Inborn Potential,6576665404,,4.9,12,30,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Life Coach Beckie,8189258517,,5.0,1,22,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
My Career Counselor,3109060058,,,0,18,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
returntoworks,3232295026,,,0,8,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
UnivPod,3234287614,,,0,7,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Sarah Riley,9093628002,,5.0,1,2,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Jeana De Lay MA LMFT,3109852974,,,0,112,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Psychiatry And Counseling Torrance,4244355590,,5.0,30,110,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Brainoscience - Discover Your Inborn Potential,6576665404,,4.9,12,107,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
"Nanette C. Coleman, MA, MFT, LPCC, CPLC",5629993220,,,0,105,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
"Jenni Liu, MFT",8053806308,,,0,104,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
"Michele D'Amico Personal Life, and Career Coach",8186219129,,5.0,2,99,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
"Helena Rosenberg, Marriage",3103736359,,,0,92,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
USARMY Career Center,4245357440,,,0,90,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
"Michele Teitelbaum, MFT",3107488444,,,0,87,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Magellan Veteran Consulting,3109060329,,5.0,54,84,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Sunrise Advising,9172137566,,,0,72,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Career Discovery,3233975039,,5.0,2,62,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Launch! Personal Coaching,8663234723,,,0,57,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Your Career Plans,6572050884,,,0,52,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
returntoworks,3232295026,,,0,50,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Miss Brenda Logan,3237918305,,,0,46,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
College People,4242603661,,,0,42,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Clear Behavioral Health Mental Health Services and Addiction Treatment Programs for Adults and Teens,4245883859,,4.5,67,37,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Career Lab,9497211165,,5.0,1,36,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
My Career Counselor,3109060058,,,0,30,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Nikki's College Counseling,3109959172,,,0,17,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
"Dr. Kevin Downing, PhD",8009986329789,,5.0,48,43,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Webb Debra A,7146808200,,3.0,2,41,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
"Vincent L. Redmond Jr, MFT",7142237233,,,0,39,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
SK Campus Connection,7147866968,,4.9,16,35,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
My Career Counselor,3109060058,,,0,25,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
"Karen Schipani - Tedrahn, MFT",7142405070,,3.0,2,24,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Your Career Plans,6572050884,,,0,20,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
returntoworks,3232295026,,,0,15,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Career Lab,9497211165,,5.0,1,13,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
Brainoscience - Discover Your Inborn Potential,6576665404,,4.9,12,6,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Career counselor
"Healthy Self Counseling Center, LLC",7324915575,,,0,76,Lakewood,NJ,GMT-05:00 America/New_York (EST),Career counselor
"Bernice Garfield-Szita, LPC",7325771076,,,0,73,Lakewood,NJ,GMT-05:00 America/New_York (EST),Career counselor
Impact Counseling| Dr. Benjamin A Lebowitz,7325316868,,5.0,1,62,Lakewood,NJ,GMT-05:00 America/New_York (EST),Career counselor
Mrs. Toni Nokes,7329426868,,,0,52,Lakewood,NJ,GMT-05:00 America/New_York (EST),Career counselor
Ainsworth Pat,7322811212,,4.5,8,50,Lakewood,NJ,GMT-05:00 America/New_York (EST),Career counselor
"OASIS COUNSELING, LLC",7329666206,,3.4,10,48,Lakewood,NJ,GMT-05:00 America/New_York (EST),Career counselor
The George Washington University: University Career Counseling,2029945390,,,0,43,Lakewood,NJ,GMT-05:00 America/New_York (EST),Career counselor
Byrd Career Consulting,9808002973,,4.7,25,41,Lakewood,NJ,GMT-05:00 America/New_York (EST),Career counselor
CJ Counseling LLC,9088970994,,,0,36,Lakewood,NJ,GMT-05:00 America/New_York (EST),Career counselor
"William J. Trub, LCSW",7324776400,,5.0,3,34,Lakewood,NJ,GMT-05:00 America/New_York (EST),Career counselor
"Krista Gleason, Licensed Professional Counselor",7324755488,,5.0,3,30,Lakewood,NJ,GMT-05:00 America/New_York (EST),Career counselor
Harbor View Counseling: Mackarevich Thomas PHD,7322409352,,4.5,11,23,Lakewood,NJ,GMT-05:00 America/New_York (EST),Career counselor
"Patricia F. Cooke, LPC",8482103964,,5.0,2,22,Lakewood,NJ,GMT-05:00 America/New_York (EST),Career counselor
King of Hearts Counseling Center,7322402545,,3.0,3,21,Lakewood,NJ,GMT-05:00 America/New_York (EST),Career counselor
"Jody A. Rodman, MSW",7328400109,,4.4,7,18,Lakewood,NJ,GMT-05:00 America/New_York (EST),Career counselor
Free to Be Me Creative Counseling LLC,7327017030,,,0,8,Lakewood,NJ,GMT-05:00 America/New_York (EST),Career counselor
Best Foot Forward College & Career Counseling,6098918827,,,0,2,Lakewood,NJ,GMT-05:00 America/New_York (EST),Career counselor
Best Foot Forward College & Career Counseling,6098918827,,5.0,4,1,Lakewood,NJ,GMT-05:00 America/New_York (EST),Career counselor
"Nouveau Hope Counseling, LLC",8137139402,,,0,116,Tampa,FL,GMT-05:00 America/New_York (EST),Career counselor
"Cristina Mantilla, LLC",7275056379,,4.7,13,88,Tampa,FL,GMT-05:00 America/New_York (EST),Career counselor
Dr. Karen Unger,8132991933,,3.8,11,86,Tampa,FL,GMT-05:00 America/New_York (EST),Career counselor
"Barbara A. Brissenden, LMHC",7277914954,,,0,83,Tampa,FL,GMT-05:00 America/New_York (EST),Career counselor
Maximized Mental Health,7277439706,,5.0,14,81,Tampa,FL,GMT-05:00 America/New_York (EST),Career counselor
Annette Pheby Coaching,7274202225,,,0,78,Tampa,FL,GMT-05:00 America/New_York (EST),Career counselor
The Career & Personal Counseling Center,7278677200,,,0,72,Tampa,FL,GMT-05:00 America/New_York (EST),Career counselor
