company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Buki’s Tacos,8136832725,,4.0,8,122,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Mr. C's Grilled Cheese,8133021600,,4.8,37,121,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Night Owls Food Truck,7278551708,,5.0,1,114,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Monica's Mixology,7638980312,,,0,113,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
PAMZ PIZZA CONEZ,2145862661,,5.0,2,111,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Engine 53 Pizza,7276419311,,4.2,33,107,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Jersey Dogs,7272651016,,4.9,13,106,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Pnolia Enterprise,8133591290,,,0,103,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Jumping Drinks,8135505850,,,0,99,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Kate's catering,+17874693750,,,0,98,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Chef Breezie Of Granddaughters Kitchen,7023443638,,,0,94,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Anytime Eats Food Truck,7273013166,,4.8,75,89,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Tara's Kitchen,7278356467,,4.6,9,88,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Floribbean Fusion Food Truck and Catering,7272829283,,5.0,9,83,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Antojitos Zapata Food Truck,6562249754,,5.0,14,82,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Ms. Chaquita S Liquid Catering Co.,8134205964,,1.0,1,79,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
The Shawarma King,8139984599,,5.0,54,76,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
The Genius Caterer,9203053411,,,0,71,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
The Caterer,7275934016,,,0,70,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Devil Dogs Eatery,7272656807,,5.0,13,64,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Jumping Drinks,8135505850,,5.0,2,49,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
"Better Me Foods, Products and Services",4072838075,,5.0,13,47,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
The SALT Caters,8338437258,,5.0,1,46,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Smaller The Better Catering,8136385845,,5.0,7,44,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Cater Tampa,8139060222,,5.0,4,43,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
ExecChef Catering & Cafes,7277981246,,3.8,24,36,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Hub Tap,8134192264,,5.0,71,31,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
El Vaquero Tacos y Montados,4325308430,,4.4,11,106,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Capell's Catering,4326890200,,5.0,1,105,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Cicis Pizza,4326853020,,4.0,1,98,Midland,TX,GMT-06:00 US/Central (CST),Caterer
22:20 BBQ,4323104269,,5.0,2,90,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Boma's Kitchen,5623247430,,5.0,1,72,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Chef Shack,4322728204,,,0,66,Midland,TX,GMT-06:00 US/Central (CST),Caterer
A97 Food Media,4325990642,,4.6,16,65,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Sam's Bar-B-Q,4325701082,,4.0,96,61,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Java Galaxy Shaved Ice and Coffee,4322887782,,,0,50,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Bubbles Event Planning & Rentals,4322544704,,4.1,14,48,Midland,TX,GMT-06:00 US/Central (CST),Caterer
JRD’S Catering,4329242735,,4.4,7,46,Midland,TX,GMT-06:00 US/Central (CST),Caterer
JayRiah's Catering,4323495030,,,0,45,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Down South Seafood,3375804602,,,0,44,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Halo Peno's,4326317674,,4.3,7,41,Midland,TX,GMT-06:00 US/Central (CST),Caterer
McLili,4064803408,,,0,38,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Midland Martini,4329941007,,,0,28,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Down South Seafood,3375804602,,4.4,16,25,Midland,TX,GMT-06:00 US/Central (CST),Caterer
YADE Enterprise,4325565353,,,0,21,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Q's Texas BBQ Express,4326526459,,3.0,1,20,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Reign's Catering,4322890238,,,0,18,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Taqueria El Mirador,4322890305,,5.0,3,17,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Scooter Dog TX,4328532024,,5.0,2,16,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Brie & Brut,8177937068,,5.0,6,13,Midland,TX,GMT-06:00 US/Central (CST),Caterer
La Zopilota LLC,4324887746,,5.0,5,11,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Mariquita's Taniche & Catering,4325560810,,5.0,9,10,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Fabela's Catering,4325632882,,4.6,8,4,Midland,TX,GMT-06:00 US/Central (CST),Caterer
Tania's Hot Mess Express,7608077558,,,0,95,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Dianimal's Barbecue,7608855555,,,0,94,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Hot Diggity Dog Catering,7605967683,,,0,93,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Chevelle Caterers & Events,4242348336,,5.0,2,90,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Norma The Taco Lady | Catering Service | Food Service | Event Caterers,8182626611,,5.0,4,84,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Lil Tony’s Pizza and Gelato,7609987399,,,0,76,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Chipotle Mexican Grill,7609488027,,4.1,1,69,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
"caterer in west covina, ca",9092841067,,5.0,1,66,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Chef Tami - Personal Chef and Caterer,9094535013,,5.0,7,63,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Hesperia Banquet Hall,7606690462,,4.0,38,60,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Fancy Creation's by Lisbect,7606629809,,,0,55,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Bucci’s Bistro Italian Food,7606289470,,,0,50,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Mad Smoke,7604536071,,,0,49,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
The Carro Bar. Mobile Bartender.,9093322938,,,0,48,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Pink Tacos by ChingonaTacos,3107141430,,4.7,3,46,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
"Event Source, Photo Booth, Photographer, DJs & Party Rentals",7609953037,,5.0,2,45,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
"Soups, Stews & Casseroles Too!",7605246323,,,0,44,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Korazee Tacos,7755307869,,,0,42,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Pacifico Azul Mariscos food truck,7602201887,,5.0,3,41,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
The Cocktail Society Mobile Bar,4423546674,,,0,37,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
The Holy Smoke'N Grill BBQ,3235384995,,,0,36,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
The Cocktail Society Mobile Bar,4423546674,,,0,35,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
5 Bros. Fruits and Juices,3234080485,,,0,32,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Big Belly Tacos,7602656178,,,0,28,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
11 Bravo Coffee Company,9094387732,,4.3,3,27,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
SoCalMex Tacos Catering,7609335717,,,0,26,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Gatorcooks,2136417252,,,0,23,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Joshua Tree Cantina,7608819322,,,0,22,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
The Pizza Crate,4423160904,,4.0,2,21,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
The Pizza Crate,4423160904,,4.0,2,20,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
ABC funibles,9512055532,,5.0,1,19,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
AllGaytan Taco Catering/Party Rentals,7608675973,,4.1,14,18,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
The Cruizing Kitchen,7602692290,,3.7,3,17,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
The Sated Kitchen,3235234702,,1.0,2,15,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Nanny’z,9092026613,,,0,14,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Divine Cristal Events and Catering,9097205743,,4.6,9,10,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
African bites,9514407718,,5.0,1,8,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Catering Tacos and buffets,6264655818,,5.0,1,7,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Eliseva Catering,7608811449,,5.0,1,6,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Moore Culinary Services,9096950900,,5.0,2,5,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Taquizas el Chato & Catering Services,5625330340,,4.2,18,4,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
The Garbage Truck,4242350089,,,0,118,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Top Katzz Cakes,5622693398,,5.0,1,117,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Pacific Coast Pizza,4244004763,,,0,102,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Connor Caters,3109263995,,,0,101,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
El Jefe Gordo Tacos,3232526733,,5.0,1,92,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Sweet Spot Libations LA,3102923118,,,0,90,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
The Grill,4247440655,,,0,87,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Soul of a phat kid,3109086436,,,0,80,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Chevelle Caterers & Events,4242348336,,5.0,2,77,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Just Imagine LLC,3234182969,,5.0,1,71,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Cookin' Thyme,3109444431,,3.0,2,68,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Affinity Ice Cream,2134373105,,5.0,2,67,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Cali Girl Catering,2132920704,,,0,66,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
MoodFoods LA,6025184737,,,0,65,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
HoyPorTi,5624886681,,,0,64,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Karizma Event,3109911147,,3.0,2,60,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Liquid Poetry Bartending,3104287198,,5.0,3,55,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Yaya’s Woodfired Pizza,4242939420,,5.0,2,53,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
E 2 Catering,2137474704,,,0,52,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
That Mexican Guy Catering Service,3107200925,,,0,51,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Southern Taco Inc.,3237386423,,4.8,5,50,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Worth The Shots mobile bartenders,3109222244,,5.0,4,49,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Tee’s Professional Mobile Bartenders,3104041499,,,0,48,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Tacos La Pura Catering,5622530744,,5.0,2,47,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Meshas,3234558572,,,0,46,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
All Party Catering,5624467213,,,0,45,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Haha & Pickles LLC,2134070935,,5.0,7,44,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
WetBar Events,8182752387,,5.0,2,39,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
EXCELLENCE BAR CATERING,3109777137,,5.0,4,38,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
The Loaded Experience,4243371931,,5.0,8,37,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Boba La Boba Catering,3042683286,,5.0,1,34,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Torrance Catering,3105303588,,3.7,16,32,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
C&A Catering,3109369975,,5.0,4,21,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
C&A Catering,3109369975,,5.0,4,20,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Jeters Barbecue Catering,3107033963,,5.0,7,19,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
City BBQ & Catering,5628882271,,4.9,14,7,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Caterer
Gotham Private Bartenders,4106622715,,,0,119,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Caps Off T-n-T Seafood,7273864714,,,0,116,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Masarap Bowls,8133707980,,5.0,18,115,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Harvest Eats Mobile Catering,8135798699,,,0,114,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
The Black Cat Cafe,7272487770,,3.4,5,111,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Buki’s Tacos,8136832725,,4.0,8,109,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
Ms. Chaquita S Liquid Catering Co.,8134205964,,1.0,1,108,Tampa,FL,GMT-05:00 America/New_York (EST),Caterer
