company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Kingdom Chiropractic-Tampa,8134341045,,4.4,39,105,Tampa,FL,GMT-05:00 America/New_York (EST),Chiropractor
Reynolds Chiropractic,7273515134,,5,44,98,Tampa,FL,GMT-05:00 America/New_York (EST),Chiropractor
Absolute Wellness Centers,8134886315,,5,80,69,Tampa,FL,GMT-05:00 America/New_York (EST),Chiropractor
"Alivio Injury Solutions (Odessa, TX)",4327777767,,,0,55,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
"Gregory D. Young, DC",4325245580,,5,4,52,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
"Christian L. Tschauner, D",4323375553,,,0,50,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
"Eric M. Fierro, DC",4325803700,,1,1,49,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
Bradshaw Wesley A DC,4323332225,,,0,46,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
Multi Care Plus,4325803700,,5,2,45,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
Dr. Edward Rowland,4326174564,,,0,43,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
Defrance Inc,4325633393,,,0,42,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
"Gerald R. Beaty, DC",4323622303,,5,8,41,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
Terry Michael C DC,4323375553,,,0,37,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
Scott Chiropractic & Wellness,4323638020,,3.7,3,36,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
"Christopher D. Cummins, DC",4323375553,,,0,29,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
Tall City Chiropractic,4322622440,,3.5,6,28,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
"Doll Chiropractic PC David J. Doll, DC",4325200773,,4.2,71,13,Midland,TX,GMT-06:00 US/Central (CST),Chiropractor
Your Chiropractic,6267147479,,5,12,96,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Chiropractor
Laughlin Marta D DC,8189574474,,5,1,95,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Chiropractor
Family Chiropractic,6617228183,,4.4,30,90,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Chiropractor
Pacific Crest Chiropractic,9099211466,,5,1,53,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Chiropractor
Benjamin Kang,5628793856,,,0,45,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Chiropractor
