company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
uBreakiFix - Phone and Computer Repair,7274759012,,4.8,1,119,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
Office Depot Tech Services,8133454071,,4.0,2,118,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
uBreakiFix - Phone and Computer Repair,8135135663,,4.8,1,117,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
uBreakiFix - Phone and Computer Repair,7272239258,,4.8,1,115,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
uBreakiFix - Phone and Computer Repair,7277774055,,4.8,1,113,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
Computer Repair Y Más,8138323600,,5.0,3,112,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
Office Depot Tech Services,8134376576,,5.0,1,111,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
Right Click Computer Services,7276188825,,5.0,1,108,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
uBreakiFix - Phone and Computer Repair,8135595954,,4.8,1,105,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
Clearwater Laptop Services Repairs,7278588670,,4.3,7,102,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
Affordable Computer Solutions Seminole,7274854610,,5.0,3,98,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
Gulfport Computer Repair,7273883493,,4.9,83,97,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
Computer Repair Clearwater,7274909739,,4.7,35,90,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
Carbo Computers,7273866922,,5.0,3,77,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
LiveWire Technical Solutions,8133569380,,5.0,3,73,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
Gulf Coast Networks,7273603146,,5.0,11,68,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
CL Computers,8138898013,,5.0,84,57,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
IGTech365 - Managed IT Services in Tampa,8137040523,,5.0,39,51,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
Theta Computers,7272105870,,5.0,1,37,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
Reliable Computer Systems,7275777583,,4.9,92,26,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
Nick's Computer Repair,7273503369,,4.9,56,18,Tampa,FL,GMT-05:00 America/New_York (EST),Computer repair
Permian Micro Mart,4325506179,,,0,82,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Faith on Wheels,4322170444,,4.2,37,81,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Office Depot Print & Copy Services,4327892173,,4.2,15,80,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
D3 Tech Solutions,4323121688,,,0,75,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
The Computer Buddy,4322604769,,5.0,3,64,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Mobile Computing,4325991263,,2.0,3,59,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
GS Supreme Systems LLC.,4322791250,,,0,56,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Laneta's computer and electronics repair,4328883739,,3.0,20,46,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Vega Computer Services,4323810334,,4.3,3,44,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Secured Data Solutions,4326869811,,,0,43,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Almighty Tech Services,4322384962,,5.0,14,42,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Source Computer Solutions Inc,4325700268,,5.0,1,39,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Wireless Repair & Accessories,4323664200,,4.8,22,35,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Office Depot Tech Services,4326530924,,3.5,2,32,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
Total Computer Solutions,4329243077,,5.0,1,28,Midland,TX,GMT-06:00 US/Central (CST),Computer repair
