company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
South Tampa Dental Studio,(813) 356-0555,,4.8,84,114,Tampa,FL,GMT-05:00 America/New_York (EST),Dentist
"Jackson Dental, P.A.",(813) 701-3141,,4.9,1,113,Tampa,FL,GMT-05:00 America/New_York (EST),Dentist
Terrace Dental Care,(813) 985-0088,,4.7,39,102,Tampa,FL,GMT-05:00 America/New_York (EST),Dentist
Dental Walk-In Clinic of Tampa Bay,(813) 636-9400,,4.5,1,92,Tampa,FL,GMT-05:00 America/New_York (EST),Dentist
Westchase Smiles Institute - Implants & General Dentistry,(813) 920-9144,,4.8,1,85,Tampa,FL,GMT-05:00 America/New_York (EST),Dentist
Doering Family Dental,(813) 590-6649,,4.9,1,77,Tampa,FL,GMT-05:00 America/New_York (EST),Dentist
Modern Dental Arts - Dentist Largo,(727) 287-1271,,4.9,96,74,Tampa,FL,GMT-05:00 America/New_York (EST),Dentist
Watts Dental,(813) 737-7370,,4.9,1,71,Tampa,FL,GMT-05:00 America/New_York (EST),Dentist
iSmile Dentistry,(813) 988-9276,,4.9,1,68,Tampa,FL,GMT-05:00 America/New_York (EST),Dentist
Tampa Smile Co. South Tampa,(813) 993-1291,,4.9,1,61,Tampa,FL,GMT-05:00 America/New_York (EST),Dentist
Family Implant & Cosmetic Dentistry - Brandon,(813) 497-4645,,4.9,2,60,Tampa,FL,GMT-05:00 America/New_York (EST),Dentist
South Tampa Smiles,(863) 209-7744,,4.9,1,47,Tampa,FL,GMT-05:00 America/New_York (EST),Dentist
Westchase Premier Dental,(727) 291-7326,,4.8,1,42,Tampa,FL,GMT-05:00 America/New_York (EST),Dentist
Riverview Smiles Dental,(813) 304-2600,,4.7,1,39,Tampa,FL,GMT-05:00 America/New_York (EST),Dentist
South Tampa Dentistry,(813) 835-0090,,4.9,3,33,Tampa,FL,GMT-05:00 America/New_York (EST),Dentist
Riverview Dentistry,(813) 343-8848,,4.9,1,21,Tampa,FL,GMT-05:00 America/New_York (EST),Dentist
Tampa Dentist - Terrace Smiles Dentistry,(813) 906-1639,,4.8,1,6,Tampa,FL,GMT-05:00 America/New_York (EST),Dentist
North Pointe Dental of North Tampa,(813) 961-1727,,5,1,1,Tampa,FL,GMT-05:00 America/New_York (EST),Dentist
Skye Dentistry,(432) 366-0896,,,0,120,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Urgent Dentistry Service,(432) 366-0896,,,0,119,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Brandon Gooch,(432) 694-4800,,,0,118,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Dr. Ayotunde Esho - Basin Dental Suite Odessa,(432) 260-9636,,5,7,117,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Dr. Karen King,(432) 618-5215,,,0,116,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Midland Community Healthcare Services,(432) 685-0450,,2.3,94,115,Midland,TX,GMT-06:00 US/Central (CST),Dentist
The Laser Smile Center,(432) 333-6169,,4.7,38,114,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Music City Mall Dental,(432) 363-4867,,2.8,19,113,Midland,TX,GMT-06:00 US/Central (CST),Dentist
De Witt David P DDS,(432) 333-6585,,,0,112,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Motto Clear Aligners,(432) 699-4811,,,0,111,Midland,TX,GMT-06:00 US/Central (CST),Dentist
"Dr. Robert B. Sears, DDS",(432) 570-0238,,,0,110,Midland,TX,GMT-06:00 US/Central (CST),Dentist
"Rajesh Gutta, DDS",(432) 683-1863,,4,8,109,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Rapolla Allen R DDS,(432) 682-1614,,,0,108,Midland,TX,GMT-06:00 US/Central (CST),Dentist
"Dr. Bryan Q. Bui, DMD",(510) 731-6119,,,0,104,Midland,TX,GMT-06:00 US/Central (CST),Dentist
"aspen dental, Nimesh Shingala DDS PC",(432) 699-4811,,,0,103,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Gaines Charles R DDS,(432) 684-6650,,,0,102,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Transformational Practices,(432) 360-3323,,,0,101,Midland,TX,GMT-06:00 US/Central (CST),Dentist
"The Art of Dentistry - Robin Rutherford, DDS",(432) 367-0202,,4.4,66,100,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Dr. Kelcey Parrott,(432) 699-2044,,,0,99,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Familia Dental,(432) 332-8550,,4.2,1,97,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Koesters Jason F DDS,(432) 686-0000,,,0,96,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Advanced Periodontics & Implant Dentistry,(432) 538-3318,,5,47,95,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Sears Truman DDS,(432) 218-8101,,,0,94,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Lanham Larry B DDS,(432) 682-1614,,,0,93,Midland,TX,GMT-06:00 US/Central (CST),Dentist
"Steve W Cobb, DDS",(432) 367-4774,,4.7,69,92,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Bonolo Odirile,(432) 701-5457,,5,1,90,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Allison Watts,(432) 682-0188,,,0,89,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Dr. Karen Rude,(432) 699-4811,,1,1,87,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Emergency Dentist 24/7-Midland,(877) 223-9874,,1,1,86,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Odessa Family Dental,(432) 242-6655,,3.5,62,85,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Clay Wade H DDS,(432) 687-1551,,3.2,9,83,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Denta Dental,(432) 367-8907,,4.9,91,82,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Pain Management of TMJ,(432) 522-1882,,3,1,81,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Reznik Orthodontics: Midland Location,(432) 682-1222,,4.5,13,78,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Sears Family Dental,(432) 694-1659,,3,2,77,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Reznik Orthodontics: Odessa Location,(432) 333-7105,,4.4,28,75,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Boyles General Dentistry,(432) 366-0896,,4.9,68,74,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Basin Dental Suite,(432) 260-9636,,4.9,52,73,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Archana Gutta,(432) 242-5747,,5,1,72,Midland,TX,GMT-06:00 US/Central (CST),Dentist
"Caldwell Dental: Thomas B. Campagna, DMD, MAGD",(432) 694-1659,,2.8,9,68,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Thomas Caputo,(432) 262-0290,,5,5,67,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Carr Ronald J,(432) 362-4374,,5,15,66,Midland,TX,GMT-06:00 US/Central (CST),Dentist
"Dr. Thomas A. Youngblood, DDS",(432) 520-5437,,5,3,64,Midland,TX,GMT-06:00 US/Central (CST),Dentist
"Wesley D. Gray, DDS",(432) 694-5741,,4,7,63,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Midland Dentistry For Kids: Noble Stuart D DDS,(432) 699-2500,,5,1,62,Midland,TX,GMT-06:00 US/Central (CST),Dentist
"Chris Wilson DDS and Associates, PLLC",(432) 682-0565,,5,2,61,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Cox J Mark DDS,(432) 684-4012,,5,1,60,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Ayoub Elliot M DDS,(432) 685-0450,,5,2,58,Midland,TX,GMT-06:00 US/Central (CST),Dentist
The Kid's Place,(432) 689-5437,,4.7,11,57,Midland,TX,GMT-06:00 US/Central (CST),Dentist
"Dr. Robert S. Fuentes, DDS MD",(432) 333-6585,,5,6,54,Midland,TX,GMT-06:00 US/Central (CST),Dentist
"Chet K. Gray, DDS",(432) 694-5741,,4.6,5,52,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Midland Kid's Dentist,(432) 520-5437,,4.4,33,51,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Dr. Manuel C. Carrasco,(432) 337-2522,,4.5,16,49,Midland,TX,GMT-06:00 US/Central (CST),Dentist
"Michael C. Courter, D.D.S.",(432) 682-0786,,4.7,14,48,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Dr. Tye Thompson DDS,(432) 687-0629,,5,6,45,Midland,TX,GMT-06:00 US/Central (CST),Dentist
"Dr. Jordon J. Green, DDS",(432) 682-8941,,5,8,44,Midland,TX,GMT-06:00 US/Central (CST),Dentist
"James A. Holman, Jr., DDS - Monarch Dental",(432) 699-6222,,5,12,42,Midland,TX,GMT-06:00 US/Central (CST),Dentist
Sam Sowders DDS,(432) 682-4289,,4.7,14,41,Midland,TX,GMT-06:00 US/Central (CST),Dentist
