company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Optimize Electric,7273038542,,5.0,50,118,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
Spark Electricians,8135136826,,5.0,9,116,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
St. Pete Electricians & Generator,7274724297,,,0,115,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
Power Surge Electricians,8134524477,,5.0,13,112,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
Bright Wave Electric Co,7274255617,,4.4,38,106,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
R A Wahrenberger Electric,7273982172,,4.8,21,102,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
Del's Electrical Service Inc,8139092022,,4.9,49,101,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
Lloyd's Electrical Services Inc.,7273746385,,4.6,11,98,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
TriStar Electrician Services,7272204851,,3.4,5,97,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
5Star Emergency Electricians,7274752396,,5.0,14,96,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
"Trevino Electric, Inc.",7278049541,,4.7,49,94,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
Perry Electric Inc,8132426767,,5.0,6,88,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
Complete Electrical,7274167216,,4.6,10,82,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
Peter Lontakos Electrical,7279388895,,4.2,48,81,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
Full Service Electrician Pros,8133275234,,5.0,13,71,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
Absolute Electric,8139080424,,5.0,9,69,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
Southern Electric of Tampa Inc,8138769083,,5.0,5,68,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
Gulf Electric Co,8139822233,,4.6,10,58,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
Apex Electrical LLC,7272631607,,3.6,14,47,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
"Imperial Electric Service of Pinellas, Inc.",7275350708,,5.0,8,46,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
Plant City Electric,8137528606,,4.8,9,41,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
Bright Bay Electric inc,7276210715,,4.4,35,40,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
Hoffman Electrical & A/C,8556441365,,4.8,3,28,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
Home Service Heroes,8136963398,,4.8,2,26,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
Brandon Electric,8134922880,,4.6,18,25,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
Top Electric,7274255817,,4.8,6,24,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
Empire Electric,3523528171,,4.8,5,20,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
Magic Electric,9413250379,,4.5,17,19,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
Influx Electricians Saint Petersburg,7279995560,,4.8,17,18,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
Electrician of Saint Petersburg,8137745953,,4.8,17,17,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
JL Local Electricians,8137056644,,4.7,18,16,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
Fivestar Electrician Saint Petersburg,7275098374,,4.8,19,11,Tampa,FL,GMT-05:00 America/New_York (EST),Electrician
Mc Cord Pump & Supply,4323624611,,4.8,19,120,Midland,TX,GMT-06:00 US/Central (CST),Electrician
A&A Instrumentation and Electrical Inc.,4324583647,,,0,116,Midland,TX,GMT-06:00 US/Central (CST),Electrician
CRG Electric Inc,9153812493,,,0,114,Midland,TX,GMT-06:00 US/Central (CST),Electrician
"Renco Electric & Instrumentation, LLC.",4323331129,,5.0,1,113,Midland,TX,GMT-06:00 US/Central (CST),Electrician
Sun Electric Services Inc,4325809500,,4.0,6,112,Midland,TX,GMT-06:00 US/Central (CST),Electrician
Fred Lewis Electric Company,4325502299,,,0,109,Midland,TX,GMT-06:00 US/Central (CST),Electrician
Franklin Foliage,4323521313,,,0,108,Midland,TX,GMT-06:00 US/Central (CST),Electrician
New Era Electrical and Instrumentation,4325528005,,,0,107,Midland,TX,GMT-06:00 US/Central (CST),Electrician
