company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
C & C Hair Salon,(727) 530-0735,,4.8,52,119,,,,
Impressions Hair Salon,(813) 935-9289,,4.8,67,118,,,,
QT Hair Salon,(727) 692-7513,,4.8,51,117,,,,
Yosdany's Hair Salon Studio,(813) 898-8554,,5.0,42,116,,,,
A Woman's Worth Hair Studio,(813) 419-7554,,4.5,93,114,,,,
His & Hers Hair Studio By Annalisa,(813) 453-8735,,4.9,40,113,,,,
Jewel Hair Salon,(727) 417-8808,,5.0,21,111,,,,
Salon Tre',(727) 372-1919,,4.7,98,110,,,,
Hair by Jamie Seymour - Private Salon Suites,(440) 622-8260,,5.0,76,109,,,,
Chic Beauty Collective,(754) 202-8293,,4.9,62,104,,,,
The Bobby Pin Hair Gallery,(813) 415-3224,,4.9,77,103,,,,
Undici 11 Hair Studio,(773) 559-1663,,4.8,36,101,,,,
Beauty Hair & Nail Care,(813) 515-4131,,4.9,64,97,,,,
LETTY'S HAIR STUDIO SALON,(954) 740-3845,,5.0,24,96,,,,
Bellissimo Salon,(813) 933-2525,,4.9,47,94,,,,
23 Roses Hair Studio,(813) 470-6347,,4.8,35,93,,,,
Bella V Salon,(813) 973-7575,,4.7,91,92,,,,
B Beautiful Salon,(813) 242-0200,,4.8,48,90,,,,
Salon Roxy,(813) 545-2253,,4.6,81,87,,,,
MUSE THE SALON @ The Grand,(813) 258-2558,,4.5,86,82,,,,
Exquisite Hair Salon,(813) 326-1476,,4.8,77,81,,,,
Sofia Hair Studio & Salon,(727) 504-3878,,4.8,45,80,,,,
Shades Of Color Hair Salon,(727) 303-0984,,4.9,78,76,,,,
Salon,(813) 374-9224,,4.6,77,73,,,,
Salon Lofts Carrollwood North,(813) 499-9667,,4.6,68,70,,,,
Fringe Hair Studio,(727) 456-8087,,5.0,64,68,,,,
The Shop Salon,(813) 872-7467,,4.9,95,66,,,,
Tra Vinh Beauty Salon,(727) 547-5477,,4.8,84,65,,,,
STUDIO 8850/Hair salon LlC,(813) 935-9701,,4.9,45,63,,,,
The Station Salon,(813) 609-6916,,4.8,58,56,,,,
