company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Cleanout Tampa,7278003003,,,0,86,Tampa,FL,GMT-05:00 America/New_York (EST),House cleaner
Integrity Home Solutions,8135756500,,4.8,7,76,Tampa,FL,GMT-05:00 America/New_York (EST),House cleaner
T & T HVAC/Duct Cleaning,8133281910,,3.0,10,70,Tampa,FL,GMT-05:00 America/New_York (EST),House cleaner
Carriage Cleaners,7273922175,,4.7,63,63,Tampa,FL,GMT-05:00 America/New_York (EST),House cleaner
Tampa HVAC Services,7276298905,,4.9,10,59,Tampa,FL,GMT-05:00 America/New_York (EST),House cleaner
Exceptional Quality Cleaning Service LLC,7276920157,,5.0,15,58,Tampa,FL,GMT-05:00 America/New_York (EST),House cleaner
Scrub It Cleaning,7029941317,,4.9,23,47,Tampa,FL,GMT-05:00 America/New_York (EST),House cleaner
White Glove Cleaning Service,8333525326,,4.5,24,40,Tampa,FL,GMT-05:00 America/New_York (EST),House cleaner
Nicely Cleaned,7272719812,,4.8,83,36,Tampa,FL,GMT-05:00 America/New_York (EST),House cleaner
Carolina's Cleaning,7273317984,,5.0,1,34,Tampa,FL,GMT-05:00 America/New_York (EST),House cleaner
Well Done Cleaning Service LLC,7275044702,,4.8,4,27,Tampa,FL,GMT-05:00 America/New_York (EST),House cleaner
Wehnonah's Cleaning Service,4322486096,,1.0,1,120,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Diamond M Cleaning Services,4323856085,,,0,115,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
GG's Cleaning Services,4238380005,,,0,112,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Better House and Business Cleaning By Julie,4325280671,,3.0,2,108,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
TruShine Cleaning Services,7863292984,,5.0,1,107,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Clever Clean & Clutter,4322481944,,,0,103,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
C&R,4326409034,,5.0,1,98,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Tina's Cleaning,4322389852,,2.0,1,96,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Windows Plus+,4323521052,,4.7,15,95,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Royalty Housekeeping,4326616617,,5.0,1,92,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
"Firewater, LLC - Disinfecting Services & Mobil Water Units",4322411226,,5.0,1,90,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Loredo Services,4323523867,,,0,89,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
GBU Bee Removal,4325578446,,5.0,21,88,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Project G Window Cleaning,4325203856,,5.0,1,85,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Spiffy Clean Cleaning Services,4329786844,,5.0,3,84,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
3R Cleaning Service,4325571360,,,0,83,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Angeles Cleaning Service,9155497849,,5.0,1,81,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Fresh N Clean,4323050317,,4.8,16,80,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
H & B cleaning services,4322141045,,5.0,2,79,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Love: Life's Greatest Blessing Janitorial Service,4322421538,,5.0,1,78,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
S&M Cleaning Services,4327704117,,5.0,1,75,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Clean-Co Systems,8669222626,,2.0,2,74,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
EJ's Cleaning Service LLC/Odessa Tx,4326616273,,5.0,7,70,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
I-Shine Cleaning Services,4324387291,,5.0,10,69,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Grimey Solutions LLC,3253740175,,,0,68,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
JCK Sanitation,4692101115,,,0,65,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
"Menny's Carpet Cleaning - Home Carpet Cleaners, Quality Carpet Cleaning",4326385631,,5.0,2,64,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
On Location Service,4323493322,,5.0,1,57,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Expert Cleaning Services,4322186540,,,0,56,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Maid 4 u cleaning services,6822445347,,,0,55,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
June Family Cleaning Services,4325574523,,,0,54,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Married Maids,4325534360,,,0,53,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Peachy Clean Services,4323086364,,,0,52,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
R-TERR Services,3035490271,,,0,51,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
MIMO (Move In Move Out) Cleaning Services,8068930444,,,0,49,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
"Jackie's Cleaning Service,, Odessa Texas",4328807104,,4.5,25,48,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
BB & CC's Here For You,4328532215,,5.0,1,47,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Victorias cleaning service,4324165121,,,0,46,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
"Reliable Gomez Cleaning Service, Llc",4322824331,,,0,45,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Ali's cleaning services,4329784892,,,0,42,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Y&G Cleaning Services,4328804682,,,0,41,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Midland House Cleaners,4322877488,,,0,35,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Cleaning Services,4692101115,,,0,33,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Maid in Midland Tx,4322315980,,5.0,6,30,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Double K Express,4326611064,,5.0,6,27,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Lilly's Cleaning Services,4322325026,,5.0,11,25,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Claudia’s Cleaning Services,4322229914,,5.0,4,22,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Spiffy Clean,4329786844,,5.0,4,21,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Aj reliable cleaning service and cleaning products,4325531529,,5.0,2,11,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Hesperia HVAC Repair Service,4082904222,,4.5,2,34,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Mess Masters Restoration & Cleaning Services LLC,7605146928,,5.0,19,28,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Mya Cleaning Services,4243988556,,4.6,80,26,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Sleek Clean Services,9093219808,,4.7,3,25,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Reyes Details,7609874713,,5.0,2,24,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Power Wash King,7604470026,,,0,22,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Tri City Laundry - Launderville,7605156280,,3.8,81,21,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
A1 Carpet Cleaning,7609270820,,5.0,62,17,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
ServiceMaster First Response,7609481506,,3.9,7,11,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Perfection Cleaning,7604866365,,5.0,4,7,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
All American Janitorial Services,7605524141,,4.8,25,6,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
"Clean Home, Happy Home",7604868017,,5.0,7,5,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Hi DESERT HOUSE CLEANING,7605138000,,4.9,35,2,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
PATRICIA CLEANING HOUSES,6267349777,,,0,88,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Home Insurance Quotes,8884371115,,,0,87,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
5blox Inc.,3236219368,,4.8,39,81,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
N&N Coin Laundry,4243768684,,4.0,94,73,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
house & office cleaning sevice,5628322248,,,0,64,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
The Cleaning Bees,6263546258,,1.0,1,62,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
The Detailed Cleaner,8182991885,,5.0,1,61,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Tidy Trojans Cleaning Co.,3216665300,,4.3,7,60,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Southwestern Carpet & Upholstery Cleaning,3103717463,,5.0,1,59,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Estella's House Cleaning,5624218785,,,0,57,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Home Sweet Home Maid Services,6269636243,,5.0,1,56,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Del Mar House Cleaning,4242042559,,5.0,5,51,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
A Plus Services,3105455850,,5.0,2,48,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Los Angeles Clean & Fresh Move Out House Cleaning,3239164276,,4.0,4,37,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
OC Coastal Cleaning,9498228995,,4.9,62,36,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
J.P. Cleaning Services,6263403807,,4.9,37,34,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Mya Cleaning Services,4243988556,,4.6,80,31,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
R&R Cleaning Service,3106549946,,,0,15,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Los Angeles Home Cleaners,2135663263,,4.9,18,3,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Residential Deep Cleaning,7147136164,,1.0,1,68,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Lucy's Cleaners,7145220174,,4.4,14,61,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Master's Carpet Cleaning,5626401287,,5.0,21,60,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Pro Clean Co,6264884512,,4.9,49,55,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Got It Maid,9498360900,,3.9,11,54,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
True Tone Carpet & Furniture,7147421903,,4.7,3,50,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Competitive Enterprises Window Cleaning and Carpet Cleaning,7147730568,,5.0,4,40,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Ever Clean,7146431526,,5.0,5,35,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Mya Cleaning Services,4243988556,,4.6,80,34,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
OC Coastal Cleaning,9498228995,,4.9,62,23,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Sparkle,9494825157,,5.0,14,3,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
M&A Cleaning Services,7604728457,,4.8,46,2,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Integrity Home Solutions,8135756500,,4.8,7,71,Tampa,FL,GMT-05:00 America/New_York (EST),House cleaner
Carriage Cleaners,7273922175,,4.7,63,62,Tampa,FL,GMT-05:00 America/New_York (EST),House cleaner
Scrub It Cleaning,7029941317,,4.9,23,47,Tampa,FL,GMT-05:00 America/New_York (EST),House cleaner
White Glove Cleaning Service,8333525326,,4.5,24,38,Tampa,FL,GMT-05:00 America/New_York (EST),House cleaner
Nicely Cleaned,7272719812,,4.8,83,35,Tampa,FL,GMT-05:00 America/New_York (EST),House cleaner
Well Done Cleaning Service LLC,7275044702,,4.8,4,27,Tampa,FL,GMT-05:00 America/New_York (EST),House cleaner
Wehnonah's Cleaning Service,4322486096,,1.0,1,120,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Diamond M Cleaning Services,4323856085,,,0,115,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
GG's Cleaning Services,4238380005,,,0,112,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Better House and Business Cleaning By Julie,4325280671,,3.0,2,108,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
TruShine Cleaning Services,7863292984,,5.0,1,107,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Clever Clean & Clutter,4322481944,,,0,103,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
C&R,4326409034,,5.0,1,97,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Tina's Cleaning,4322389852,,2.0,1,95,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Windows Plus+,4323521052,,4.7,15,94,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Royalty Housekeeping,4326616617,,5.0,1,91,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
"Firewater, LLC - Disinfecting Services & Mobil Water Units",4322411226,,5.0,1,89,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Loredo Services,4323523867,,,0,88,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
GBU Bee Removal,4325578446,,5.0,21,87,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Project G Window Cleaning,4325203856,,5.0,1,84,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Spiffy Clean Cleaning Services,4329786844,,5.0,3,83,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
3R Cleaning Service,4325571360,,,0,82,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Fresh N Clean,4323050317,,4.8,16,80,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
H & B cleaning services,4322141045,,5.0,2,79,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Love: Life's Greatest Blessing Janitorial Service,4322421538,,5.0,1,77,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
S&M Cleaning Services,4327704117,,5.0,1,75,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Clean-Co Systems,8669222626,,2.0,2,74,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
EJ's Cleaning Service LLC/Odessa Tx,4326616273,,5.0,7,70,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
I-Shine Cleaning Services,4324387291,,5.0,10,69,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Grimey Solutions LLC,3253740175,,,0,68,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
JCK Sanitation,4692101115,,,0,65,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
"Menny's Carpet Cleaning - Home Carpet Cleaners, Quality Carpet Cleaning",4326385631,,5.0,2,64,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
On Location Service,4323493322,,5.0,1,57,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Expert Cleaning Services,4322186540,,,0,56,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
June Family Cleaning Services,4325574523,,,0,55,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Married Maids,4325534360,,,0,54,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Peachy Clean Services,4323086364,,,0,53,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
R-TERR Services,3035490271,,,0,52,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
MIMO (Move In Move Out) Cleaning Services,8068930444,,,0,50,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
"Jackie's Cleaning Service,, Odessa Texas",4328807104,,4.5,25,49,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
BB & CC's Here For You,4328532215,,5.0,1,48,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Victorias cleaning service,4324165121,,,0,47,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
"Reliable Gomez Cleaning Service, Llc",4322824331,,,0,46,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Ali's cleaning services,4329784892,,,0,43,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Y&G Cleaning Services,4328804682,,,0,42,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Maid 4 u cleaning services,6822445347,,,0,36,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Midland House Cleaners,4322877488,,,0,35,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Cleaning Services,4692101115,,,0,33,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Maid in Midland Tx,4322315980,,5.0,6,30,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Double K Express,4326611064,,5.0,6,27,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Lilly's Cleaning Services,4322325026,,5.0,11,25,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Claudia’s Cleaning Services,4322229914,,5.0,4,22,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Spiffy Clean,4329786844,,5.0,4,21,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Aj reliable cleaning service and cleaning products,4325531529,,5.0,2,11,Midland,TX,GMT-06:00 US/Central (CST),House cleaner
Mess Masters Restoration & Cleaning Services LLC,7605146928,,5.0,19,25,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Mya Cleaning Services,4243988556,,4.6,80,23,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Reyes Details,7609874713,,5.0,2,22,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Roman Window Cleaning,7608675051,,4.9,87,18,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
ServiceMaster First Response,7609481506,,3.9,7,11,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Maid In Heaven Home Cleaning,9093309353,,4.8,59,9,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
"Clean Home, Happy Home",7604868017,,5.0,7,4,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
Hi DESERT HOUSE CLEANING,7605138000,,4.9,35,2,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),House cleaner
