company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
"Karen Blanden Counseling, MA, LMHC",8139318113,,,0,122,Tampa,FL,GMT-05:00 America/New_York (EST),Marriage counselor
Pinellas Counseling,7279451456,,,0,115,Tampa,FL,GMT-05:00 America/New_York (EST),Marriage counselor
Marriage and Family Therapy Services,8137013323,,1.0,2,112,Tampa,FL,GMT-05:00 America/New_York (EST),Marriage counselor
Jayme Nicole Therapy & Coaching,8135406468,,5.0,1,102,Tampa,FL,GMT-05:00 America/New_York (EST),Marriage counselor
Jayme Nicole Therapy & Coaching,8135406468,,5.0,1,101,Tampa,FL,GMT-05:00 America/New_York (EST),Marriage counselor
"Winning at Home - Family Counselor, Marriage & Couples Counseling, Life Coaching",7275134445,,5.0,3,62,Tampa,FL,GMT-05:00 America/New_York (EST),Marriage counselor
"Professional Counseling Inc, Dr. Bob & Shay Roop",7272988404,,4.7,16,50,Tampa,FL,GMT-05:00 America/New_York (EST),Marriage counselor
Be Your Best Self & Thrive Counseling,7275135932,,4.9,29,43,Tampa,FL,GMT-05:00 America/New_York (EST),Marriage counselor
"Winning at Home - Family Counselor, Marriage & Couples Counseling, Life Coaching",8134924689,,5.0,8,32,Tampa,FL,GMT-05:00 America/New_York (EST),Marriage counselor
"Divine Counseling Solutions, LLC",8136531803,,5.0,3,30,Tampa,FL,GMT-05:00 America/New_York (EST),Marriage counselor
RWJCounseling,8137438914,,5.0,18,28,Tampa,FL,GMT-05:00 America/New_York (EST),Marriage counselor
"Kranz and Associates, LLC",8137775422,,5.0,15,17,Tampa,FL,GMT-05:00 America/New_York (EST),Marriage counselor
"St. Petersburg Counseling | Marriage, Family, & Individual Counseling",7275652808,,5.0,27,4,Tampa,FL,GMT-05:00 America/New_York (EST),Marriage counselor
"Donna K. Carrasco, LPC",4322105200,,,0,53,Midland,TX,GMT-06:00 US/Central (CST),Marriage counselor
Summers Counseling Services,4322669866,,,0,51,Midland,TX,GMT-06:00 US/Central (CST),Marriage counselor
"Anna M. Carrillo, RPT-S",4328533645,,5.0,3,43,Midland,TX,GMT-06:00 US/Central (CST),Marriage counselor
"Teresa Valero, Licenced Professional Counselor",4329672330,,5.0,2,41,Midland,TX,GMT-06:00 US/Central (CST),Marriage counselor
"Paul A. Jurek, PhD",4325206016,,,0,39,Midland,TX,GMT-06:00 US/Central (CST),Marriage counselor
Counseling Management Inc,4326387672,,,0,34,Midland,TX,GMT-06:00 US/Central (CST),Marriage counselor
"Tracy A. Crain, LPC",4325703300,,,0,31,Midland,TX,GMT-06:00 US/Central (CST),Marriage counselor
May James L PhD,4325200737,,,0,23,Midland,TX,GMT-06:00 US/Central (CST),Marriage counselor
Brian Wingfield,4323683170,,1.0,1,21,Midland,TX,GMT-06:00 US/Central (CST),Marriage counselor
Advanced Counseling Solutions,4322546148,,,0,18,Midland,TX,GMT-06:00 US/Central (CST),Marriage counselor
Shantel Mackey,5125377079,,3.7,3,16,Midland,TX,GMT-06:00 US/Central (CST),Marriage counselor
George Linda H,4325701154,,5.0,1,14,Midland,TX,GMT-06:00 US/Central (CST),Marriage counselor
"Thomas W. Wynne, LCSW",4325991727,,5.0,2,11,Midland,TX,GMT-06:00 US/Central (CST),Marriage counselor
"Marc H. Mcqueen, MA",4325701084,,5.0,1,10,Midland,TX,GMT-06:00 US/Central (CST),Marriage counselor
Marriage Counseling Services,4325701084,,5.0,1,4,Midland,TX,GMT-06:00 US/Central (CST),Marriage counselor
Bridgeback Counseling and Lifeskills Center,4324383840,,5.0,5,3,Midland,TX,GMT-06:00 US/Central (CST),Marriage counselor
Marriage and Family Counseling,6619480871,,,0,116,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Marriage counselor
"Ms. (N.) Fidelis Garcia: Marriage & Family Therapist, Registered Play Therapist",9512885632,,5.0,2,115,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Marriage counselor
Steve Whiting,3108821211,,5.0,1,111,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Marriage counselor
"Elizabeth Sanchez, Marriage and Family Therapist Registered Intern (IMF87767)",9097031921,,,0,106,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Marriage counselor
"Brittney Hardy, LMFT",4422428177,,,0,105,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Marriage counselor
Jim Rogers,7609616118,,,0,90,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Marriage counselor
"Cross Cultural Marriage & Family Therapy Counselling Center, Inc",5628461269,,5.0,2,85,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Marriage counselor
"Annette A. Jenkins, LMFT",9098738363,,5.0,3,78,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Marriage counselor
High Desert Counseling,7609523454,,5.0,1,71,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Marriage counselor
"Maria Savala-Mahany, LMFT",7602416666,,,0,63,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Marriage counselor
Valenzuela Mental Health Services (Therapy & Medication Management),7606695297,,5.0,5,62,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Marriage counselor
Counseling Is Key Teletherapy,7606956006,,,0,61,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Marriage counselor
Marriage Masters VV,9092765828,,,0,59,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Marriage counselor
Adam Chavez Mft,7602417311,,,0,56,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Marriage counselor
"Katrina Ramos, LMFT",7604833177,,,0,53,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Marriage counselor
Nicholas Joseph Fittante,4422554722,,1.0,1,52,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Marriage counselor
Innerpeace Therapy,4424381016,,,0,51,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Marriage counselor
Innerpeace Therapy,4424381025,,,0,50,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Marriage counselor
"Alfred C. Christensen Jr, LMFT",7602421600,,,0,49,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Marriage counselor
Hope4Humans,3477667591,,,0,47,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Marriage counselor
"Randall L. Burden, LMFT",9098163327,,,0,46,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Marriage counselor
"David Newman, LMFT",7609481890,,,0,44,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Marriage counselor
