company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
PURE NAIL BAR,(727) 873-7134,,4.5,73,112,,,,
Fantastic Nails,(813) 544-0041,,4.9,92,85,,,,
Express Nail,(813) 932-7609,,4.8,92,48,,,,
Tampa Nails,(813) 513-8600,,4.5,1,33,,,,
Meraki Nail Lounge,(727) 914-0100,,4.7,1,30,,,,
Bliss Nail Gibsonton by Sarah,(813) 666-7909,,4.6,1,24,,,,
AquaStone Nails & Spa 1,(727) 451-0900,,4.8,1,21,,,,
AquaStone Nails & Spa 1,(727) 451-0900,,4.8,1,20,,,,
Busch Nails and Lashes,(813) 999-9888,,4.9,1,17,,,,
Classy Nails Of Tampa,(813) 559-1445,,4.8,1,13,,,,
Hot Nails,(813) 898-2741,,3.7,89,12,,,,
Moc Nail Spa - Nontoxic | Organic,(727) 281-4381,,4.9,2,11,,,,
Lavue Nail Lounge,(727) 353-8888,,4.8,2,10,,,,
Tipped in Tampa Nail and Skin Bar,(813) 252-8058,,4.5,79,9,,,,
Volcano Nail Spa,(727) 319-6370,,4.9,1,8,,,,
Sweet Nail Spa,(813) 398-8858,,4.8,1,7,,,,
Nail Art & Spa,(727) 999-1581,,4.8,3,5,,,,
Nails by Lina,(727) 323-8692,,4.9,1,3,,,,
V Nail and Beauty Tampa,(813) 282-9730,,4.9,1,2,,,,
Garden Avenue Boutique - A Nail Salon,(727) 509-3099,,4.5,94,1,,,,
Greenwood Nails and Spa,(432) 247-1194,,4.1,57,119,,,,
Trinity Salon & Spa,(432) 222-4583,,4.6,5,118,,,,
Lemon and Velvet Salon,(432) 247-1034,,4.6,24,117,,,,
Vida Nails And Spa,(432) 614-0609,,4.4,90,116,,,,
D K Nails & Spa,(432) 366-0084,,4.2,94,113,,,,
Color Nails of Odessa,(432) 272-2525,,4.9,83,112,,,,
TSL SALON,(432) 694-2579,,4.3,24,111,,,,
PureBeautyDiana,(432) 703-4298,,5.0,3,108,,,,
Sola Salon Studios,(469) 321-6603,,4.3,6,107,,,,
Hola Bonita Midland,(432) 661-8959,,4.4,59,106,,,,
Star Nail & Spa,(432) 550-0350,,4.4,7,105,,,,
Salon 52,(432) 550-0288,,4.3,54,103,,,,
Ray-Clark Salon,(432) 697-1508,,4.1,13,102,,,,
Mmy Nails Studio (please call for availabilities / make reservation) ),(432) 231-3609,,4.4,39,99,,,,
Fancy Nails,(432) 362-2921,,4.2,53,92,,,,
Barry Morris Salon,(432) 570-7100,,5.0,24,91,,,,
Pro Nails,(432) 362-8989,,4.1,56,90,,,,
Dollnails,(432) 222-1790,,,0,89,,,,
Wynn Nails,(432) 363-3398,,3.6,65,88,,,,
Kilye’s Nalis,(432) 230-6203,,,0,87,,,,
Serenity Salon & Spa,(432) 570-5859,,4.5,33,85,,,,
Texas Nails Bar,(432) 272-6553,,4.6,98,84,,,,
Xlent Nails Salon,(432) 301-9898,,,0,81,,,,
LaDeboNa Salon and Dayspa,(432) 683-4171,,4.2,54,80,,,,
Sophsti-Cuts Salon,(432) 689-2887,,4.7,42,79,,,,
Us Nails,(432) 362-1717,,4.0,1,77,,,,
Kiikkis,(432) 352-8164,,,0,76,,,,
Unique Nails & Spa,(432) 362-1717,,4.8,1,74,,,,
A'RaeDidIt,(469) 693-1087,,,0,71,,,,
Shear Class Salon,(432) 278-8825,,5.0,1,68,,,,
Nailtiques & Spa,(432) 262-6620,,3.3,4,66,,,,
Gala Nails & Spa,(432) 699-8048,,2.9,33,65,,,,
Happy Nails,(432) 688-8818,,3.7,42,64,,,,
Sunny Natural Nails,(432) 218-6301,,5.0,9,63,,,,
Oasis Nails,(432) 682-4435,,3.3,70,61,,,,
"Regal Nails, Salon & Spa",(432) 694-6129,,3.5,42,60,,,,
Meraki Nail Bar,(432) 466-9903,,5.0,4,58,,,,
H2O Nails & Spa,(432) 689-2498,,3.7,38,57,,,,
Lili's Nails & Spa,(432) 272-0237,,3.9,70,56,,,,
Le Nail Salon,(432) 699-8808,,,0,55,,,,
Top Nail,(432) 218-6061,,4.0,27,54,,,,
James Russell Salon,(432) 559-6750,,5.0,2,53,,,,
House of nails Midland,(432) 999-1855,,5.0,8,52,,,,
Valley Nails and Spa,(432) 614-9909,,3.3,58,51,,,,
Lavender Nails Spa,(432) 704-5405,,3.7,76,47,,,,
Nail Port Express,(432) 684-6690,,3.9,33,46,,,,
Collagen Nails & Spa,(432) 684-9999,,4.0,82,45,,,,
Gossip Nails & Spa,(432) 488-7104,,4.2,56,44,,,,
KD Nails & Spa,(432) 247-5777,,4.0,61,43,,,,
Dv Nails & Spa,(432) 218-7756,,3.9,52,41,,,,
Serenity Nail & Spa,(432) 704-5296,,4.0,68,40,,,,
Gravity Nails - Lash & Spa,(432) 689-3546,,4.6,62,39,,,,
Vip Nails,(432) 684-3799,,4.2,94,38,,,,
DIVA NAILS & SPA,(432) 699-5454,,4.1,86,37,,,,
Luxury Nail Spa!,(432) 247-1519,,4.0,84,36,,,,
Lang Nails & Spa,(432) 520-8786,,4.0,86,35,,,,
Royal Nails Spa,(432) 242-1226,,4.3,45,33,,,,
I Love Nails and Spa,(432) 684-9920,,4.2,86,31,,,,
Diamond Nails & Spa,(432) 699-2595,,4.1,83,27,,,,
VII Beauty Lounge,(432) 389-6868,,4.8,80,25,,,,
Magic Nails & Spa,(432) 699-8808,,4.6,87,24,,,,
Signature Nail Bar,(432) 258-4729,,4.5,52,23,,,,
Allure Nails and Spa,(432) 699-1617,,4.6,100,20,,,,
Prestige Nail Lounge,(432) 218-8923,,4.7,35,17,,,,
Sky Nail Lounge,(432) 203-7117,,4.3,86,16,,,,
J&J Nails & Spa,(432) 218-7760,,5.0,18,15,,,,
Amado's Salon,(432) 618-9840,,4.5,13,14,,,,
Shine Nails & Spa,(432) 699-8048,,5.0,23,10,,,,
B. Nicole Studios Nail Salon,(760) 752-5550,,5.0,22,120,,,,
Genesis & Co,(760) 881-1818,,4.6,32,117,,,,
Doin2much,(760) 552-0286,,,0,116,,,,
Deez_Nailzzz,(760) 954-8219,,,0,115,,,,
369Nails,(760) 221-6597,,,0,114,,,,
Nails By Shaayy,(323) 506-4670,,,0,113,,,,
Hill Top Salon & Barber Spring Valley Lake,(442) 229-2121,,4.6,34,111,,,,
Ebdekan,(626) 739-0903,,5.0,16,109,,,,
Arlette Salon And Beauty,(760) 524-1561,,4.7,34,106,,,,
#1 Time Nail supply & Nails,(442) 280-5293,,5.0,4,105,,,,
Bellezza Hair & Nail Studio,(760) 218-7399,,4.6,93,104,,,,
Mimi’s Eye Candy Nail Salon,(661) 470-5348,,,0,103,,,,
Magic nails,(760) 244-8305,,4.0,67,102,,,,
Vanity Salon & Barbershop,(760) 946-0777,,4.3,72,101,,,,
Studio N Salon,(760) 881-0274,,5.0,5,100,,,,
Hair Precinct,(760) 243-1600,,4.4,67,99,,,,
Diana Andrade Nails,(909) 244-6356,,5.0,15,98,,,,
Love Beauty Lounge & Suites,(760) 694-6095,,5.0,30,97,,,,
Alpha Brush,(760) 947-1354,,,0,95,,,,
Bella Mia Salon,(760) 947-2712,,4.7,44,94,,,,
City Nails,(760) 467-0986,,5.0,4,93,,,,
Kimberly Nail & Spa,(760) 948-2858,,3.3,86,92,,,,
Hair & Nail Republic,(760) 981-4600,,4.5,70,91,,,,
A Wild Rose Salon and Spa,(760) 868-1878,,4.7,92,90,,,,
Fancy Nails,(760) 947-7555,,4.5,68,89,,,,
Color Worx Hair and Nail Design,(760) 242-7672,,4.9,31,88,,,,
NailArts By Leila,(442) 414-3655,,5.0,6,87,,,,
I Love Nails Salon,(442) 229-2176,,4.5,8,86,,,,
Harmony Nails and Spa,(760) 530-9900,,3.2,32,85,,,,
Tin Kitten Beauty Bar,(760) 221-2705,,4.9,65,84,,,,
Enter Nail Spa,(760) 241-8389,,3.1,55,83,,,,
Mars Nail Bar,(760) 905-7123,,5.0,1,82,,,,
Blossomed Beauty Lounge,(760) 983-5025,,5.0,18,81,,,,
Le Posh Nails & Spa,(760) 949-2299,,4.6,39,80,,,,
Nails By Helen,(760) 241-2277,,5.0,7,79,,,,
SM Spa Nail & Hair,(760) 952-1716,,3.3,89,78,,,,
Crystal's Nails & Spa,(760) 998-3535,,4.7,81,77,,,,
Talking Heads Hair & Nail Salon,(442) 242-2317,,4.5,29,76,,,,
Nails By Orientals,(760) 956-7527,,3.8,47,75,,,,
Beautybypolly,(909) 543-8464,,5.0,12,74,,,,
Apple valley nails,(760) 242-2938,,3.8,23,72,,,,
Studio Nails,(760) 949-5541,,4.2,29,70,,,,
Sky Nails,(760) 244-6657,,4.0,69,69,,,,
Darval Beauty,(760) 530-8499,,5.0,11,67,,,,
i Nails Spa,(760) 998-5140,,5.0,5,65,,,,
Eagle Nails & Spa NA,(760) 955-6438,,3.3,88,64,,,,
Gotcha Nail Spa,(760) 991-6688,,4.0,87,63,,,,
Excellence Nails - Nails Salon in Victorville,(760) 951-9909,,4.6,20,62,,,,
Shanelle’s Nails,(760) 684-3615,,4.0,2,60,,,,
Lilly's Nails,(760) 998-2228,,4.6,29,59,,,,
Time For Nails & Spa,(442) 800-5176,,4.7,24,57,,,,
Super Hot Nails & Spa,(760) 242-1464,,4.1,54,55,,,,
Fabulous Nails,(760) 669-0891,,4.5,46,54,,,,
Rizo Nails & Beauty Salon,(442) 255-4053,,5.0,13,48,,,,
Chip-N-Nails,(760) 952-2003,,4.3,36,47,,,,
Jasmine Nails Spa,(760) 596-3307,,4.1,99,45,,,,
TQ Nail Salon,(760) 995-4495,,4.7,70,41,,,,
Nail Bar & Spa,(760) 947-0500,,3.8,84,37,,,,
All Star Nails & Spa,(760) 503-1141,,5.0,24,34,,,,
#1 Nail Spa,(760) 666-9666,,4.6,34,33,,,,
Classic Nails,(760) 955-9995,,4.5,82,24,,,,
First Nails,(760) 961-1813,,4.8,46,22,,,,
Royal Nails Spa,(760) 241-8389,,4.9,51,17,,,,
Luxe Nail Bar,(760) 613-1537,,4.8,20,15,,,,
