company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Teddy Sherrie D OD,7273722020,,5.0,5,119,Tampa,FL,GMT-05:00 America/New_York (EST),Optometrist
Leslie R. Alonzo III O.D.,8136811122,,5.0,4,97,Tampa,FL,GMT-05:00 America/New_York (EST),Optometrist
Anthony Valenti,8139943931,,5.0,5,87,Tampa,FL,GMT-05:00 America/New_York (EST),Optometrist
Dr. Angie Pei,8139021710,,4.9,31,80,Tampa,FL,GMT-05:00 America/New_York (EST),Optometrist
"Dane Kuplicki, O.D.",7278247134,,5.0,5,37,Tampa,FL,GMT-05:00 America/New_York (EST),Optometrist
"Russell D. Subia, OD",4323333937,,1.9,18,85,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Lassa Optical Co Inc,4323320717,,2.9,54,84,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
"Lawrence D. Lassa, OD",4323329920,,3.6,23,83,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Miller Charles MD,4323677241,,,0,82,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Eyes of Texas Clinic,4323677241,,1.0,1,81,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Schitoskey & Morales,4323639974,,,0,74,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
"Dr. Francisco J. Morales, OD",4323639974,,2.7,73,69,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Simona Selegean OD,4323620352,,4.2,13,62,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Stanton Optical,4322073748,,4.0,1,61,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Southwest Retina Eye Center,4326892940,,,0,57,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Michael Pawlowski,4326945259,,,0,55,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
"Samuel Canon, O.D.",4325209720,,,0,54,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Vision Media,4323662228,,,0,53,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
"Ralph Cockrell, OD",4325209720,,,0,51,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
"Norman Gould, OD",4326942051,,,0,50,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Smith Alan D MD,4325209720,,,0,49,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
"Maria G. Ceballos, OD",4326940999,,,0,47,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Dr. Sriyuta Thota,+12326956259,,,0,46,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Hardaway Optical & Rayban Shop,4325706900,,5.0,11,45,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Heather Kern Golson,4326847287,,,0,44,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Gray & Ray,4326991300,,,0,43,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Mark,3104033147,,,0,42,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Primary Eye Care,4326998555,,,0,36,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
Eyes of Texas Clinic,4325209720,,,0,28,Midland,TX,GMT-06:00 US/Central (CST),Optometrist
