company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Tampa Event Planners,8137104022,,,0,119,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Let’s Go Party Tampa Bay Events,8182945833,,1.0,1,117,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Cherry Berry's Picnics,7272166031,,4.6,9,114,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Event 2 Remember,8137163607,,,0,113,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
"Suit Up Entertainment, LLC",7165252467,,5.0,1,109,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Blended Vision Event Group,8135639318,,5.0,7,107,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Teresa's lowcost party rental,8135622835,,4.3,6,106,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Event Planner Fashion,8632367156,,,0,105,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Full Circle Event Planning and Rentals,9375545356,,,0,98,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Sb event planning & decor,8133301155,,5.0,1,96,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Arista Entertainment,7274913916,,5.0,7,94,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
TMR Event Planning LLC.,7272806890,,5.0,1,90,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Stylish Traditions Wedding and Event Design,7277681179,,5.0,3,86,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Cook Event Planning LLC,7276561033,,5.0,6,85,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Dream Events & Party Planning,7278738702,,,0,82,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
angela fabulous events,9176237908,,5.0,1,79,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Maxx Events & Studio,8135535378,,5.0,6,78,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
The Tea Party Company,7272652915,,4.8,6,77,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
GIGI'S Catering & Event Planning LLC,7272512781,,5.0,3,75,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Mike A Jones,8136254564,,5.0,10,72,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Yamileth Event Management,8133527043,,4.3,3,69,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Antonio Valencia,8132031996,,5.0,3,68,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Liz Kamali Events,6467256796,,5.0,12,55,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Angel Touch Designs,6619411573,,5.0,15,53,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Oh Hello Events,3522638280,,4.9,10,49,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Sb Event Planning and Decor,8133301155,,5.0,10,48,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Vendy Rios,7274816527,,5.0,6,45,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Letha’s Event Creations,8137633367,,3.7,3,44,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Island Kisses Event Planner,7272282012,,5.0,1,42,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
A Linen Valley/Altitude Event Design and Decor,7275413529,,4.4,16,38,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
The Event Planners of Tampa,8139247512,,4.0,5,34,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Famtastic Affairs,8132703018,,5.0,10,30,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Essential Events,8134482307,,5.0,2,29,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Party Like Royalty,8139003873,,5.0,5,25,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
Alexa Kritis Events,7543331788,,5.0,49,9,Tampa,FL,GMT-05:00 America/New_York (EST),Party planner
BakeNBite,3473463773,,4.9,58,54,Midland,TX,GMT-06:00 US/Central (CST),Party planner
Posh Picnics,9795577360,,,0,52,Midland,TX,GMT-06:00 US/Central (CST),Party planner
BB & CC's Here For You,4328532215,,5.0,1,51,Midland,TX,GMT-06:00 US/Central (CST),Party planner
Meraki picnics,4328889059,,,0,49,Midland,TX,GMT-06:00 US/Central (CST),Party planner
V&N Luxury Eventing and Rentals,4322875775,,5.0,1,48,Midland,TX,GMT-06:00 US/Central (CST),Party planner
Synsational weddings,5414155530,,,0,45,Midland,TX,GMT-06:00 US/Central (CST),Party planner
Little Ranch Party Place,4329242996,,4.7,26,44,Midland,TX,GMT-06:00 US/Central (CST),Party planner
Fiesta Max,4322381455,,,0,42,Midland,TX,GMT-06:00 US/Central (CST),Party planner
Aby's Decor and More,4322729987,,,0,39,Midland,TX,GMT-06:00 US/Central (CST),Party planner
Party Palace,4325308386,,4.4,49,35,Midland,TX,GMT-06:00 US/Central (CST),Party planner
Bloom Wiser Productions,4329998548,,5.0,2,33,Midland,TX,GMT-06:00 US/Central (CST),Party planner
Glorious Events,4329787606,,5.0,2,29,Midland,TX,GMT-06:00 US/Central (CST),Party planner
Class Act Event Venue,4328940370,,4.7,39,27,Midland,TX,GMT-06:00 US/Central (CST),Party planner
Defining Moments,4323635396,,2.0,1,25,Midland,TX,GMT-06:00 US/Central (CST),Party planner
LandMARQ Marquee Letters,8175046412,,,0,23,Midland,TX,GMT-06:00 US/Central (CST),Party planner
Reveille Events,2817703456,,,0,19,Midland,TX,GMT-06:00 US/Central (CST),Party planner
Flippen Bounce,4322962008,,4.5,2,18,Midland,TX,GMT-06:00 US/Central (CST),Party planner
"Dream Catcher Party Decor, LLC",7063586092,,,0,16,Midland,TX,GMT-06:00 US/Central (CST),Party planner
LarryDee Events Management,4047979200,,5.0,1,11,Midland,TX,GMT-06:00 US/Central (CST),Party planner
Ultimate Needs,4324256856,,,0,10,Midland,TX,GMT-06:00 US/Central (CST),Party planner
Yasmin's Creations,4328804420,,1.0,1,7,Midland,TX,GMT-06:00 US/Central (CST),Party planner
The Confetti Collective,4694323660,,,0,6,Midland,TX,GMT-06:00 US/Central (CST),Party planner
Bubbles Event Planning & Rentals,4322544704,,4.1,14,4,Midland,TX,GMT-06:00 US/Central (CST),Party planner
Grace Alvar Decor LLC,4328881883,,5.0,7,2,Midland,TX,GMT-06:00 US/Central (CST),Party planner
Party Affair Event Planner,9092936550,,3.7,3,110,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Party planner
Plan Create Party,5623354945,,,0,99,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Party planner
Sha’Ron Bouncer’s and Event Planner,5625354019,,,0,95,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Party planner
