company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
pet. Boarding,(727) 461-4393,,,0,117,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
A Loving Care Pet Sitting & Dog Walking,(727) 457-5228,,4.7,3,114,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Comforts of Home Pet Care,(727) 771-0776,,4.8,57,113,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
"Pete's Perfect Pet Care, LLC",(727) 742-2599,,4.8,25,112,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Puppy Sitters of South Tampa,(305) 336-1624,,5.0,30,111,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Farley Pet Care,(727) 248-0742,,5.0,38,110,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Paw prints boarding and daycare,(562) 646-2666,,5.0,1,109,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
BaysideWalkers Professional Pet Care,(309) 883-1938,,5.0,11,108,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Bayside Bark and Stay Pet Sitting,(813) 585-0222,,5.0,9,106,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Wiggle Butts,(813) 758-6574,,3.8,10,103,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
ABCK9s Pet Services,(813) 841-4512,,4.5,18,102,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Beach Buddies Pet Sitting,(727) 314-5534,,5.0,21,99,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Carla Channell DVM,(727) 846-8899,,4.6,49,97,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Quail Hollow Animal Hospital,(813) 973-3010,,4.8,1,96,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
K9 Adventures Trinity,(727) 375-9995,,3.8,70,95,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Wags and Wiggles Pet Sitting,(813) 269-7387,,4.4,14,94,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Sit & Stay Pet Hotel,(727) 423-4997,,4.3,3,93,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
"Your Puppy, My Pad",(813) 833-7449,,4.9,37,92,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Poderosen pet resort,(813) 368-4369,,5.0,5,91,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
"The Doghouse, LLC",(727) 201-9790,,4.8,90,85,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Marina District Pet Care,(813) 420-2591,,4.7,38,84,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
KETCH Dog Care,(813) 920-9191,,4.6,66,83,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Pet Nanny Service,(727) 204-0551,,5.0,93,81,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Groomingdales Bed & Biscuit,(813) 792-0008,,4.6,54,78,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Bamboo Pet Sitting - Need A Pet Sitter,(813) 508-7387,,5.0,14,77,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Designer Pet Care,(813) 737-1183,,4.4,10,76,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
"Tiny Paws Doggy Daycare ""The BEST Place for Small Dogs!""",(727) 238-3831,,5.0,42,75,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Woof Happens,(813) 851-9663,,5.0,32,74,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Pilar's Pet Resort,(813) 241-1408,,4.2,47,73,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Dogs R Us Hotel,(727) 937-0491,,4.6,26,69,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Bark Place Hotel & Pet Grooming,(727) 585-5880,,4.3,23,66,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Oaklane Kennels Inc,(813) 689-4043,,4.5,85,63,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Happy Tails Pet Resort,(813) 758-2393,,4.1,11,62,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Camp Salty Dog,(727) 388-4246,,4.1,44,60,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Parwick Kennels,(813) 949-1687,,4.6,34,58,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Prestige Pet Care,(727) 483-1983,,4.5,76,53,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
4 Paws Playhouse,(727) 542-0669,,5.0,21,50,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Keystone Kennels,(727) 934-3438,,4.5,51,49,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Cozy Cat Inn,(727) 940-2208,,5.0,44,47,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
Water Bowl Oasis LLC Dog Boarding & Daycare,(727) 946-0731,,4.8,58,44,Tampa,FL,GMT-05:00 America/New_York (EST),Pet boarding
