company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
PetSmart Dog Training,8132629912,,5.0,4,114,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
PetSmart Dog Training,8136894814,,5.0,2,109,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
PetSmart Dog Training,7277993311,,5.0,1,108,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
Zenith Dog Training,5034795814,,5.0,12,107,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
The Dog Wizard - Riverview,7733554433,,5.0,14,102,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
Oakhurst Obedience Classes,7275954038,,5.0,2,95,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
PetSmart Dog Training,7277253755,,4.5,16,92,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
PetSmart Dog Training,8139947010,,3.0,5,81,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
K9-Star Positive Training,7274211146,,5.0,10,78,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
PetSmart Dog Training,7273759973,,3.0,4,77,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
PetSmart Dog Training,8138759721,,3.8,4,66,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
PetSmart Dog Training,7274311991,,5.0,2,58,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
PetSmart Dog Training,8137036961,,4.7,3,55,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
PetSmart Dog Training,8135588160,,5.0,1,43,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
DogXcel,7278040713,,5.0,1,37,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
PetSmart Dog Training,8136893378,,4.3,21,32,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
The Island Dog Academy Tampa Bay,8136134971,,5.0,9,30,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
Florida Dog Training School,8138150364,,4.9,30,28,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
Maligators Dog Training,7273782220,,4.9,61,22,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
WolfHaus K9,3523881421,,4.6,57,10,Tampa,FL,GMT-05:00 America/New_York (EST),Pet trainers
Designer Dog Training,4322380221,,,0,19,Midland,TX,GMT-06:00 US/Central (CST),Pet trainers
Yellow Dog Training & Services Inc.,4326644856,,,0,14,Midland,TX,GMT-06:00 US/Central (CST),Pet trainers
PetSmart Grooming,4325203134,,4.7,19,13,Midland,TX,GMT-06:00 US/Central (CST),Pet trainers
PetSmart Dog Training,4323621614,,4.2,5,8,Midland,TX,GMT-06:00 US/Central (CST),Pet trainers
Designer Dog Training,4323012081,,5.0,2,7,Midland,TX,GMT-06:00 US/Central (CST),Pet trainers
PetSmart Dog Training,4325203134,,5.0,2,5,Midland,TX,GMT-06:00 US/Central (CST),Pet trainers
K9 Signals Pet Dog Trainers,9098002951,,,0,112,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Pet trainers
Thunder Sky Kennel,8053778035,,4.3,6,111,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Pet trainers
PetSmart Dog Training,6262843390,,3.7,9,102,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Pet trainers
PetSmart Veterinary Services - Victorville,7605312225,,3.5,12,101,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Pet trainers
PetSmart Dog Training,6263575615,,1.0,1,98,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Pet trainers
