company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Integrated Spine & Physical Therapy,8139945200,,4.9,66,118,Tampa,FL,GMT-05:00 America/New_York (EST),Physical therapy
Palm Harbor Physical Therapy,7277896008,,4.8,5,110,Tampa,FL,GMT-05:00 America/New_York (EST),Physical therapy
Anchored Physical Therapy,6025026762,,5.0,18,105,Tampa,FL,GMT-05:00 America/New_York (EST),Physical therapy
PT Solutions of Temple Terrace,8135422605,,4.9,73,80,Tampa,FL,GMT-05:00 America/New_York (EST),Physical therapy
Therapy & Sports Center | Riverview,8133742209,,4.6,30,65,Tampa,FL,GMT-05:00 America/New_York (EST),Physical therapy
Premier Physical Therapy & Sports Performance (Inside Palm Harbor Strength & Conditioning),7278883908,,5.0,36,54,Tampa,FL,GMT-05:00 America/New_York (EST),Physical therapy
Dr. Scott’s Physical Therapy & Strength and Conditioning,8137289091,,5.0,1,18,Tampa,FL,GMT-05:00 America/New_York (EST),Physical therapy
"Karen W. Wheat, OT",4323358777,,,0,79,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Rheumatology Center,4322215560,,5.0,1,71,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Midland Arc,4326820098,,,0,70,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Bridges Behavioral Health,4326181824,,5.0,4,69,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Empower Physical Therapy & Wellness,4323634483,,,0,67,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
"Paula B. Diffie, PT",4323328244,,,0,65,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Multi Care Plus,4325803700,,5.0,2,64,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Midland Clinica Latina LLC,4322471260,,5.0,9,63,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
"Ida Mangrem, PTA",4325504700,,,0,61,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Panacore Corporation Postal Point,4325809933,,,0,59,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
"Chad Sandell, PTA",4325504700,,,0,57,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
West Texas Occupational Rehab,4326992106,,1.0,1,56,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
"Travis Clemmer, PTA",4325504700,,,0,55,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Odessa Spine & Sport Therapy,4325504520,,,0,48,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
"Christopher E. Baker, LPT",4325500422,,4.3,8,42,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
"Paula K. Elrod, LPT",4325508777,,5.0,1,41,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Northeast Physical Therapy,4323668653,,,0,37,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Optimus Physical Therapy,4325527034,,4.7,14,34,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Mannix Pt & Orthosport Specialists,4325527034,,5.0,1,33,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
West Rock Devonian,4326978320,,,0,32,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
"Chris Phillips, PT",4325708782,,,0,29,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Neuro Rehab & Lymph Care,4322620670,,,0,28,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Neuro Rehab & Lymph Care,4326892061,,,0,26,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
In Balance Learning Center,4326853556,,,0,21,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Permian Basin Therapy Pc,4326869819,,,0,20,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Permian Basin Hand Therapy,4326890907,,5.0,1,14,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
West Texas Therapy,4322214915,,4.5,10,13,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Optimus Physical Therapy,4325205600,,4.5,8,11,Midland,TX,GMT-06:00 US/Central (CST),Physical therapy
Hudson & Walker Physical Therapy,7602569243,,,0,120,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Eastwest Physical Therapy,9096262220,,5.0,4,117,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Redlands Physical Therapy,9092551694,,5.0,6,114,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Excel Physical Therapy,9098829822,,4.3,16,113,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
"Jacqueline Randa, PT",7602562800,,,0,111,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Movement Recentered Physical Therapy,9512083636,,5.0,2,107,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
La Verne Physical Therapy,9095969696,,4.7,14,105,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Hudson & Walker Physical Therapy,9098861212,,4.5,11,96,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
California Rehabilitation and Sports Therapy - Baldwin Park,6264302300,,4.9,89,89,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
"Good Family Physical Therapy, Inc.",9095281687,,4.0,1,85,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Total Care Physical Therapy Inc.,9098835069,,4.8,99,77,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
"Sobador Terapeuta, Masajista Terapeuta en Fontana, CA",9519630561,,,0,71,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Med Pro Services,7609492969,,2.0,12,64,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Desert Knolls Convalescent,7602456477,,2.7,7,62,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Puri Oethopedic,7602437715,,,0,61,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Better Health Acupuncture,7602418229,,5.0,2,59,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
"Kemp Individual & Family Therapy, Inc.",7608100000,,4.0,4,57,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Industrial Medical Services,7609514811,,3.2,9,52,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
"Anna J. Kaufer, PTA",6615996618,,,0,41,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Schulke Josephine Q,7602447999,,,0,33,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
"Yvette B. Sardillo, PT",7602458828,,,0,29,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
SnowView Physical Therapy,7608680800,,,0,28,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Kiteley Karen,7602453769,,,0,27,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Hands on physical therapy,4425334150,,,0,26,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Physical Electronics,5622199489,,,0,22,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Wimbledon Park Physical,7609519702,,,0,21,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
"Anna M. Hernandez, RPT",7608430895,,,0,20,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Chaparral Pt & Sports Med: Gage Lisa,7602444288,,4.0,1,19,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Matthew Danneker,7605035455,,5.0,1,16,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Elite physical therapy,7605522350,,,0,14,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Tri Cities Physical Therapy & Orthopedic Rehab Corp.,7609462165,,3.9,12,13,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Apple Valley Physical Therapy,7602427702,,4.7,13,5,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Physical Therapy Concierge Service,3104903848,,,0,120,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Underhill Jay S,3105434727,,,0,113,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
"Lauren A. Kielty, PT",3105398800,,,0,112,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Community Physical Therapy Center,3106318703,,4.0,1,100,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
LCM Physical Therapy,3103035812,,1.0,1,98,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
The Physical Therapy & Movement Center,3104120100,,,0,94,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Sunshine Rehabilitation Center,3103264070,,4.5,2,93,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
MWB Physical Therapy,3106861915,,,0,91,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Malakas Physical Therapy,3109382282,,5.0,5,90,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Evolution Sports Medicine,3107914040,,4.8,5,89,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Pacific Sports Pain Orthopedic,3103162368,,1.0,1,84,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
South Pacific Rehabilitation,3103716947,,,0,82,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
"Michael T. O'donnell, DPT",3105471850,,5.0,1,79,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Play Physical Therapy,3106433400,,5.0,1,70,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Western Physical Therapy,3107823330,,5.0,1,68,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
"Jennifer Gabelsberg, MPT",3103701200,,5.0,1,67,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
SMAC / rebab X,3103728551,,5.0,9,65,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Physio Mind Physical Therapy,3108029448,,5.0,10,61,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Palos Verdes Physical Therapy,3105480104,,5.0,1,60,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
MOXIE Physical Therapy and Sports Performance,5622316341,,5.0,26,58,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
West Coast Sports Physical Therapy,3104169777,,5.0,3,54,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
Joseph Chan Physical Therapy,3106700116,,5.0,1,53,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
"Core Objectives Physical Therapy, Inc.",3103741614,,5.0,2,39,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
"Sophia Perez, PTA",7148706116,,,0,117,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
N.A.K. Health Center,5628680100,,,0,116,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Physical therapy
