company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Mr. Plumber Tampa,8134924667,,5.0,1,111,Tampa,FL,GMT-05:00 America/New_York (EST),Plumber
R G's Plumbing Inc,7275253368,,4.3,11,110,Tampa,FL,GMT-05:00 America/New_York (EST),Plumber
Tom Green Plumbing Inc,7275969900,,4.5,16,104,Tampa,FL,GMT-05:00 America/New_York (EST),Plumber
Lynch Plumbing Inc,7277855500,,4.0,24,97,Tampa,FL,GMT-05:00 America/New_York (EST),Plumber
Coggins Plumbing,8136513777,,4.6,18,93,Tampa,FL,GMT-05:00 America/New_York (EST),Plumber
Bel-Mar Plumbing Inc,8138391183,,4.6,21,91,Tampa,FL,GMT-05:00 America/New_York (EST),Plumber
On Time Plumbing Services,8138670300,,4.0,21,88,Tampa,FL,GMT-05:00 America/New_York (EST),Plumber
Brandon Speedy Home Plumbing,8137104519,,4.6,23,85,Tampa,FL,GMT-05:00 America/New_York (EST),Plumber
Professional Plumbing Solutions Inc.,7278249999,,4.0,20,81,Tampa,FL,GMT-05:00 America/New_York (EST),Plumber
CM Plumbing,8139600133,,4.4,11,80,Tampa,FL,GMT-05:00 America/New_York (EST),Plumber
911 Plumbing,8134286713,,4.8,21,79,Tampa,FL,GMT-05:00 America/New_York (EST),Plumber
Wallace Plumbing LLC,7274031557,,5.0,32,78,Tampa,FL,GMT-05:00 America/New_York (EST),Plumber
Dan Driver Plumbing,7275304099,,4.8,31,77,Tampa,FL,GMT-05:00 America/New_York (EST),Plumber
Quick Commercial Plumbing,8134991180,,4.8,83,70,Tampa,FL,GMT-05:00 America/New_York (EST),Plumber
"ABC Plumbing, Air & Heat",8884659799,,4.6,2,60,Tampa,FL,GMT-05:00 America/New_York (EST),Plumber
Emergency Plumbing & Drain Services,7272430781,,4.8,95,53,Tampa,FL,GMT-05:00 America/New_York (EST),Plumber
Leland Plumbing Contractors,7273811111,,4.6,59,46,Tampa,FL,GMT-05:00 America/New_York (EST),Plumber
Darius & Sons Plumbing Contractors,8135925302,,4.7,50,41,Tampa,FL,GMT-05:00 America/New_York (EST),Plumber
Murray Brothers Plumbing,8135925048,,4.7,74,39,Tampa,FL,GMT-05:00 America/New_York (EST),Plumber
The Pink Plumber,7272227465,,4.7,1,32,Tampa,FL,GMT-05:00 America/New_York (EST),Plumber
Meyer Plumbing Service,3163043132,,5.0,9,113,Midland,TX,GMT-06:00 US/Central (CST),Plumber
On Time Experts,2816947946,,4.8,5,112,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Tony's Plumbing,4326312292,,3.7,3,111,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Simple Solutions Septic and Plumbing,4322881900,,3.7,6,110,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Graves Plumbing Heating & AC,4327562422,,4.1,7,109,Midland,TX,GMT-06:00 US/Central (CST),Plumber
G & L Plumbing Heating & AC,4325505333,,,0,108,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Mud Pump Maintenance Inc,4323620204,,1.0,1,106,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Reyes Remodeling,4329349674,,,0,105,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Cisco Plumbing,4322723315,,5.0,1,101,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Ferguson Plumbing Supply,4322767255,,5.0,3,100,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Tex-Med Plumbing & Medical Gas,4325800100,,,0,99,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Taylor Made Plumbing Company,4323522755,,4.1,9,95,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Budget Plumbing,4325303326,,2.6,9,93,Midland,TX,GMT-06:00 US/Central (CST),Plumber
All-Star Plumbing,4326147067,,3.5,2,91,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Reed Holt Inc,4322389281,,,0,90,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Maayla Plumbing Heating & Cooling,9155008577,,5.0,1,86,Midland,TX,GMT-06:00 US/Central (CST),Plumber
G & L Plumbing Heating & AC,4323376839,,5.0,2,85,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Agualawn Lawn Care & Sprinkler Service,4325705566,,5.0,1,84,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Plumbing Solutions,4325500123,,5.0,6,80,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Lehman Plumbing,4323670975,,,0,78,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Texas Directional Boring,8332187396,,,0,77,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Power Plumbing Heating & Air,4326832604,,,0,76,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Carrasco Plumbing,4323339908,,5.0,1,75,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Lehman Plumbing,4322725450,,,0,74,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Danny's Expert Plumbing,4323326692,,4.5,26,73,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Ben's AAA Sewer Rooter Vacuum,4323620276,,5.0,1,72,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Atlantis Plumbing & AC,4325207052,,,0,71,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Superior Plumbing,4326875905,,4.4,9,68,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Don's Plumbing,4323339826,,4.2,21,64,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Liberty Heating and Air Conditioning,4325539067,,3.3,6,63,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Bill's Plumbing & Fence,4326825157,,4.4,8,61,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Rainbow Plumbing,4323340508,,4.7,22,60,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Plumbing Pros,4322729097,,,0,58,Midland,TX,GMT-06:00 US/Central (CST),Plumber
Americool Plumbing Heating,4326826188,,5.0,1,55,Midland,TX,GMT-06:00 US/Central (CST),Plumber
