company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Bayshore Bronze,(815) 307-4911,,,0,120,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Nail Country and Tan Spa,(813) 994-4084,,3.0,68,119,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Avant-Garde Salon Suites,(727) 232-0098,,5.0,68,118,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Blushing Studios,(813) 516-2086,,4.7,13,113,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Let's Glow Girls LLC,(727) 274-8607,,5.0,3,109,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Ed Hardy Tanning,(877) 215-5335,,,0,107,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Sunless Sun Tanning,(727) 537-0256,,,0,106,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Get Glowing Spray Tanning,(813) 402-8098,,5.0,6,105,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Vita Beauty Studio,(813) 464-9221,,4.8,42,103,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Soleil Studio,(813) 825-4577,,,0,102,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Planet Fitness,(727) 201-8392,,4.4,1,101,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Planet Fitness,(813) 575-2757,,4.4,1,100,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
"The Bronze Age, LLC",(813) 781-9360,,5.0,1,99,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Beettan Palm Harbor,(727) 244-1164,,,0,98,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
SKIN By Emma Grace,(813) 360-5278,,5.0,22,96,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Secret Glow by Elaine,(240) 481-9945,,5.0,1,95,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Sunkissed Tanning Salon,(813) 475-4949,,,0,94,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Biddiscombetan,(727) 288-7079,,,0,93,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Lilla's Toys,(508) 217-7822,,,0,92,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Sunshine Bunz,(813) 517-5866,,5.0,2,91,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Ombré Tans,(813) 469-6808,,5.0,9,89,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Lisa's Tanning Studio,(727) 222-8814,,,0,87,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Crunch Fitness - Hillsborough,(813) 605-2500,,4.1,1,86,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Coastal Glow Studio,(813) 563-1349,,5.0,1,85,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Spray Tan Pros,(727) 231-0103,,,0,82,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Spray Tanning By Fallon,(727) 480-8094,,4.6,37,81,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Coastal Glow Studio,(813) 563-1349,,5.0,3,80,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Crunch Fitness - Land O'Lakes,(813) 491-7003,,4.4,1,79,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Authentic Airbrush,(727) 488-3532,,5.0,10,78,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Kiki Tans Tampa,(813) 362-1117,,5.0,2,77,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Apollo Beach Massage & Tan,(656) 213-8047,,5.0,58,75,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Graceful Touch by Sloan,(813) 393-6417,,4.8,25,74,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
BeetTan Organic SprayTan,(678) 877-1444,,4.0,4,73,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Zoom Tan,(813) 697-1892,,4.3,6,72,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Goldilocks Tans,(813) 498-9246,,5.0,11,71,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Coconutz Tanning Salon,(252) 808-0383,,,0,69,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Glowchè,(727) 768-7947,,5.0,13,68,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Beach Bum Club Tans,(727) 364-4263,,5.0,18,67,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
Raydiant Goddess,(813) 454-1617,,5.0,16,66,Tampa,FL,GMT-05:00 America/New_York (EST),Tanning salon
