company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Healing With Jas LLC- Mental Health Therapy Services,8134060921,,5.0,6,119,Tampa,FL,GMT-05:00 America/New_York (EST),Therapist
"Dr. Richard Cipriano, Clinical Psychologist",8133808928,,3.7,3,112,Tampa,FL,GMT-05:00 America/New_York (EST),Therapist
Patricia Casamo LCSW,9085917423,,5.0,9,109,Tampa,FL,GMT-05:00 America/New_York (EST),Therapist
Tampa Mental Health Therapist,8132053490,,1.0,1,104,Tampa,FL,GMT-05:00 America/New_York (EST),Therapist
Ellie Mental Health,7275132962,,5.0,23,102,Tampa,FL,GMT-05:00 America/New_York (EST),Therapist
Ellie Mental Health,7275132962,,5.0,23,101,Tampa,FL,GMT-05:00 America/New_York (EST),Therapist
Affordable Counseling Center Florida,8132441251,,5.0,1,99,Tampa,FL,GMT-05:00 America/New_York (EST),Therapist
Tampa Bay Counseling Associates Inc,8139356060,,4.0,5,91,Tampa,FL,GMT-05:00 America/New_York (EST),Therapist
"St. Petersburg Counseling | Marriage, Family, & Individual Counseling",7275652808,,5.0,27,37,Tampa,FL,GMT-05:00 America/New_York (EST),Therapist
Be Your Best Self & Thrive Counseling,7275135932,,4.9,29,36,Tampa,FL,GMT-05:00 America/New_York (EST),Therapist
Crudup Psychological Services,3862439220,,5.0,12,33,Tampa,FL,GMT-05:00 America/New_York (EST),Therapist
"James H. Pollard, OTR",4325635707,,,0,119,Midland,TX,GMT-06:00 US/Central (CST),Therapist
Heal The Way Neuromuscular Massage Therapy,4329946131,,,0,116,Midland,TX,GMT-06:00 US/Central (CST),Therapist
Permian Psychiatry,4323331333,,1.7,6,115,Midland,TX,GMT-06:00 US/Central (CST),Therapist
Optimus Physical Therapy,4325205600,,4.5,8,111,Midland,TX,GMT-06:00 US/Central (CST),Therapist
"Anna M. Carrillo, RPT-S",4328533645,,5.0,3,102,Midland,TX,GMT-06:00 US/Central (CST),Therapist
Neuro Rehab & Lymph Care,4322620670,,,0,101,Midland,TX,GMT-06:00 US/Central (CST),Therapist
James L May Lmft,4326850737,,,0,98,Midland,TX,GMT-06:00 US/Central (CST),Therapist
Guyton Teresa,4326209450,,,0,96,Midland,TX,GMT-06:00 US/Central (CST),Therapist
Ketamine Clinic of West Texas,4325357418,,4.9,32,95,Midland,TX,GMT-06:00 US/Central (CST),Therapist
Faudree Kerry,4326823179,,,0,94,Midland,TX,GMT-06:00 US/Central (CST),Therapist
"Teresa Valero, Licenced Professional Counselor",4329672330,,5.0,2,93,Midland,TX,GMT-06:00 US/Central (CST),Therapist
"Charles N. Silverman, Masters",4326822925,,,0,92,Midland,TX,GMT-06:00 US/Central (CST),Therapist
