company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Scotty's Tire Inc,(813) 756-6150,,4.6,91,120,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
Interstate Mobile Commercial Tires Service and Road Service Semi Tires,(813) 684-9294,,,0,111,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
MZ Tire Services,(813) 900-5946,,5.0,1,109,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
Express Oil Change & Tire Engineers,(813) 499-9606,,4.9,1,107,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
C & E Tire and Auto Service,(727) 596-9551,,4.2,79,101,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
Tampa Tires and Wheels & Roadside Assistance.,(813) 397-9445,,4.9,1,97,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
Express Oil Change & Tire Engineers,(813) 681-5152,,4.9,1,82,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
Pit Crew Tire Service inc,(727) 748-2739,,4.9,94,80,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
Barrios Tires & Brakes,(813) 802-2141,,4.9,60,77,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
Mavis Tires & Brakes,(727) 304-1521,,4.6,1,75,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
Chino's Tire,(813) 374-2849,,4.6,75,74,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
Five Star Tires,(727) 289-2678,,4.2,75,73,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
Mavis Tires & Brakes,(813) 445-6447,,4.5,1,71,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
Tampa Auto Service & Tire,(813) 500-9948,,4.7,51,68,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
"Monzon Tires & Repair, Inc.",(813) 927-2740,,4.9,58,66,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
Mavis Tires & Brakes,(813) 708-9704,,4.8,1,58,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
Mavis Tires & Brakes,(813) 445-6406,,4.8,1,52,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
Mavis Tires & Brakes,(727) 371-0908,,4.7,1,49,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
Mavis Tires & Brakes,(813) 445-6439,,4.6,1,44,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
Mavis Tires & Brakes,(813) 445-6453,,4.6,1,43,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
Mavis Tires & Brakes,(727) 371-0030,,4.5,1,40,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
Mavis Tires & Brakes,(813) 750-7764,,4.7,1,37,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
Mavis Tires & Brakes,(727) 371-0838,,4.7,1,30,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
Tire Choice Auto Service Centers,(656) 212-0364,,4.3,1,29,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
Mavis Tires & Brakes,(727) 371-0898,,4.9,1,28,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
Mavis Tires & Brakes,(727) 371-0954,,4.8,1,24,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
Diamond Mobile Commercial Tires Road Service,(727) 293-5188,,5.0,3,19,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
Tire Choice Auto Service Centers,(727) 203-5419,,4.6,1,15,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
Sundown Mobile Commercial Tires And Road Service Semi Tires,(813) 820-4949,,4.7,3,12,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
All Tires & Auto Care,(813) 398-7811,,4.7,92,10,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
L & M Mobil 24 Hour Tire Service,(484) 545-1084,,5.0,1,7,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
Flatchasers Tire Service,(813) 927-2670,,5.0,4,4,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
L.R.S. mobile tire service LLC,(813) 525-4292,,4.9,32,3,Tampa,FL,GMT-05:00 America/New_York (EST),Tire service
Quick Tire Repair,(432) 334-8838,,4.4,63,119,Midland,TX,GMT-06:00 US/Central (CST),Tire service
Victor Tire Shop And Repair,(432) 202-9342,,4.7,17,117,Midland,TX,GMT-06:00 US/Central (CST),Tire service
West Texas Tire Center,(432) 333-1200,,4.4,67,116,Midland,TX,GMT-06:00 US/Central (CST),Tire service
Chuy's Tire Services,(970) 380-7515,,5.0,4,115,Midland,TX,GMT-06:00 US/Central (CST),Tire service
Azteca Tire Co.,(432) 653-4976,,4.2,51,114,Midland,TX,GMT-06:00 US/Central (CST),Tire service
SEG TIRES LLC,(432) 552-8403,,3.8,15,112,Midland,TX,GMT-06:00 US/Central (CST),Tire service
Luie's Wheels & Tire Shop,(432) 258-1170,,5.0,32,111,Midland,TX,GMT-06:00 US/Central (CST),Tire service
Honda Service Center,(432) 681-1400,,3.7,23,109,Midland,TX,GMT-06:00 US/Central (CST),Tire service
All American Chevrolet of Odessa Service Center,(432) 248-0898,,4.3,31,106,Midland,TX,GMT-06:00 US/Central (CST),Tire service
Watson's Automotive,(432) 683-1338,,4.8,28,105,Midland,TX,GMT-06:00 US/Central (CST),Tire service
Hillmont Truck & Trailer Repair,(432) 306-9130,,4.5,8,104,Midland,TX,GMT-06:00 US/Central (CST),Tire service
U.S. Tire Direct,(432) 901-7202,,,0,103,Midland,TX,GMT-06:00 US/Central (CST),Tire service
Tall City Diesel Services LLC,(940) 435-4925,,3.7,3,102,Midland,TX,GMT-06:00 US/Central (CST),Tire service
Aztec Tire Service,(432) 208-8004,,2.7,15,101,Midland,TX,GMT-06:00 US/Central (CST),Tire service
Best Buy tires and more,(432) 618-0639,,,0,98,Midland,TX,GMT-06:00 US/Central (CST),Tire service
Garcias Flats Fixed And Mechanic Service,(432) 438-5592,,4.8,18,97,Midland,TX,GMT-06:00 US/Central (CST),Tire service
Browns Automotive service and repair llc,(830) 765-0774,,5.0,1,96,Midland,TX,GMT-06:00 US/Central (CST),Tire service
Performance Auto Tire LLC,(432) 703-8676,,4.1,62,95,Midland,TX,GMT-06:00 US/Central (CST),Tire service
"AM PM Diesel Services, Inc",(281) 999-2676,,4.3,10,94,Midland,TX,GMT-06:00 US/Central (CST),Tire service
TCS Service Center,(432) 704-5028,,3.8,30,93,Midland,TX,GMT-06:00 US/Central (CST),Tire service
Midland Mobile Truck Repair,(432) 287-9358,,3.0,2,92,Midland,TX,GMT-06:00 US/Central (CST),Tire service
Littlefield Automotive,(432) 683-8611,,3.7,35,91,Midland,TX,GMT-06:00 US/Central (CST),Tire service
Chaparral Tire,(432) 582-2866,,4.3,99,90,Midland,TX,GMT-06:00 US/Central (CST),Tire service
Placencios road service,(432) 249-2035,,3.8,4,88,Midland,TX,GMT-06:00 US/Central (CST),Tire service
Tireworx Tire Pros,(432) 444-6144,,5.0,56,84,Midland,TX,GMT-06:00 US/Central (CST),Tire service
Sam's Club Tire & Battery,(432) 550-9191,,3.8,13,83,Midland,TX,GMT-06:00 US/Central (CST),Tire service
