company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Faza Martin J DVM,8139481460,,5.0,5,91,Tampa,FL,GMT-05:00 America/New_York (EST),Veterinarian
Lutz Veterinary Care,8135483647,,3.8,4,79,Tampa,FL,GMT-05:00 America/New_York (EST),Veterinarian
Veterinarian,8136510467,,4.7,6,64,Tampa,FL,GMT-05:00 America/New_York (EST),Veterinarian
Connechusett Animal Hospital: Wood Tricia DVM,7274463190,,4.5,11,55,Tampa,FL,GMT-05:00 America/New_York (EST),Veterinarian
Cross Creek Animal Medical Centre,8139946929,,4.9,95,25,Tampa,FL,GMT-05:00 America/New_York (EST),Veterinarian
Country Animal Clinic,8137523035,,4.9,49,13,Tampa,FL,GMT-05:00 America/New_York (EST),Veterinarian
COUNTRY VET SPAY/NEUTER CLINIC,4329403457,,4.5,37,29,Midland,TX,GMT-06:00 US/Central (CST),Veterinarian
Basin Veterinary Clinic,4325990581,,,0,21,Midland,TX,GMT-06:00 US/Central (CST),Veterinarian
Tindol Veterinary Services,4326868540,,3.2,6,20,Midland,TX,GMT-06:00 US/Central (CST),Veterinarian
Midland Equine Practice,4326851122,,3.0,4,15,Midland,TX,GMT-06:00 US/Central (CST),Veterinarian
Vallee Melissa DVM,4326874118,,5.0,3,14,Midland,TX,GMT-06:00 US/Central (CST),Veterinarian
Miller Mark J DVM,4326942537,,5.0,7,12,Midland,TX,GMT-06:00 US/Central (CST),Veterinarian
PetSmart Veterinary Services - Victorville,7605312225,,3.5,12,101,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Veterinarian
Animal Hospital Veterinarian,9098298840,,4.7,26,94,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Veterinarian
West Covina Pet Hospital,6263372023,,3.7,90,76,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Veterinarian
Chino Hills Animal Hospital & Pet Resort,9095911805,,4.6,1,55,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Veterinarian
Vetimage Inc,7609522091,,1.3,4,50,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Veterinarian
SoCal Equine Hospital- Apple Valley,7602474226,,4.7,71,29,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Veterinarian
Burgess Robert DVM,7602474226,,,0,28,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Veterinarian
Pet vet,4248779821,,,0,27,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Veterinarian
PetSmart Veterinary Services - Victorville,7605312225,,3.5,12,24,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Veterinarian
McMahon Nicole M DVM,7609481553,,3.0,6,17,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Veterinarian
St. Constantine & Hellen veterinary center,7606469007,,5.0,9,16,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Veterinarian
Velasco Joseph DVM,7602405228,,4.5,20,7,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Veterinarian
"All Paws Animal Clinic, Inc. Keith Dan, DVM",7609983133,,4.6,100,2,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Veterinarian
Veterinary Home Services,3103727258,,,0,112,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Veterinarian
Nestrick Valerie L DVM,3105341200,,,0,106,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Veterinarian
"Veterinary Cancer Group SB, A Thrive Pet Healthcare Partner",3106935890,,4.7,43,103,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Veterinarian
Mobile Pet Clinic,3109080510,,4.0,1,96,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Veterinarian
Boyle Jennifer DVM,3103716508,,,0,84,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Veterinarian
Pierson Lisa a DVM,3103752467,,5.0,3,79,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Veterinarian
"P.V. Village Pet Hospital, A Thrive Pet Healthcare Partner",3105432200,,4.5,47,36,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Veterinarian
Rose Slauson Animal Hospital,5628011273,,3.5,32,119,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Veterinarian
Tolentino Virgilio DVM,7148217821,,4.8,5,108,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Veterinarian
Kim S H DVM,5629410284,,,0,99,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Veterinarian
Mobile veterinary clinic,3109080510,,5.0,1,68,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Veterinarian
Kumar Devendra DVM,7149958033,,4.8,4,67,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Veterinarian
Mahmood Iqbal DVM,5628652677,,5.0,1,50,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Veterinarian
Veterinarian Group Anaheim,6573152424,,3.0,2,43,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Veterinarian
Mariela Pazos,7322213964,,,0,120,Lakewood,NJ,GMT-05:00 America/New_York (EST),Veterinarian
Freehold Animal Hospital: Sadowski Doreen DVM,7324620572,,4.5,2,100,Lakewood,NJ,GMT-05:00 America/New_York (EST),Veterinarian
Farmingdale Veterinary Clinic,7329384375,,3.7,6,95,Lakewood,NJ,GMT-05:00 America/New_York (EST),Veterinarian
Feddersen Nicole DVM,7324499224,,5.0,5,79,Lakewood,NJ,GMT-05:00 America/New_York (EST),Veterinarian
Crestwood Village Veterinary: Riche James J DVM,7328491989,,4.4,7,68,Lakewood,NJ,GMT-05:00 America/New_York (EST),Veterinarian
Crestwood Village Veterinary Clinic,7328491989,,4.6,78,66,Lakewood,NJ,GMT-05:00 America/New_York (EST),Veterinarian
Happy Tails Veterinary Hospital,7322688180,,4.1,98,64,Lakewood,NJ,GMT-05:00 America/New_York (EST),Veterinarian
Allentown Animal Hospital,6092593500,,4.7,83,62,Lakewood,NJ,GMT-05:00 America/New_York (EST),Veterinarian
All Paws Veterinary Hospital,7324498585,,4.4,68,45,Lakewood,NJ,GMT-05:00 America/New_York (EST),Veterinarian
Howell Veterinary CL,7325770588,,5.0,1,44,Lakewood,NJ,GMT-05:00 America/New_York (EST),Veterinarian
Graziano Alyssa M DVM,7323634500,,5.0,1,26,Lakewood,NJ,GMT-05:00 America/New_York (EST),Veterinarian
Pearlman Laurie A DVM,7323634500,,5.0,1,23,Lakewood,NJ,GMT-05:00 America/New_York (EST),Veterinarian
Mark Roma,7323706369,,3.0,2,14,Lakewood,NJ,GMT-05:00 America/New_York (EST),Veterinarian
Equicare Veterinary Associates,8037836999,,4.6,10,77,Columbia,SC,GMT-05:00 America/New_York (EST),Veterinarian
Basinger R Randy DVM,8037980803,,4.6,9,72,Columbia,SC,GMT-05:00 America/New_York (EST),Veterinarian
US Veterinary Services,8034622910,,,0,66,Columbia,SC,GMT-05:00 America/New_York (EST),Veterinarian
Glenn Susan T DVM,8032762498,,4.0,4,55,Columbia,SC,GMT-05:00 America/New_York (EST),Veterinarian
Roof Davida DVM,8037358004,,5.0,10,50,Columbia,SC,GMT-05:00 America/New_York (EST),Veterinarian
Harrari Carolyn DVM,8034621076,,,0,49,Columbia,SC,GMT-05:00 America/New_York (EST),Veterinarian
Wylie Patrick DVM,8034329084,,5.0,4,26,Columbia,SC,GMT-05:00 America/New_York (EST),Veterinarian
Sc Veterinary Internal Mdcine,8035610015,,4.0,5,19,Columbia,SC,GMT-05:00 America/New_York (EST),Veterinarian
Smaha Timothy DVM,8034621076,,3.8,6,15,Columbia,SC,GMT-05:00 America/New_York (EST),Veterinarian
Lap of Love - Jackson,6019523711,,5.0,2,100,Jackson,MS,GMT-06:00 US/Central (CST),Veterinarian
Ridgeland Pet Clinic,6019577680,,,0,99,Jackson,MS,GMT-06:00 US/Central (CST),Veterinarian
"DR. BECKEY HOLIFIELD, BIO",6018927512,,5.0,7,98,Jackson,MS,GMT-06:00 US/Central (CST),Veterinarian
Anderson Jim DVM,6019321245,,,0,96,Jackson,MS,GMT-06:00 US/Central (CST),Veterinarian
Central Mississippi Spay and Neuter Clinic,6018492242,,5.0,1,89,Jackson,MS,GMT-06:00 US/Central (CST),Veterinarian
Lena J Noblin,6019538776,,,0,81,Jackson,MS,GMT-06:00 US/Central (CST),Veterinarian
Williams Animal Clinic,6018496060,,4.6,29,74,Jackson,MS,GMT-06:00 US/Central (CST),Veterinarian
URGIVET Emergency Vets of Madison,6017901918,,4.0,88,72,Jackson,MS,GMT-06:00 US/Central (CST),Veterinarian
"Advanced Animal Dental Care: Johnson, Lynn DVM",6017075253,,,0,68,Jackson,MS,GMT-06:00 US/Central (CST),Veterinarian
Lawrence Veterinary Clinic,6013722253,,,0,59,Jackson,MS,GMT-06:00 US/Central (CST),Veterinarian
North State Animal & Bird Hospital: Mc Lendon Melisa DVM,6019828261,,4.3,7,54,Jackson,MS,GMT-06:00 US/Central (CST),Veterinarian
Alternative Veterinary Care,6019193566,,,0,51,Jackson,MS,GMT-06:00 US/Central (CST),Veterinarian
