company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
All Things Posh Waxing,(813) 679-0321,,,0,124,Tampa,FL,GMT-05:00 America/New_York (EST),Waxing service
Zmossbeauty Spa,(813) 649-3225,,5.0,8,123,Tampa,FL,GMT-05:00 America/New_York (EST),Waxing service
Skin on Skin Esthetics,(813) 485-1799,,5.0,6,120,Tampa,FL,GMT-05:00 America/New_York (EST),Waxing service
The Waxing Pointe,(727) 919-1208,,5.0,3,117,Tampa,FL,GMT-05:00 America/New_York (EST),Waxing service
Sara Eve Esthetics--Skin Care & Waxing,(813) 506-4382,,5.0,11,115,Tampa,FL,GMT-05:00 America/New_York (EST),Waxing service
Sphynx Wax Factory,(813) 465-3571,,5.0,6,112,Tampa,FL,GMT-05:00 America/New_York (EST),Waxing service
Miss Aesthetics Tampa,(813) 753-3939,,5.0,42,111,Tampa,FL,GMT-05:00 America/New_York (EST),Waxing service
Brow and Body Waxing & Aesthetics,(727) 314-1216,,5.0,6,110,Tampa,FL,GMT-05:00 America/New_York (EST),Waxing service
SugaringNYC Tampa,(813) 467-1004,,4.6,10,109,Tampa,FL,GMT-05:00 America/New_York (EST),Waxing service
Paola's Beauty Boutique,(813) 270-8626,,4.9,97,108,Tampa,FL,GMT-05:00 America/New_York (EST),Waxing service
Purowax,(813) 446-0689,,5.0,2,107,Tampa,FL,GMT-05:00 America/New_York (EST),Waxing service
Sugaring NYC - Lutz,(813) 345-8037,,5.0,24,104,Tampa,FL,GMT-05:00 America/New_York (EST),Waxing service
Waxing In Brandon By Jakiera,(656) 219-5925,,5.0,7,101,Tampa,FL,GMT-05:00 America/New_York (EST),Waxing service
"Seen Esthetics (Facials, Brows, Lashes & Wax)",(727) 214-0426,,5.0,85,99,Tampa,FL,GMT-05:00 America/New_York (EST),Waxing service
Naturalsense Spa,(727) 771-3933,,5.0,19,98,Tampa,FL,GMT-05:00 America/New_York (EST),Waxing service
Britt’s Wax Bar,(727) 333-0594,,5.0,8,97,Tampa,FL,GMT-05:00 America/New_York (EST),Waxing service
TAMPA SUGARING LLC,(813) 777-8484,,4.6,20,96,Tampa,FL,GMT-05:00 America/New_York (EST),Waxing service
The Garden of Skin,(813) 336-9896,,5.0,54,95,Tampa,FL,GMT-05:00 America/New_York (EST),Waxing service
