company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Sassy and Southern Wedding Planners,7272262475,,,0,117,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
"Center For Family Enrichment, Inc.",8133181941,,5.0,1,116,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Sassy and Southern Wedding Planners,9122551481,,,0,113,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Treasured Memories Wedding Ceremonies,2393213944,,,0,112,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
United In love by Lency,8139474919,,5.0,2,106,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Complete Weddings + Events,8139612900,,4.9,62,105,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Enchantus Weddings and Events,8139663519,,,0,101,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Weddings & Events Tampa,8139008077,,,0,95,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
A West Coast Wedding Ceremony,5702923006,,,0,94,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Island Kisses Event Planner,7272282012,,5.0,1,87,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Seay Weddings,8133827308,,,0,86,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Forever Mobile Wedding and Notary Services,9173796394,,5.0,5,79,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Perfectly Paired Weddings and Events,7274532305,,5.0,1,74,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Matrimony At It's Finest,7725791486,,5.0,1,72,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Alexa Kritis Events,7543331788,,5.0,49,60,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Florida Paradise Weddings,7277986671,,5.0,8,53,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Petals and Promises,8134448792,,4.6,5,42,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Florida Notaries Plus,8137771335,,5.0,7,40,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Weddings on Sand Key Beach,7272605503,,4.1,25,38,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Meaningful Moments by TMS,9145886853,,5.0,3,34,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Bustle and Bloom,8137550228,,5.0,33,33,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
"Notary Near Me, Tampa Bay Florida Wedding Officiant and Mobile Notary Public",7272373833,,5.0,19,31,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Love by LT,8137679260,,5.0,4,25,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
RevDev Weddings,7272480311,,5.0,2,24,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
One Stop Weddings & More,8134343155,,4.3,6,17,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
"Wedding Officiant, by Colleen Rose Wallace-Weber",8133136116,,5.0,2,11,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding officiant
Conscious Unions-Wedding Officiant,7049534240,,,0,117,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
"Myrtle Beach Weddings By Mia, Notary and Wedding Officiant",7044302154,,,0,115,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
A Wedding in Paradise,8147300080,,5.0,26,113,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
Vow of Promise (Wedding Officiant Services),8432762369,,,0,111,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
The ATL Wedding Officiant,4704432525,,,0,109,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
"With This Ring SC, Wedding Officiant",9194805450,,,0,105,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
Elope With Me Wedding Services,7043455510,,5.0,33,104,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
Upstate Wedding Officiant,8649407282,,,0,100,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
The LGBT Wedding Officiant,4705727772,,,0,96,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
A Wedding Officiant,9103645959,,4.9,47,95,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
"Coastal Wedding Officiants, Charleston",8437904754,,5.0,1,92,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
Weddings on a Budget Officiant & More,8648814491,,,0,89,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
"Peggy Kneidel Wedding Officiant Fort Mill, SC & Surroundings. Limited areas in NC i.e. Ballantyne, Pineville",8035244826,,4.0,4,82,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
Greensboro Wedding Officiant- Married By Malik,9195615412,,5.0,4,76,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
Your Wedding Your Way,6782343374,,5.0,30,75,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
Athens Wedding Officiants,4704432525,,5.0,1,73,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
Wedding Officiant - Brent Edwards,7042210668,,5.0,1,70,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
Nicole Gomez-Wedding officiant,7063514190,,5.0,1,62,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
Many Rivers Ministries,7044884970,,5.0,31,57,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
Jack Hinson's Wedding Officiant Services,8282951084,,5.0,1,53,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
SC Wedding Officiant - Lynsey Thomas,8133905120,,5.0,3,49,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
Amazing Weddings - Wedding Officiant Services,8288085188,,5.0,42,34,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
Nuptially Yours,6145619681,,5.0,1,31,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
SC Midlands Wedding Officiant,8037438192,,5.0,6,29,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
Your Wedding Minister,8434076939,,4.8,31,16,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
A One Stop Shop,8172097061,,4.7,62,5,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
Bo's 24/7 365 Mobile Notary Service,4323265806,,5.0,48,3,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
OKC Wedding Officiants Pastor John T. Snelson V & Heidi Does Weddings,4055051082,,4.9,78,1,Midland,TX,GMT-06:00 US/Central (CST),Wedding officiant
AP Mobile Notary & Livescan,9094716952,,5.0,8,117,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
Forever Mine,9092768761,,,0,116,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
Amazing Weddings - Wedding Officiant Services,8288085188,,5.0,42,115,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
SC Midlands Wedding Officiant,8037438192,,5.0,6,114,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
Pali Mountain Weddings,9099390855,,4.0,2,111,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
Nuptially Yours,6145619681,,5.0,1,109,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
The Perfect Union,2103873270,,5.0,2,105,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
"Celeste Notary Public, Officiant Services, Administrative Services",6262474094,,,0,82,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
Lavish Love Ceremonies,9514760616,,,0,81,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
Happy Wedding,3238848811,,,0,80,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
Unforgettable Weddings,3235528723,,,0,77,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
Exalted Ceremonies Wedding Minister/Officiant,7606808200,,,0,72,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
"Sanchez Income Tax Service, Notary Public, and Wedding Officiant",5624179686,,,0,71,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
Helen's Wedding Chapel,3234557624,,4.6,10,66,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
Grace's loving unity Wedding Officiant,3238986458,,,0,57,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
Your Way Officiant,9092948585,,,0,56,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
Ovalle's Wedding Ceremonies,8185545282,,4.0,4,54,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
Grace's Loving unity Wedding Officiant,3238986458,,,0,53,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
Wedding And Officiant,9096198050,,,0,52,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
Amar Weddings,6268500032,,5.0,1,50,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
Blue Iris Nuptials - Wedding Officiant Services,6618083897,,,0,48,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
VOWS Weddings and Renewals Ceremonies,9096359695,,,0,47,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
Endless Love Ceremonies Bilingual Wedding Officiant,6268881421,,4.0,4,38,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
Crush Weddings,3234596796,,5.0,2,36,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
Weddings by Manny,9095490841,,5.0,4,34,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
James The Officiant,6618449625,,5.0,1,19,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
Civil Wedding Montclair,9096247109,,4.7,22,14,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
Ceremonies by Mariana Zepeda,7602398152,,,0,12,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
"Rev. Jeffery Huss , Wedding Officiant",9096415468,,5.0,2,10,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
Lasting Love Wedding Officiant,7606051484,,4.7,7,9,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
Giordano’s weddings,9096452199,,5.0,37,8,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
Gonzalez Wedding Services,3233041643,,,0,120,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding officiant
