company_name,phone,website,rating,review_count,ranking,city,state,timezone,industry
Cook Event Planning LLC,7276561033,,5.0,6,121,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Weddings on Sand Key Beach,7272605503,,4.1,25,116,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Jenni's Wedding Planner & Decorations,8135990307,,5.0,1,114,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Orchard Weddings & Events,8137740557,,5.0,5,111,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Purdy Planning,8132798846,,5.0,1,109,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Petals and Promises,8134448792,,4.6,5,105,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Beach Weddings with Style,7275980701,,5.0,42,102,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Saint Bleu Events,5183210927,,5.0,4,101,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
"Head Over Heels Event Planning, LLC",8137399088,,5.0,3,94,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Perfectly Paired Weddings and Events,7274532305,,5.0,1,89,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Wildflower Event Design,7278516264,,5.0,4,82,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Island Kisses Event Planner,7272282012,,5.0,1,76,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Demetrish Nicole Elegant Events & Wedding Planning,8134584693,,5.0,1,74,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Something To Plan,8132703058,,5.0,4,73,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Storybook Weddings LLC,7277988706,,5.0,2,72,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Stylish Traditions Wedding and Event Design,7277681179,,5.0,3,70,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
A Premier Entertainment,8136003524,,5.0,1,69,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Bustle and Bloom,8137550228,,5.0,33,56,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Couture Weddings and More,8137736118,,4.7,12,45,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Weddings by Abi & Co.,8133652970,,5.0,27,40,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Oh Hello Events,3522638280,,4.9,10,31,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Golden Hour Events Inc,8134446232,,5.0,15,20,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Alexa Kritis Events,7543331788,,5.0,49,2,Tampa,FL,GMT-05:00 America/New_York (EST),Wedding planner
Carolina Posh Wedding & Event Planning LLC,8035671490,,5.0,1,96,Midland,TX,GMT-06:00 US/Central (CST),Wedding planner
Saturday's Creations LLC,8033932299,,5.0,19,94,Midland,TX,GMT-06:00 US/Central (CST),Wedding planner
Help Me Plan,8038160718,,5.0,7,89,Midland,TX,GMT-06:00 US/Central (CST),Wedding planner
BakeNBite,3473463773,,4.9,58,70,Midland,TX,GMT-06:00 US/Central (CST),Wedding planner
Beyond Expectations LLC,8032200061,,4.4,48,60,Midland,TX,GMT-06:00 US/Central (CST),Wedding planner
J&L Linens and Decor,4326614500,,1.0,1,51,Midland,TX,GMT-06:00 US/Central (CST),Wedding planner
Synsational weddings,5414155530,,,0,41,Midland,TX,GMT-06:00 US/Central (CST),Wedding planner
Elegant Touch Bridal,4326872411,,4.4,20,33,Midland,TX,GMT-06:00 US/Central (CST),Wedding planner
Tiffany Reid & Co,4325569294,,5.0,1,26,Midland,TX,GMT-06:00 US/Central (CST),Wedding planner
LandMARQ Marquee Letters,8175046412,,,0,23,Midland,TX,GMT-06:00 US/Central (CST),Wedding planner
Glorious Events,4329787606,,5.0,2,19,Midland,TX,GMT-06:00 US/Central (CST),Wedding planner
Yasmin's Creations,4328804420,,1.0,1,13,Midland,TX,GMT-06:00 US/Central (CST),Wedding planner
LarryDee Events Management,4047979200,,5.0,1,12,Midland,TX,GMT-06:00 US/Central (CST),Wedding planner
Bubbles Event Planning & Rentals,4322544704,,4.1,14,11,Midland,TX,GMT-06:00 US/Central (CST),Wedding planner
The Confetti Collective,4694323660,,,0,10,Midland,TX,GMT-06:00 US/Central (CST),Wedding planner
Defining Moments,4323635396,,2.0,1,9,Midland,TX,GMT-06:00 US/Central (CST),Wedding planner
Midland Convention & Visitor,4326833381,,5.0,1,8,Midland,TX,GMT-06:00 US/Central (CST),Wedding planner
Grace Alvar Decor LLC,4328881883,,5.0,7,6,Midland,TX,GMT-06:00 US/Central (CST),Wedding planner
Passionate Solutions 4 U,9513477593,,,0,109,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
"Hanada Season / wedding, floral, planning, photo, video, decor,",6262856188,,5.0,4,106,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Stephanie Childs Photography,6613312286,,,0,105,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
cherie riley weddings,9514527504,,,0,99,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Indie Dolls Event Design + Coordinating,9095565977,,4.0,8,90,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Hesperia Banquet Hall,7606690462,,4.0,38,81,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Decor of Couture Event & Wedding Planning,3237159803,,5.0,1,78,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Love En Reval Wedding & Events,9094356208,,5.0,1,72,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Exquisite Floral Events,9098155630,,5.0,1,70,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
My Wedding Co,5129068170,,5.0,4,64,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Ashdown Events - Planning & Design,3232193140,,5.0,11,63,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
SAMY'S ENTERTAINMENT,8054904436,,5.0,2,52,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Your Day By Dakota Filer,9096997883,,,0,25,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
California White Dove Release,6266437445,,5.0,8,21,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
HD Picnic Delights,7604903417,,5.0,1,18,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
"Neysa's Glitz and Glam Event Planning, LLC",7608182789,,,0,17,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Event Planning | Essence of Relations Evermore,7609839599,,1.0,1,15,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Simple Elegance Events Professional Planning and Design,7604863018,,5.0,1,12,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Divine Event Services,5623410278,,,0,11,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Touched Vision Wedding & Events,7608872303,,5.0,4,9,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
"Event Source, Photo Booth, Photographer, DJs & Party Rentals",7609953037,,5.0,2,4,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Simple Elegance Events Wedding / Event Planning & Decor Design,7604863018,,5.0,3,1,Victorville,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Diamonds & Pearls Wedding Planning,5628412100,,,0,118,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
The Way We Party,4243877178,,4.8,25,88,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Mise en Scene,3109383203,,,0,83,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Ritta’s Events,2135506761,,,0,82,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Monique Hogan Weddings and Events,3232477789,,,0,79,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
"SayYes! Seasons of Change, LLC",3104069455,,,0,75,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Gonzalez Wedding Services,3233041643,,,0,68,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Time Capsule by Cecile,6263542377,,,0,63,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Munky Mixology,4242063805,,5.0,2,61,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
"Jerri Woolworth Weddings & Events, LLC",6156648484,,,0,60,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Naturalists Event Design,5622334102,,5.0,1,59,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Terra Cotta Event Co.,3108485081,,5.0,38,58,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
AMADI Weddings + Events,4245712659,,,0,55,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Zaza & CO,3102926578,,5.0,7,44,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Lavishly Yours Events,6303793164,,5.0,1,43,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
360 Events LA,3106333083,,5.0,17,42,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Executive Planning Services,3236498250,,4.8,4,41,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Lolo Weddings & Events,3102459819,,5.0,1,39,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
DNT Elite Events,4242622930,,5.0,1,35,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Asap Event Consulting Firm,3109066263,,5.0,1,33,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Desiree Carol Special Events,3108096667,,,0,32,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Just Imagine LLC,3234182969,,5.0,1,31,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Best Day Ever,3106348698,,,0,26,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Stacey Sewell Events,3106950176,,5.0,1,25,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
SoCalEvents,8008710054,,1.0,1,22,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Pink Sparrow Events,4244772921,,5.0,15,14,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Love Perfection,3235361572,,5.0,2,13,Torrance,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Ultimate Events,7146392300,,4.8,12,120,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
sphotography,5624509580,,5.0,49,119,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
R & A Party Adornments,3107824775,,5.0,2,118,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
SoCal Films,7147322126,,,0,117,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
The Griffith House,9495332554,,4.6,68,115,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Chic Event Designs,5622217800,,5.0,1,110,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Love Always Weddings - Wedding Planner,8059032654,,5.0,1,107,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
Precious Memories by Ngoc,7148371968,,,0,103,Fullerton,CA,GMT-08:00 America/Los_Angeles (PST),Wedding planner
